* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Grado SR60X L Stock Pads, Grado SR60X L Stock Pads, Grado SR60X L Stock Pads
* Dated: Apr 3, 2024 4:25:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Grado SR60X L Stock Pads, Grado SR60X L Stock Pads, Grado SR60X L Stock Pads
* Measurement: RMS Average L stock
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	55.077
20.299999	55.309
20.600000	55.572
20.900000	55.859
21.200001	56.155
21.400000	56.350
21.799999	56.722
22.000000	56.897
22.400000	57.234
22.700001	57.483
23.000000	57.735
23.299999	57.990
23.600000	58.247
24.000000	58.584
24.299999	58.830
24.700001	59.148
25.000000	59.380
25.400000	59.685
25.799999	59.983
26.200001	60.268
26.500000	60.467
26.900000	60.712
27.200001	60.881
27.600000	61.095
28.000000	61.302
28.500000	61.558
29.000000	61.812
29.500000	62.062
30.000000	62.311
30.400000	62.513
30.700001	62.666
31.100000	62.867
31.500000	63.062
32.000000	63.290
32.500000	63.508
33.000000	63.726
33.500000	63.948
34.000000	64.169
34.500000	64.377
35.000000	64.567
35.500000	64.739
36.000000	64.896
36.500000	65.044
37.000000	65.187
37.500000	65.328
38.200001	65.531
38.700001	65.682
39.500000	65.934
40.000000	66.096
40.599998	66.286
41.200001	66.467
41.799999	66.630
42.500000	66.798
43.099998	66.928
43.700001	67.057
44.400002	67.214
45.000000	67.348
45.500000	67.452
46.200001	67.584
46.799999	67.692
47.500000	67.822
48.200001	67.952
48.700001	68.035
49.400002	68.126
50.000000	68.183
50.799999	68.250
51.500000	68.321
52.200001	68.404
53.000000	68.502
53.799999	68.602
54.500000	68.691
55.200001	68.779
56.000000	68.872
57.000000	68.985
58.000000	69.104
59.000000	69.225
60.000000	69.323
60.799999	69.378
61.500000	69.419
62.200001	69.458
63.000000	69.496
64.000000	69.534
65.000000	69.562
66.000000	69.590
67.000000	69.623
68.000000	69.659
69.000000	69.699
70.000000	69.742
71.000000	69.783
72.000000	69.820
73.000000	69.855
74.000000	69.890
75.000000	69.921
76.199997	69.941
77.500000	69.958
78.800003	70.002
80.000000	70.064
81.199997	70.120
82.500000	70.149
83.800003	70.150
85.000000	70.146
86.199997	70.150
87.500000	70.162
88.500000	70.170
90.000000	70.175
91.199997	70.176
92.500000	70.182
93.800003	70.196
95.000000	70.213
96.199997	70.231
97.500000	70.248
98.800003	70.260
100.000000	70.266
101.500000	70.270
103.000000	70.271
104.400002	70.269
106.000000	70.260
107.500000	70.246
109.000000	70.231
110.599998	70.216
112.000000	70.203
113.800003	70.177
115.000000	70.149
117.199997	70.076
118.000000	70.049
120.599998	69.982
122.000000	69.965
124.099998	69.953
125.000000	69.948
126.500000	69.936
128.000000	69.918
131.500000	69.867
132.000000	69.859
134.000000	69.830
136.000000	69.800
138.000000	69.768
140.000000	69.734
143.000000	69.685
145.000000	69.651
147.500000	69.607
150.000000	69.562
152.500000	69.518
155.000000	69.476
157.500000	69.440
160.000000	69.417
162.500000	69.407
165.000000	69.404
167.500000	69.405
170.000000	69.414
172.500000	69.440
175.000000	69.480
177.500000	69.525
180.000000	69.562
182.500000	69.579
185.000000	69.574
187.500000	69.549
190.000000	69.509
192.500000	69.459
195.000000	69.403
197.500000	69.345
200.000000	69.289
203.000000	69.223
206.000000	69.155
209.000000	69.086
212.000000	69.016
214.000000	68.970
218.000000	68.875
220.000000	68.827
224.000000	68.731
227.000000	68.661
230.000000	68.590
233.000000	68.518
236.000000	68.444
240.000000	68.347
243.000000	68.276
247.000000	68.183
250.000000	68.114
254.000000	68.028
258.000000	67.961
262.000000	67.926
265.000000	67.931
269.000000	67.998
272.000000	68.103
276.000000	68.324
280.000000	68.621
285.000000	69.045
290.000000	69.446
295.000000	69.757
300.000000	69.955
304.000000	70.039
307.000000	70.068
311.000000	70.071
315.000000	70.047
320.000000	69.995
325.000000	69.934
330.000000	69.874
335.000000	69.816
340.000000	69.761
345.000000	69.708
350.000000	69.657
355.000000	69.610
360.000000	69.566
365.000000	69.526
370.000000	69.489
375.000000	69.455
382.000000	69.412
387.000000	69.386
395.000000	69.349
400.000000	69.328
406.000000	69.307
412.000000	69.289
418.000000	69.274
425.000000	69.259
431.000000	69.248
437.000000	69.239
444.000000	69.232
450.000000	69.227
455.000000	69.222
462.000000	69.215
468.000000	69.208
475.000000	69.201
482.000000	69.196
487.000000	69.194
494.000000	69.194
500.000000	69.199
508.000000	69.207
515.000000	69.213
522.000000	69.219
530.000000	69.226
538.000000	69.233
545.000000	69.238
552.000000	69.243
560.000000	69.253
570.000000	69.272
580.000000	69.294
590.000000	69.315
600.000000	69.338
608.000000	69.360
615.000000	69.381
622.000000	69.402
630.000000	69.425
640.000000	69.455
650.000000	69.488
660.000000	69.523
670.000000	69.557
680.000000	69.588
690.000000	69.616
700.000000	69.642
710.000000	69.666
720.000000	69.691
730.000000	69.715
740.000000	69.738
750.000000	69.760
762.000000	69.787
775.000000	69.818
788.000000	69.853
800.000000	69.887
812.000000	69.923
825.000000	69.960
838.000000	70.000
850.000000	70.040
862.000000	70.081
875.000000	70.126
885.000000	70.161
900.000000	70.217
912.000000	70.260
925.000000	70.305
938.000000	70.352
950.000000	70.395
962.000000	70.440
975.000000	70.493
988.000000	70.548
1000.000000	70.595
1015.000000	70.650
1030.000000	70.700
1044.000000	70.741
1060.000000	70.786
1075.000000	70.832
1090.000000	70.885
1106.000000	70.943
1120.000000	70.991
1138.000000	71.051
1150.000000	71.094
1172.000000	71.182
1180.000000	71.217
1206.000000	71.343
1220.000000	71.413
1241.000000	71.511
1250.000000	71.554
1265.000000	71.633
1280.000000	71.727
1315.000000	71.981
1320.000000	72.018
1340.000000	72.168
1360.000000	72.320
1380.000000	72.474
1400.000000	72.622
1430.000000	72.843
1450.000000	73.020
1475.000000	73.290
1500.000000	73.587
1525.000000	73.900
1550.000000	74.220
1575.000000	74.549
1600.000000	74.912
1625.000000	75.304
1650.000000	75.704
1675.000000	76.113
1700.000000	76.526
1725.000000	76.961
1750.000000	77.470
1775.000000	78.087
1800.000000	78.802
1825.000000	79.580
1850.000000	80.363
1875.000000	81.113
1900.000000	81.834
1925.000000	82.527
1950.000000	83.175
1975.000000	83.762
2000.000000	84.265
2030.000000	84.711
2060.000000	84.942
2090.000000	84.947
2120.000000	84.739
2140.000000	84.514
2180.000000	83.994
2200.000000	83.747
2240.000000	83.309
2270.000000	83.052
2300.000000	82.887
2330.000000	82.801
2360.000000	82.740
2400.000000	82.588
2430.000000	82.401
2470.000000	82.153
2500.000000	82.041
2540.000000	82.015
2580.000000	82.025
2620.000000	81.918
2650.000000	81.732
2690.000000	81.394
2720.000000	81.135
2760.000000	80.874
2800.000000	80.749
2850.000000	80.727
2900.000000	80.745
2950.000000	80.737
3000.000000	80.673
3040.000000	80.598
3070.000000	80.552
3110.000000	80.517
3150.000000	80.495
3200.000000	80.511
3250.000000	80.649
3300.000000	80.895
3350.000000	81.146
3400.000000	81.338
3450.000000	81.533
3500.000000	81.862
3550.000000	82.361
3600.000000	82.956
3650.000000	83.548
3700.000000	84.062
3750.000000	84.454
3820.000000	84.776
3870.000000	84.857
3950.000000	84.763
4000.000000	84.584
4060.000000	84.262
4120.000000	83.829
4180.000000	83.286
4250.000000	82.522
4310.000000	81.784
4370.000000	81.014
4440.000000	80.148
4500.000000	79.491
4550.000000	79.020
4620.000000	78.461
4680.000000	78.047
4750.000000	77.616
