* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Grado SR60X R Stock Pads, Grado SR60X R Stock Pads, Grado SR60X R Stock Pads
* Dated: Apr 3, 2024 4:25:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Grado SR60X R Stock Pads, Grado SR60X R Stock Pads, Grado SR60X R Stock Pads
* Measurement: RMS Average R stock
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	56.402
20.299999	56.684
20.600000	56.967
20.900000	57.250
21.200001	57.530
21.400000	57.713
21.799999	58.069
22.000000	58.241
22.400000	58.572
22.700001	58.813
23.000000	59.049
23.299999	59.282
23.600000	59.512
24.000000	59.814
24.299999	60.034
24.700001	60.316
25.000000	60.520
25.400000	60.783
25.799999	61.044
26.200001	61.301
26.500000	61.490
26.900000	61.727
27.200001	61.890
27.600000	62.088
28.000000	62.273
28.500000	62.503
29.000000	62.746
29.500000	62.999
30.000000	63.250
30.400000	63.444
30.700001	63.586
31.100000	63.773
31.500000	63.956
32.000000	64.178
32.500000	64.386
33.000000	64.581
33.500000	64.767
34.000000	64.950
34.500000	65.132
35.000000	65.314
35.500000	65.490
36.000000	65.651
36.500000	65.794
37.000000	65.925
37.500000	66.058
38.200001	66.267
38.700001	66.428
39.500000	66.671
40.000000	66.808
40.599998	66.962
41.200001	67.110
41.799999	67.253
42.500000	67.414
43.099998	67.544
43.700001	67.659
44.400002	67.777
45.000000	67.873
45.500000	67.951
46.200001	68.050
46.799999	68.132
47.500000	68.248
48.200001	68.391
48.700001	68.496
49.400002	68.627
50.000000	68.724
50.799999	68.837
51.500000	68.926
52.200001	69.007
53.000000	69.100
53.799999	69.195
54.500000	69.277
55.200001	69.352
56.000000	69.432
57.000000	69.523
58.000000	69.609
59.000000	69.693
60.000000	69.775
60.799999	69.833
61.500000	69.872
62.200001	69.900
63.000000	69.922
64.000000	69.950
65.000000	69.987
66.000000	70.040
67.000000	70.104
68.000000	70.169
69.000000	70.225
70.000000	70.270
71.000000	70.301
72.000000	70.319
73.000000	70.330
74.000000	70.340
75.000000	70.354
76.199997	70.380
77.500000	70.421
78.800003	70.463
80.000000	70.494
81.199997	70.519
82.500000	70.543
83.800003	70.564
85.000000	70.581
86.199997	70.599
87.500000	70.620
88.500000	70.634
90.000000	70.648
91.199997	70.654
92.500000	70.660
93.800003	70.662
95.000000	70.658
96.199997	70.651
97.500000	70.642
98.800003	70.635
100.000000	70.629
101.500000	70.619
103.000000	70.609
104.400002	70.600
106.000000	70.589
107.500000	70.578
109.000000	70.566
110.599998	70.547
112.000000	70.526
113.800003	70.499
115.000000	70.482
117.199997	70.448
118.000000	70.435
120.599998	70.388
122.000000	70.359
124.099998	70.316
125.000000	70.301
126.500000	70.277
128.000000	70.253
131.500000	70.185
132.000000	70.175
134.000000	70.136
136.000000	70.104
138.000000	70.074
140.000000	70.036
143.000000	69.961
145.000000	69.910
147.500000	69.846
150.000000	69.781
152.500000	69.716
155.000000	69.650
157.500000	69.584
160.000000	69.526
162.500000	69.483
165.000000	69.457
167.500000	69.455
170.000000	69.492
172.500000	69.573
175.000000	69.682
177.500000	69.790
180.000000	69.872
182.500000	69.915
185.000000	69.919
187.500000	69.890
190.000000	69.842
192.500000	69.783
195.000000	69.719
197.500000	69.654
200.000000	69.587
203.000000	69.504
206.000000	69.419
209.000000	69.332
212.000000	69.243
214.000000	69.183
218.000000	69.064
220.000000	69.003
224.000000	68.880
227.000000	68.786
230.000000	68.691
233.000000	68.592
236.000000	68.492
