* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -33.9 dBFS, measurement signal peak level -33.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 3, 2024 4:23:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0283 ms (-9.7 mm, -0.38 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -37.9 ppm
* Measurement: Grado SR60X L Grado G Pad
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	56.397	-151.7871
20.299999	56.710	-153.7066
20.600000	56.982	-155.5792
20.900000	57.225	-157.2966
21.200001	57.455	-158.8070
21.400000	57.612	-159.7066
21.799999	57.943	-161.3649
22.000000	58.119	-162.1847
22.400000	58.481	-163.9084
22.700001	58.748	-165.3143
23.000000	59.001	-166.7887
23.299999	59.239	-168.2762
23.600000	59.467	-169.7245
24.000000	59.767	-171.5607
24.299999	59.998	-172.8979
24.700001	60.315	-174.7113
25.000000	60.553	-176.1404
25.400000	60.859	-178.1469
25.799999	61.144	179.7898
26.200001	61.409	177.7529
26.500000	61.599	176.2750
26.900000	61.848	174.3762
27.200001	62.035	172.9958
27.600000	62.284	171.1898
28.000000	62.535	169.3965
28.500000	62.847	167.1199
29.000000	63.144	164.7468
29.500000	63.406	162.2955
30.000000	63.622	159.9150
30.400000	63.770	158.1780
30.700001	63.877	156.9966
31.100000	64.025	155.5447
31.500000	64.182	154.1335
32.000000	64.377	152.2851
32.500000	64.542	150.3296
33.000000	64.663	148.4287
33.500000	64.751	146.7536
34.000000	64.835	145.3402
34.500000	64.931	144.0938
35.000000	65.042	142.8914
35.500000	65.159	141.6619
36.000000	65.275	140.3762
36.500000	65.380	139.0240
37.000000	65.459	137.6408
37.500000	65.503	136.3435
38.200001	65.518	135.0049
38.700001	65.530	134.5537
39.500000	65.645	134.5715
40.000000	65.801	134.7617
40.599998	66.062	134.8723
41.200001	66.376	134.7065
41.799999	66.715	134.2047
42.500000	67.115	133.1688
43.099998	67.437	131.9260
43.700001	67.725	130.4549
44.400002	68.018	128.6044
45.000000	68.240	126.9788
45.500000	68.410	125.6097
46.200001	68.626	123.6750
46.799999	68.792	122.0070
47.500000	68.964	120.0687
48.200001	69.113	118.1948
48.700001	69.210	116.9384
49.400002	69.350	115.3006
50.000000	69.480	113.9429
50.799999	69.661	112.0709
51.500000	69.809	110.3604
52.200001	69.938	108.6668
53.000000	70.070	106.8525
53.799999	70.200	105.1686
54.500000	70.313	103.7360
55.200001	70.415	102.3139
56.000000	70.512	100.7577
57.000000	70.610	99.0128
58.000000	70.701	97.4690
59.000000	70.796	96.0417
60.000000	70.900	94.6108
60.799999	70.986	93.3945
61.500000	71.058	92.2790
62.200001	71.125	91.1421
63.000000	71.197	89.8549
64.000000	71.289	88.3121
65.000000	71.390	86.8456
66.000000	71.498	85.4263
67.000000	71.610	84.0505
68.000000	71.724	82.6400
69.000000	71.816	81.0908
70.000000	71.860	79.5327
71.000000	71.875	78.1763
72.000000	71.896	76.9943
73.000000	71.933	75.8270
74.000000	71.976	74.6227
75.000000	72.019	73.4235
76.199997	72.073	72.0235
77.500000	72.129	70.5612
78.800003	72.179	69.1694
80.000000	72.221	67.9369
81.199997	72.266	66.7095
82.500000	72.317	65.2989
83.800003	72.351	63.8167
85.000000	72.365	62.5446
86.199997	72.380	61.4072
87.500000	72.401	60.2613
88.500000	72.418	59.4049
90.000000	72.439	58.1343
91.199997	72.449	57.1259
92.500000	72.454	56.0573
