* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -33.6 dBFS, measurement signal peak level -32.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 3, 2024 4:24:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0275 ms (-9.4 mm, -0.37 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -38.6 ppm
* Measurement: Grado SR60X R Grado G Pad
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	57.930	-158.5904
20.299999	58.232	-159.8239
20.600000	58.554	-161.0425
20.900000	58.888	-162.3464
21.200001	59.221	-163.7974
21.400000	59.434	-164.8516
21.799999	59.828	-167.0993
22.000000	60.007	-168.2499
22.400000	60.332	-170.5139
22.700001	60.555	-172.1198
23.000000	60.770	-173.6352
23.299999	60.984	-175.0786
23.600000	61.198	-176.4837
24.000000	61.486	-178.3553
24.299999	61.699	-179.7814
24.700001	61.975	178.2841
25.000000	62.173	176.8243
25.400000	62.426	174.8956
25.799999	62.670	173.0160
26.200001	62.908	171.2017
26.500000	63.085	169.8841
26.900000	63.321	168.1751
27.200001	63.500	166.9196
27.600000	63.738	165.2651
28.000000	63.974	163.6212
28.500000	64.264	161.5751
29.000000	64.545	159.5438
29.500000	64.816	157.5270
30.000000	65.077	155.5050
30.400000	65.277	153.8659
30.700001	65.419	152.6188
31.100000	65.595	150.9355
31.500000	65.755	149.2423
32.000000	65.931	147.1393
32.500000	66.081	145.0754
33.000000	66.206	143.0697
33.500000	66.304	141.1559
34.000000	66.376	139.4069
34.500000	66.434	137.9066
35.000000	66.497	136.6888
35.500000	66.588	135.6885
36.000000	66.715	134.7497
36.500000	66.868	133.7085
37.000000	67.024	132.4752
37.500000	67.158	131.0616
38.200001	67.274	128.9836
38.700001	67.298	127.6484
39.500000	67.265	126.2385
40.000000	67.243	125.9651
40.599998	67.275	126.1840
41.200001	67.409	126.6996
41.799999	67.649	127.1371
42.500000	68.022	127.1824
43.099998	68.377	126.6918
43.700001	68.729	125.7252
44.400002	69.107	124.1266
45.000000	69.391	122.5145
45.500000	69.601	121.1089
46.200001	69.864	119.1403
46.799999	70.069	117.4641
47.500000	70.282	115.5062
48.200001	70.463	113.5969
48.700001	70.578	112.3119
49.400002	70.734	110.6184
50.000000	70.868	109.1844
50.799999	71.033	107.1978
51.500000	71.152	105.4380
52.200001	71.252	103.7643
53.000000	71.360	101.9924
53.799999	71.473	100.2918
54.500000	71.572	98.7931
55.200001	71.661	97.2759
56.000000	71.746	95.5652
57.000000	71.825	93.5429
58.000000	71.883	91.7103
59.000000	71.934	90.0977
60.000000	71.996	88.6340
60.799999	72.053	87.5083
61.500000	72.106	86.5553
62.200001	72.165	85.6349
63.000000	72.243	84.5978
64.000000	72.351	83.2606
65.000000	72.459	81.8300
66.000000	72.552	80.3076
67.000000	72.620	78.7696
68.000000	72.669	77.3419
69.000000	72.725	76.0570
70.000000	72.801	74.7931
71.000000	72.887	73.4363
72.000000	72.962	72.0273
73.000000	73.021	70.7115
74.000000	73.081	69.5410
75.000000	73.148	68.4141
76.199997	73.220	67.0028
77.500000	73.269	65.4158
78.800003	73.281	63.8558
80.000000	73.273	62.5465
81.199997	73.270	61.3520
82.500000	73.280	60.0944
83.800003	73.296	58.8294
85.000000	73.310	57.6562
86.199997	73.317	56.5108
87.500000	73.324	55.3275
88.500000	73.332	54.4353
90.000000	73.345	53.0834
91.199997	73.350	52.0128
92.500000	73.348	50.9185
93.800003	73.345	49.9055
95.000000	73.343	49.0205
96.199997	73.341	48.1593
97.500000	73.340	47.2225
98.800003	73.338	46.2756
100.000000	73.337	45.4004
101.500000	73.337	44.3109
103.000000	73.331	43.2591
104.400002	73.317	42.3631
106.000000	73.298	41.4434
107.500000	73.278	40.5897
109.000000	73.247	39.6911
110.599998	73.203	38.7483
112.000000	73.168	37.9984
113.800003	73.139	37.1844
115.000000	73.131	36.7385
117.199997	73.123	36.0502
118.000000	73.118	35.8109
120.599998	73.090	34.9256
122.000000	73.068	34.3192
124.099998	73.030	33.3069
125.000000	73.016	32.8770
126.500000	72.994	32.2014
128.000000	72.974	31.5836
131.500000	72.916	30.2885
132.000000	72.907	30.1073
134.000000	72.871	29.3624
136.000000	72.838	28.6104
138.000000	72.808	27.9371
140.000000	72.782	27.3859
143.000000	72.741	26.6202
145.000000	72.698	26.0486
147.500000	72.630	25.3293
150.000000	72.557	24.7007
152.500000	72.479	24.1719
155.000000	72.397	23.6897
157.500000	72.321	23.2036
160.000000	72.245	22.7814
162.500000	72.162	22.5510
165.000000	72.084	22.5037
167.500000	72.033	22.5543
170.000000	72.020	22.6989
172.500000	72.053	22.9077
175.000000	72.134	22.9792
177.500000	72.243	22.6756
180.000000	72.341	21.9287
182.500000	72.393	20.8645
185.000000	72.386	19.6787
187.500000	72.330	18.5548
190.000000	72.245	17.6174
192.500000	72.145	16.9113
195.000000	72.040	16.4142
197.500000	71.938	16.0597
200.000000	71.840	15.7773
203.000000	71.730	15.4855
206.000000	71.626	15.2445
209.000000	71.523	15.0728
212.000000	71.418	14.9651
214.000000	71.347	14.9199
218.000000	71.205	14.8987
220.000000	71.135	14.9328
224.000000	70.997	15.0942
227.000000	70.900	15.2870
230.000000	70.809	15.5402
233.000000	70.722	15.8585
236.000000	70.638	16.2310
240.000000	70.529	16.7549
243.000000	70.446	17.1411
247.000000	70.323	17.7017
250.000000	70.215	18.2412
254.000000	70.053	19.2729
258.000000	69.894	20.8665
262.000000	69.782	23.2169
265.000000	69.771	25.4773
269.000000	69.924	28.8899
272.000000	70.196	31.4090
276.000000	70.751	34.0699
280.000000	71.422	35.2860
285.000000	72.212	34.4341
290.000000	72.783	31.5844
295.000000	73.091	27.9283
300.000000	73.183	24.4600
304.000000	73.153	22.1299
307.000000	73.093	20.6711
311.000000	72.986	19.0814
315.000000	72.867	17.8364
320.000000	72.717	16.6620
325.000000	72.574	15.8114
330.000000	72.441	15.1954
335.000000	72.324	14.7544
340.000000	72.224	14.4470
345.000000	72.137	14.2252
350.000000	72.057	14.0531
355.000000	71.982	13.9148
360.000000	71.912	13.7997
365.000000	71.846	13.6908
370.000000	71.782	13.5764
375.000000	71.719	13.4673
382.000000	71.625	13.3671
387.000000	71.556	13.3648
395.000000	71.448	13.5137
400.000000	71.385	13.6926
406.000000	71.317	13.9716
412.000000	71.259	14.2954
418.000000	71.214	14.6401
425.000000	71.177	15.0444
431.000000	71.158	15.3776
437.000000	71.148	15.6920
444.000000	71.143	16.0243
450.000000	71.144	16.2633
455.000000	71.145	16.4276
462.000000	71.148	16.6149
468.000000	71.148	16.7455
475.000000	71.146	16.8771
482.000000	71.140	17.0001
487.000000	71.132	17.0900
494.000000	71.119	17.2271
500.000000	71.108	17.3567
508.000000	71.093	17.5421
515.000000	71.078	17.7151
522.000000	71.063	17.9000
530.000000	71.047	18.1193
538.000000	71.032	18.3425
545.000000	71.020	18.5536
552.000000	71.011	18.7865
560.000000	71.005	19.0691
570.000000	71.000	19.4182
580.000000	70.997	19.7486
590.000000	70.997	20.0659
600.000000	70.998	20.3503
608.000000	70.997	20.5605
615.000000	70.994	20.7504
622.000000	70.991	20.9556
630.000000	70.988	21.2078
640.000000	70.988	21.5343
650.000000	70.992	21.8612
660.000000	71.000	22.1703
670.000000	71.008	22.4452
680.000000	71.012	22.7018
690.000000	71.013	22.9614
700.000000	71.011	23.2286
710.000000	71.008	23.5121
720.000000	71.007	23.8127
730.000000	71.006	24.1179
740.000000	71.007	24.4248
750.000000	71.008	24.7399
762.000000	71.010	25.1331
775.000000	71.013	25.5722
788.000000	71.018	26.0226
800.000000	71.026	26.4404
812.000000	71.036	26.8513
825.000000	71.048	27.2904
838.000000	71.062	27.7309
850.000000	71.079	28.1314
862.000000	71.098	28.5108
875.000000	71.118	28.9016
885.000000	71.133	29.1892
900.000000	71.152	29.5869
912.000000	71.162	29.8853
925.000000	71.167	30.2208
938.000000	71.168	30.5978
950.000000	71.172	30.9848
962.000000	71.183	31.3841
975.000000	71.199	31.7889
988.000000	71.214	32.1414
1000.000000	71.218	32.4442
1015.000000	71.212	32.8592
1030.000000	71.203	33.3429
1044.000000	71.197	33.8388
1060.000000	71.194	34.4491
1075.000000	71.195	35.0445
1090.000000	71.198	35.6505
1106.000000	71.202	36.3145
1120.000000	71.209	36.9069
1138.000000	71.221	37.6749
1150.000000	71.229	38.1904
1172.000000	71.239	39.1950
1180.000000	71.244	39.5934
1206.000000	71.281	40.8878
1220.000000	71.303	41.5015
1241.000000	71.312	42.4301
1250.000000	71.310	42.9086
1265.000000	71.313	43.8657
1280.000000	71.345	44.9632
1315.000000	71.546	47.2200
1320.000000	71.578	47.4553
1340.000000	71.689	48.2409
1360.000000	71.763	48.9560
1380.000000	71.810	49.8044
1400.000000	71.850	50.8922
1430.000000	71.957	53.0465
1450.000000	72.104	54.6067
1475.000000	72.354	56.1856
1500.000000	72.606	57.2527
1525.000000	72.831	58.0858
1550.000000	73.035	58.8787
1575.000000	73.233	59.7227
1600.000000	73.446	60.6306
1625.000000	73.681	61.4320
1650.000000	73.911	62.0527
1675.000000	74.124	62.6012
1700.000000	74.317	63.2065
1725.000000	74.509	64.1054
1750.000000	74.766	65.4042
1775.000000	75.141	66.7632
1800.000000	75.623	67.7033
1825.000000	76.175	67.9490
1850.000000	76.752	67.2015
1875.000000	77.263	65.2338
1900.000000	77.631	62.3419
1925.000000	77.843	59.0868
1950.000000	77.923	55.9196
1975.000000	77.912	53.0388
2000.000000	77.835	50.3323
2030.000000	77.616	47.3007
2060.000000	77.224	45.1061
2090.000000	76.708	44.4563
2120.000000	76.196	45.6318
2140.000000	75.941	47.1880
2180.000000	75.725	50.7525
2200.000000	75.722	52.3931
2240.000000	75.850	55.5264
2270.000000	76.088	57.6506
2300.000000	76.416	59.0526
2330.000000	76.742	59.5236
2360.000000	76.994	59.3435
2400.000000	77.199	58.9279
2430.000000	77.306	58.9633
2470.000000	77.490	59.4520
2500.000000	77.688	59.8107
2540.000000	77.993	59.8070
2580.000000	78.256	59.1417
2620.000000	78.431	58.3132
2650.000000	78.530	57.8829
2690.000000	78.672	57.5607
2720.000000	78.799	57.3571
2760.000000	78.983	56.9961
2800.000000	79.173	56.5257
2850.000000	79.430	55.8132
2900.000000	79.714	54.6577
2950.000000	79.956	52.8213
3000.000000	80.096	50.6253
3040.000000	80.146	48.9272
3070.000000	80.164	47.7178
3110.000000	80.166	46.1221
3150.000000	80.131	44.5695
3200.000000	80.044	42.8595
3250.000000	79.951	41.3828
3300.000000	79.863	39.8260
3350.000000	79.740	37.9354
3400.000000	79.510	35.8681
3450.000000	79.145	34.1686
3500.000000	78.682	33.2248
3550.000000	78.160	33.0771
3600.000000	77.584	33.8431
3650.000000	76.968	35.8701
3700.000000	76.380	39.4403
3750.000000	75.942	44.4701
3820.000000	75.802	52.7178
3870.000000	76.047	58.4079
3950.000000	76.861	66.2431
4000.000000	77.572	70.1968
4060.000000	78.574	73.7072
4120.000000	79.661	75.5880
4180.000000	80.756	75.7621
4250.000000	81.990	73.8892
4310.000000	82.945	70.3635
4370.000000	83.703	65.0025
4440.000000	84.227	57.1295
4500.000000	84.352	50.1557
4550.000000	84.282	44.8496
4620.000000	84.026	38.4002
4680.000000	83.707	33.4990
4750.000000	83.184	28.4699
4820.000000	82.471	24.7980
4870.000000	81.874	23.3843
4940.000000	81.020	23.1729
5000.000000	80.372	24.2516
5080.000000	79.719	26.5858
5150.000000	79.337	28.8445
5220.000000	79.077	31.0579
5300.000000	78.878	33.5792
5380.000000	78.777	36.2085
5450.000000	78.788	38.4878
5520.000000	78.883	40.5147
5600.000000	79.051	42.3942
5700.000000	79.302	44.2872
5800.000000	79.611	45.9579
5900.000000	80.024	47.4568
6000.000000	80.584	48.4732
6080.000000	81.126	48.5754
6150.000000	81.644	47.9370
6220.000000	82.174	46.4926
6300.000000	82.758	43.7303
6400.000000	83.377	38.4797
6500.000000	83.770	31.3472
6600.000000	83.842	22.9386
6700.000000	83.537	14.3384
6800.000000	82.857	6.8505
6900.000000	81.864	1.5731
7000.000000	80.678	-0.9791
7100.000000	79.459	-1.0180
7200.000000	78.353	0.7062
7300.000000	77.431	3.5081
7400.000000	76.718	6.9246
7500.000000	76.206	10.3860
7620.000000	75.731	14.3962
7750.000000	75.307	19.6859
7880.000000	75.223	26.4450
8000.000000	75.647	32.6295
8120.000000	76.464	37.2799
8250.000000	77.581	39.8046
8380.000000	78.789	39.5848
8500.000000	79.914	36.8682
8620.000000	80.957	31.3381
8750.000000	81.840	21.8007
8850.000000	82.249	12.1054
