* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -38.6 dBFS, measurement signal peak level -31.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 3, 2024 4:22:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0312 ms (-11 mm, -0.42 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -38.6 ppm
* Measurement: Grado SR60X L Yaxi S Cush
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	52.605	-131.9365
20.299999	52.946	-133.8918
20.600000	53.240	-135.8408
20.900000	53.493	-137.6127
21.200001	53.725	-139.0912
21.400000	53.882	-139.9084
21.799999	54.223	-141.3001
22.000000	54.409	-141.9664
22.400000	54.801	-143.4070
22.700001	55.092	-144.6642
23.000000	55.367	-146.0582
23.299999	55.621	-147.5327
23.600000	55.854	-149.0240
24.000000	56.141	-150.9627
24.299999	56.347	-152.3575
24.700001	56.620	-154.1341
25.000000	56.829	-155.4118
25.400000	57.122	-157.0710
25.799999	57.441	-158.7563
26.200001	57.779	-160.5865
26.500000	58.036	-162.1142
26.900000	58.360	-164.3596
27.200001	58.577	-166.1439
27.600000	58.830	-168.4950
28.000000	59.050	-170.6418
28.500000	59.323	-172.8952
29.000000	59.637	-174.7977
29.500000	59.998	-176.6573
30.000000	60.370	-178.7275
30.400000	60.646	179.4462
30.700001	60.830	178.0305
31.100000	61.042	176.1801
31.500000	61.224	174.4857
32.000000	61.436	172.6829
32.500000	61.667	171.1490
33.000000	61.926	169.5815
33.500000	62.175	167.7115
34.000000	62.359	165.6105
34.500000	62.460	163.7114
35.000000	62.537	162.4515
35.500000	62.688	161.7973
36.000000	62.959	161.1716
36.500000	63.301	159.9543
37.000000	63.618	158.0061
37.500000	63.857	155.6771
38.200001	64.094	152.5811
38.700001	64.245	150.6658
39.500000	64.494	147.8409
40.000000	64.642	146.1641
40.599998	64.813	144.3121
41.200001	64.990	142.6035
41.799999	65.170	140.9297
42.500000	65.368	138.9948
43.099998	65.527	137.4123
43.700001	65.687	135.8822
44.400002	65.874	134.0499
45.000000	66.023	132.3992
45.500000	66.134	130.9950
46.200001	66.268	129.0563
46.799999	66.371	127.4776
47.500000	66.492	125.7599
48.200001	66.627	124.1124
48.700001	66.731	122.9103
49.400002	66.875	121.1322
50.000000	66.980	119.5508
50.799999	67.089	117.5243
51.500000	67.169	115.9636
52.200001	67.260	114.5821
53.000000	67.382	113.0528
53.799999	67.503	111.5077
54.500000	67.605	110.2175
55.200001	67.715	108.9911
56.000000	67.849	107.5539
57.000000	68.003	105.6563
58.000000	68.134	103.8351
59.000000	68.270	102.0838
60.000000	68.400	100.1993
60.799999	68.478	98.6239
61.500000	68.525	97.3056
62.200001	68.562	96.0965
63.000000	68.606	94.8306
64.000000	68.669	93.3330
65.000000	68.739	91.8411
66.000000	68.807	90.2974
67.000000	68.864	88.6896
68.000000	68.903	87.0632
69.000000	68.933	85.4725
70.000000	68.962	83.9188
71.000000	68.987	82.3764
72.000000	68.995	80.9357
73.000000	68.992	79.8215
74.000000	69.021	79.0734
75.000000	69.103	78.3842
76.199997	69.220	77.2737
77.500000	69.310	75.8130
78.800003	69.362	74.2905
80.000000	69.389	72.8676
81.199997	69.403	71.4634
82.500000	69.407	70.0377
83.800003	69.408	68.7527
85.000000	69.410	67.6904
86.199997	69.414	66.7147
87.500000	69.419	65.7077
88.500000	69.424	64.9583
90.000000	69.442	63.8673
91.199997	69.470	62.9810
92.500000	69.508	61.9453
93.800003	69.538	60.8574
95.000000	69.552	59.9068
96.199997	69.560	59.0658
97.500000	69.569	58.2570
98.800003	69.577	57.5052
100.000000	69.582	56.8292
101.500000	69.581	55.9756
103.000000	69.576	55.0887
104.400002	69.573	54.2068
106.000000	69.576	53.1174
107.500000	69.577	52.0568
109.000000	69.570	51.0406
110.599998	69.556	50.0629
112.000000	69.549	49.2598
113.800003	69.552	48.2099
115.000000	69.558	47.4913
117.199997	69.555	46.2860
118.000000	69.547	45.9331
120.599998	69.497	44.9869
122.000000	69.450	44.5104
