* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -34.6 dBFS, measurement signal peak level -30.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 3, 2024 4:21:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0285 ms (-9.8 mm, -0.39 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -38.3 ppm
* Measurement: Grado SR60X R Yaxi S Cush
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	55.388	-163.0795
20.299999	55.574	-163.6966
20.600000	55.826	-163.6665
20.900000	56.180	-163.4694
21.200001	56.615	-163.6431
21.400000	56.918	-164.1721
21.799999	57.469	-166.2886
22.000000	57.687	-167.7778
22.400000	57.985	-171.1782
22.700001	58.099	-173.6314
23.000000	58.155	-175.6984
23.299999	58.198	-177.2574
23.600000	58.274	-178.3502
24.000000	58.481	-179.3976
24.299999	58.720	179.8263
24.700001	59.114	178.4702
25.000000	59.426	177.1382
25.400000	59.818	175.0443
25.799999	60.161	172.8760
26.200001	60.465	170.9392
26.500000	60.684	169.7377
26.900000	60.986	168.4398
27.200001	61.228	167.6044
27.600000	61.562	166.5003
28.000000	61.884	165.2856
28.500000	62.233	163.6027
29.000000	62.506	161.9212
29.500000	62.721	160.3970
30.000000	62.906	158.9989
30.400000	63.042	157.8707
30.700001	63.137	156.9739
31.100000	63.251	155.6946
31.500000	63.352	154.3395
32.000000	63.469	152.5853
32.500000	63.595	150.7846
33.000000	63.742	148.9169
33.500000	63.915	146.9634
34.000000	64.110	144.9509
34.500000	64.323	142.9518
35.000000	64.552	141.0522
35.500000	64.800	139.2922
36.000000	65.064	137.6353
36.500000	65.327	136.0142
37.000000	65.565	134.4180
37.500000	65.761	132.9297
38.200001	65.975	131.2162
38.700001	66.109	130.2383
39.500000	66.317	128.6966
40.000000	66.428	127.5525
40.599998	66.526	125.9980
41.200001	66.596	124.3680
41.799999	66.668	122.7336
42.500000	66.787	120.7756
43.099998	66.922	119.0029
43.700001	67.074	117.2100
44.400002	67.264	115.3080
45.000000	67.441	113.9494
45.500000	67.595	112.9939
46.200001	67.802	111.8803
46.799999	67.960	111.0878
47.500000	68.107	110.1653
48.200001	68.179	109.0430
48.700001	68.171	108.1349
49.400002	68.111	106.6504
50.000000	68.029	104.7979
50.799999	67.766	101.3458
51.500000	67.293	98.9032
52.200001	66.772	98.7102
53.000000	66.637	100.2155
53.799999	67.081	100.1691
54.500000	67.587	98.0052
55.200001	68.020	95.0571
56.000000	68.430	92.0970
57.000000	68.874	89.6175
58.000000	69.246	88.0504
59.000000	69.487	86.7598
60.000000	69.577	85.6669
60.799999	69.587	84.8968
61.500000	69.584	84.1476
62.200001	69.582	83.2498
63.000000	69.591	82.0493
64.000000	69.634	80.3635
