* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 9, 2023 5:02:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HD58x Stock Pads
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	60.926	177.7748
20.299999	61.144	176.2878
20.600000	61.353	175.0943
20.900000	61.577	174.1243
21.200001	61.828	173.2041
21.400000	62.004	172.5147
21.799999	62.341	170.8260
22.000000	62.484	169.8414
22.400000	62.699	167.8018
22.700001	62.803	166.4858
23.000000	62.888	165.5359
23.299999	62.992	164.9814
23.600000	63.149	164.6930
24.000000	63.465	164.2856
24.299999	63.754	163.6534
24.700001	64.144	162.1641
25.000000	64.401	160.6527
25.400000	64.672	158.4273
25.799999	64.884	156.3431
26.200001	65.081	154.5842
26.500000	65.242	153.4344
26.900000	65.482	151.9608
27.200001	65.674	150.8091
27.600000	65.925	149.1806
28.000000	66.159	147.5137
28.500000	66.432	145.5191
29.000000	66.697	143.6609
29.500000	66.956	141.8635
30.000000	67.195	140.1185
30.400000	67.370	138.8340
30.700001	67.500	137.9685
31.100000	67.684	136.9242
31.500000	67.886	135.9011
32.000000	68.151	134.4514
32.500000	68.391	132.7216
33.000000	68.576	130.8679
33.500000	68.708	129.1460
34.000000	68.821	127.6913
34.500000	68.941	126.4397
35.000000	69.074	125.2397
35.500000	69.210	124.0075
36.000000	69.341	122.7563
36.500000	69.466	121.5261
37.000000	69.592	120.3286
37.500000	69.721	119.1496
38.200001	69.911	117.4866
38.700001	70.051	116.2525
39.500000	70.265	114.1638
40.000000	70.381	112.8459
40.599998	70.507	111.3654
41.200001	70.631	110.0369
41.799999	70.763	108.8096
42.500000	70.922	107.4266
43.099998	71.058	106.2800
43.700001	71.198	105.1685
44.400002	71.367	103.8374
45.000000	71.507	102.6008
45.500000	71.613	101.5137
46.200001	71.742	99.9857
46.799999	71.846	98.7202
47.500000	71.970	97.2697
48.200001	72.099	95.7845
48.700001	72.188	94.6968
49.400002	72.303	93.1821
50.000000	72.393	91.9373
50.799999	72.504	90.3902
51.500000	72.591	89.1499
52.200001	72.668	88.0226
53.000000	72.749	86.8386
53.799999	72.824	85.6548
54.500000	72.877	84.5408
55.200001	72.917	83.3259
56.000000	72.948	81.7968
57.000000	72.975	79.6295
58.000000	72.980	77.0859
59.000000	72.913	74.5499
60.000000	72.831	72.8697
60.799999	72.852	71.9717
61.500000	72.914	71.0767
62.200001	72.958	70.0661
63.000000	72.956	69.0978
64.000000	72.905	68.5323
65.000000	72.857	68.6818
66.000000	72.863	69.2545
67.000000	72.944	69.7914
68.000000	73.078	69.9474
69.000000	73.231	69.6403
70.000000	73.379	68.9855
71.000000	73.517	68.1685
72.000000	73.650	67.3169
73.000000	73.783	66.4451
74.000000	73.912	65.5241
75.000000	74.028	64.5462
76.199997	74.150	63.3026
77.500000	74.264	61.8978
78.800003	74.371	60.4682
80.000000	74.466	59.1380
81.199997	74.553	57.8212
82.500000	74.629	56.4329
83.800003	74.678	55.0851
85.000000	74.698	53.8781
86.199997	74.705	52.6860
87.500000	74.712	51.3206
88.500000	74.713	50.1847
90.000000	74.686	48.4780
91.199997	74.638	47.3482
92.500000	74.579	46.5294
93.800003	74.537	46.0305
95.000000	74.515	45.6972
96.199997	74.506	45.4032
97.500000	74.511	45.0893
98.800003	74.535	44.7665
100.000000	74.574	44.4502
101.500000	74.639	44.0132
103.000000	74.707	43.5149
104.400002	74.768	42.9604
106.000000	74.832	42.1889
107.500000	74.885	41.3879
109.000000	74.938	40.5927
110.599998	74.990	39.7692
112.000000	75.024	39.0367
113.800003	75.049	37.9935
115.000000	75.062	37.1751
117.199997	75.088	35.4100
118.000000	75.095	34.7621
120.599998	75.097	33.3584
122.000000	75.112	33.1200
