* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 9, 2023 5:05:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HD58x ZMF Perf Suede
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	60.801	169.9136
20.299999	61.075	168.1584
20.600000	61.317	166.3903
20.900000	61.535	164.7042
21.200001	61.741	163.1390
21.400000	61.876	162.1533
21.799999	62.145	160.2489
22.000000	62.276	159.3054
22.400000	62.523	157.4316
22.700001	62.690	156.0798
23.000000	62.845	154.8303
23.299999	62.995	153.7181
23.600000	63.150	152.7406
24.000000	63.379	151.5666
24.299999	63.567	150.6957
24.700001	63.832	149.4465
25.000000	64.030	148.4193
25.400000	64.286	146.9478
25.799999	64.526	145.4088
26.200001	64.752	143.8370
26.500000	64.913	142.6433
26.900000	65.114	141.0406
27.200001	65.254	139.8438
27.600000	65.428	138.2865
28.000000	65.591	136.8005
28.500000	65.787	135.0521
29.000000	65.982	133.3934
29.500000	66.174	131.8001
30.000000	66.363	130.2828
30.400000	66.513	129.1329
30.700001	66.628	128.3029
31.100000	66.784	127.2218
31.500000	66.941	126.1478
32.000000	67.136	124.7954
32.500000	67.324	123.4299
33.000000	67.503	122.0494
33.500000	67.672	120.6389
34.000000	67.823	119.1912
34.500000	67.953	117.7325
35.000000	68.061	116.3155
35.500000	68.154	114.9763
36.000000	68.241	113.7093
36.500000	68.325	112.4894
37.000000	68.408	111.3104
37.500000	68.494	110.1870
38.200001	68.632	108.6934
38.700001	68.749	107.6162
39.500000	68.951	105.7535
40.000000	69.072	104.5264
40.599998	69.207	103.0706
41.200001	69.333	101.6757
41.799999	69.448	100.3562
42.500000	69.568	98.9423
43.099998	69.665	97.8526
43.700001	69.763	96.8293
44.400002	69.877	95.6091
45.000000	69.966	94.4845
45.500000	70.029	93.4962
46.200001	70.097	92.0790
46.799999	70.142	90.8834
47.500000	70.189	89.5623
48.200001	70.244	88.3393
48.700001	70.293	87.5140
49.400002	70.378	86.3903
50.000000	70.459	85.4318
50.799999	70.562	84.1626
51.500000	70.634	83.1180
52.200001	70.686	82.1991
53.000000	70.728	81.2922
53.799999	70.752	80.4498
54.500000	70.758	79.7252
55.200001	70.757	78.9725
56.000000	70.758	77.9699
57.000000	70.759	76.3885
58.000000	70.739	74.4578
59.000000	70.649	72.7327
60.000000	70.575	72.2746
60.799999	70.670	72.5776
61.500000	70.855	72.6400
62.200001	71.057	72.3058
63.000000	71.254	71.6701
64.000000	71.443	70.8427
65.000000	71.580	70.0580
66.000000	71.675	69.3018
67.000000	71.741	68.5400
68.000000	71.792	67.7529
69.000000	71.841	66.9446
70.000000	71.898	66.1188
71.000000	71.964	65.2721
72.000000	72.035	64.4199
73.000000	72.105	63.5983
74.000000	72.172	62.8367
75.000000	72.242	62.1235
76.199997	72.327	61.2609
77.500000	72.412	60.2802
78.800003	72.487	59.2769
80.000000	72.550	58.3458
81.199997	72.607	57.4079
82.500000	72.663	56.3943
83.800003	72.712	55.4290
85.000000	72.756	54.6004
86.199997	72.799	53.8268
87.500000	72.846	53.0340
88.500000	72.883	52.4260
90.000000	72.936	51.4343
91.199997	72.967	50.5969
92.500000	72.994	49.7526
93.800003	73.026	49.0041
95.000000	73.063	48.3622
96.199997	73.096	47.7245
97.500000	73.112	47.0577
98.800003	73.107	46.4996
100.000000	73.097	46.0875
101.500000	73.097	45.6384
103.000000	73.118	45.1780
104.400002	73.156	44.6731
106.000000	73.205	44.0027
107.500000	73.248	43.3367
109.000000	73.281	42.6590
110.599998	73.300	41.9371
112.000000	73.303	41.3316
113.800003	73.316	40.4836
115.000000	73.336	39.7403
117.199997	73.374	37.9406
118.000000	73.376	37.2386
120.599998	73.336	35.7299
122.000000	73.331	35.6340
124.099998	73.377	35.8388
125.000000	73.402	35.8789
126.500000	73.433	35.8021
128.000000	73.451	35.5697
131.500000	73.494	34.6284
132.000000	73.502	34.4665
134.000000	73.528	33.8242
136.000000	73.546	33.2858
138.000000	73.564	32.8723
140.000000	73.586	32.5063
143.000000	73.616	31.9603
145.000000	73.634	31.5589
147.500000	73.658	30.9946
150.000000	73.686	30.4124
152.500000	73.720	29.8473
155.000000	73.753	29.3010
157.500000	73.776	28.7709
160.000000	73.786	28.2812
162.500000	73.789	27.8217
165.000000	73.794	27.3209
167.500000	73.805	26.7312
170.000000	73.817	26.1144
172.500000	73.826	25.5677
175.000000	73.833	25.0917
177.500000	73.838	24.6385
180.000000	73.845	24.2144
182.500000	73.852	23.8492
185.000000	73.854	23.5122
187.500000	73.850	23.1531
190.000000	73.843	22.7758
192.500000	73.833	22.4200
195.000000	73.821	22.1121
197.500000	73.808	21.8510
200.000000	73.798	21.6284
203.000000	73.792	21.4030
206.000000	73.795	21.2112
209.000000	73.806	21.0332
212.000000	73.824	20.8405
214.000000	73.839	20.6955
218.000000	73.872	20.3692
220.000000	73.890	20.1945
224.000000	73.922	19.8281
227.000000	73.942	19.5329
230.000000	73.957	19.2156
233.000000	73.967	18.8905
236.000000	73.975	18.5806
240.000000	73.983	18.2123
243.000000	73.988	17.9677
247.000000	73.995	17.6635
250.000000	74.001	17.4429
254.000000	74.011	17.1580
258.000000	74.020	16.8856
262.000000	74.030	16.6219
265.000000	74.037	16.4271
269.000000	74.045	16.1699
272.000000	74.050	15.9817
276.000000	74.058	15.7462
280.000000	74.068	15.5355
285.000000	74.083	15.3018
290.000000	74.100	15.0842
295.000000	74.121	14.8752
300.000000	74.143	14.6598
304.000000	74.154	14.4628
307.000000	74.161	14.3086
311.000000	74.170	14.1105
315.000000	74.179	13.9255
320.000000	74.192	13.7145
325.000000	74.208	13.5278
330.000000	74.225	13.3519
335.000000	74.242	13.1688
340.000000	74.259	12.9802
345.000000	74.277	12.7933
350.000000	74.293	12.6069
355.000000	74.308	12.4201
360.000000	74.323	12.2389
365.000000	74.341	12.0745
370.000000	74.359	11.9262
375.000000	74.378	11.7819
382.000000	74.403	11.5676
387.000000	74.420	11.4070
395.000000	74.445	11.1562
400.000000	74.459	11.0107
406.000000	74.476	10.8494
412.000000	74.495	10.6942
418.000000	74.515	10.5397
425.000000	74.539	10.3715
431.000000	74.558	10.2411
437.000000	74.577	10.1213
444.000000	74.599	9.9935
450.000000	74.620	9.8907
455.000000	74.638	9.8085
462.000000	74.665	9.6998
468.000000	74.691	9.6089
475.000000	74.724	9.4987
482.000000	74.759	9.3861
487.000000	74.786	9.3058
494.000000	74.826	9.1853
500.000000	74.861	9.0693
508.000000	74.907	8.8931
515.000000	74.948	8.7148
522.000000	74.987	8.5150
530.000000	75.030	8.2725
538.000000	75.071	8.0248
545.000000	75.104	7.7980
552.000000	75.136	7.5663
560.000000	75.174	7.3025
570.000000	75.221	6.9405
580.000000	75.260	6.5527
590.000000	75.295	6.2000
600.000000	75.338	5.8521
608.000000	75.375	5.5333
615.000000	75.407	5.2111
622.000000	75.438	4.8387
630.000000	75.472	4.3183
640.000000	75.499	3.4315
650.000000	75.462	2.2845
660.000000	75.300	1.3787
670.000000	75.057	1.6482
680.000000	74.925	3.0639
690.000000	74.980	4.3447
700.000000	75.101	4.8922
710.000000	75.206	4.9951
720.000000	75.288	4.9531
730.000000	75.358	4.8672
740.000000	75.424	4.7662
750.000000	75.488	4.6498
762.000000	75.564	4.4792
775.000000	75.647	4.2682
788.000000	75.735	4.0007
800.000000	75.817	3.6545
812.000000	75.894	3.2044
825.000000	75.967	2.6071
838.000000	76.024	1.9188
850.000000	76.061	1.1964
862.000000	76.067	0.3674
875.000000	76.015	-0.5228
885.000000	75.930	-0.9828
900.000000	75.779	-0.9804
912.000000	75.706	-0.4307
925.000000	75.714	0.3420
938.000000	75.799	0.9221
950.000000	75.911	1.1299
962.000000	76.025	1.0315
975.000000	76.130	0.6794
988.000000	76.209	0.1866
1000.000000	76.258	-0.3000
1015.000000	76.300	-0.8458
1030.000000	76.340	-1.3159
1044.000000	76.383	-1.7787
1060.000000	76.426	-2.4038
1075.000000	76.450	-3.0490
1090.000000	76.455	-3.6879
1106.000000	76.445	-4.3115
1120.000000	76.429	-4.7887
1138.000000	76.406	-5.3145
1150.000000	76.393	-5.6329
1172.000000	76.373	-6.2375
1180.000000	76.365	-6.4838
1206.000000	76.311	-7.3477
1220.000000	76.261	-7.7487
1241.000000	76.177	-8.1819
1250.000000	76.141	-8.3156
1265.000000	76.085	-8.4906
1280.000000	76.033	-8.6215
1315.000000	75.934	-8.8308
1320.000000	75.922	-8.8694
1340.000000	75.872	-9.0803
1360.000000	75.806	-9.3182
1380.000000	75.726	-9.5118
1400.000000	75.633	-9.6285
1430.000000	75.477	-9.5260
1450.000000	75.379	-9.2927
1475.000000	75.266	-8.8801
1500.000000	75.172	-8.3326
1525.000000	75.090	-7.7982
1550.000000	75.003	-7.1685
1575.000000	74.938	-6.3608
1600.000000	74.912	-5.6143
1625.000000	74.884	-5.0743
1650.000000	74.825	-4.5283
1675.000000	74.754	-3.7372
1700.000000	74.713	-2.7413
1725.000000	74.709	-1.7864
1750.000000	74.717	-1.0078
1775.000000	74.703	-0.3505
1800.000000	74.658	0.4219
1825.000000	74.611	1.4660
1850.000000	74.590	2.6824
1875.000000	74.596	3.9233
1900.000000	74.612	5.1649
1925.000000	74.636	6.4797
1950.000000	74.680	7.8920
1975.000000	74.753	9.3210
2000.000000	74.845	10.6788
2030.000000	74.965	12.2712
2060.000000	75.104	13.9143
2090.000000	75.274	15.5454
2120.000000	75.467	17.0768
2140.000000	75.602	18.0599
2180.000000	75.898	19.9965
2200.000000	76.061	20.9346
2240.000000	76.419	22.7798
2270.000000	76.734	24.0983
2300.000000	77.085	25.1409
2330.000000	77.436	25.8325
2360.000000	77.770	26.2858
2400.000000	78.190	26.7440
2430.000000	78.500	27.0707
2470.000000	78.931	27.4951
2500.000000	79.274	27.7444
2540.000000	79.755	27.8564
2580.000000	80.245	27.6390
2620.000000	80.730	27.1063
2650.000000	81.089	26.5504
2690.000000	81.567	25.6047
2720.000000	81.923	24.6990
2760.000000	82.381	23.1889
2800.000000	82.811	21.4024
2850.000000	83.315	18.8445
2900.000000	83.767	15.8688
2950.000000	84.151	12.6156
3000.000000	84.480	9.2056
