* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -19.3 dBFS, measurement signal peak level -14.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: May 28, 2023 6:24:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HD599
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	76.645	172.2318
20.299999	76.920	170.8782
20.600000	77.182	169.3608
20.900000	77.414	167.7289
21.200001	77.609	166.0942
21.400000	77.722	165.0746
21.799999	77.924	163.2832
22.000000	78.022	162.5284
22.400000	78.239	161.2549
22.700001	78.427	160.3969
23.000000	78.635	159.5007
23.299999	78.854	158.4894
23.600000	79.070	157.3384
24.000000	79.338	155.6136
24.299999	79.515	154.2480
24.700001	79.721	152.4413
25.000000	79.861	151.1568
25.400000	80.040	149.5632
25.799999	80.224	148.0615
26.200001	80.416	146.5682
26.500000	80.558	145.4169
26.900000	80.740	143.8405
27.200001	80.865	142.6626
27.600000	81.018	141.1642
28.000000	81.167	139.8014
28.500000	81.363	138.2682
29.000000	81.575	136.7990
29.500000	81.789	135.3100
30.000000	81.991	133.8529
30.400000	82.149	132.7740
30.700001	82.271	132.0164
31.100000	82.442	131.0170
31.500000	82.617	129.9549
32.000000	82.819	128.4926
32.500000	82.983	126.9945
33.000000	83.121	125.6607
33.500000	83.263	124.5415
34.000000	83.432	123.4654
34.500000	83.615	122.2079
35.000000	83.777	120.7236
35.500000	83.900	119.1775
36.000000	83.994	117.7768
36.500000	84.086	116.5901
37.000000	84.198	115.5236
37.500000	84.328	114.4402
38.200001	84.511	112.7953
38.700001	84.626	111.5961
39.500000	84.789	109.8405
40.000000	84.891	108.8648
40.599998	85.018	107.7604
41.200001	85.145	106.6775
41.799999	85.268	105.6127
42.500000	85.407	104.3998
43.099998	85.523	103.3647
43.700001	85.633	102.3175
44.400002	85.752	101.0950
45.000000	85.847	100.0686
45.500000	85.925	99.2391
46.200001	86.035	98.1224
46.799999	86.137	97.1833
47.500000	86.264	96.0280
48.200001	86.385	94.7581
48.700001	86.458	93.8152
49.400002	86.542	92.5385
50.000000	86.605	91.5254
50.799999	86.686	90.2740
51.500000	86.756	89.2587
52.200001	86.830	88.3207
53.000000	86.928	87.2958
53.799999	87.036	86.2370
54.500000	87.130	85.2676
55.200001	87.217	84.2934
56.000000	87.308	83.2222
57.000000	87.421	81.9860
58.000000	87.544	80.7722
59.000000	87.659	79.4148
60.000000	87.739	77.9966
60.799999	87.785	76.9382
61.500000	87.824	76.0659
62.200001	87.863	75.2149
63.000000	87.909	74.2546
64.000000	87.967	73.0722
65.000000	88.026	71.9172
66.000000	88.081	70.8013
67.000000	88.132	69.7408
68.000000	88.176	68.7603
69.000000	88.218	67.8715
70.000000	88.265	67.0554
71.000000	88.320	66.2644
72.000000	88.383	65.4517
73.000000	88.451	64.5951
74.000000	88.519	63.6894
75.000000	88.585	62.7375
76.199997	88.653	61.5554
77.500000	88.710	60.2637
78.800003	88.747	59.0087
80.000000	88.765	57.9396
81.199997	88.777	57.0003
82.500000	88.798	56.1234
83.800003	88.842	55.3004
85.000000	88.899	54.4708
86.199997	88.959	53.5077
87.500000	89.013	52.3231
88.500000	89.040	51.3470
90.000000	89.053	49.8388
91.199997	89.039	48.6366
92.500000	88.998	47.3850
93.800003	88.928	46.2403
95.000000	88.842	45.3297
96.199997	88.739	44.6043
97.500000	88.620	44.0620
98.800003	88.505	43.7892
100.000000	88.414	43.7682
101.500000	88.338	43.9922
103.000000	88.314	44.3684
104.400002	88.338	44.7213
106.000000	88.406	44.9910
107.500000	88.493	45.0312
109.000000	88.585	44.8454
110.599998	88.673	44.4596
112.000000	88.739	44.0451
113.800003	88.816	43.4947
115.000000	88.867	43.1318
117.199997	88.965	42.4382
118.000000	89.000	42.1594
120.599998	89.103	41.0969
122.000000	89.142	40.4536
124.099998	89.180	39.4968
125.000000	89.191	39.1096
126.500000	89.204	38.5086
128.000000	89.215	37.9656
131.500000	89.236	36.8678
132.000000	89.238	36.7197
134.000000	89.244	36.1280
136.000000	89.240	35.5647
138.000000	89.231	35.1009
140.000000	89.231	34.7490
143.000000	89.267	34.2542
145.000000	89.302	33.8651
147.500000	89.346	33.3165
150.000000	89.384	32.7258
152.500000	89.414	32.1216
155.000000	89.438	31.5139
157.500000	89.459	30.8943
160.000000	89.480	30.2821
162.500000	89.500	29.6955
165.000000	89.516	29.1312
167.500000	89.523	28.5872
170.000000	89.524	28.0645
172.500000	89.523	27.5651
175.000000	89.522	27.0865
177.500000	89.521	26.6210
180.000000	89.518	26.1705
182.500000	89.513	25.7426
185.000000	89.506	25.3373
187.500000	89.499	24.9446
190.000000	89.494	24.5564
192.500000	89.490	24.1760
195.000000	89.487	23.8088
197.500000	89.483	23.4516
200.000000	89.478	23.0947
203.000000	89.471	22.6603
206.000000	89.459	22.2299
209.000000	89.443	21.8232
212.000000	89.422	21.4482
214.000000	89.407	21.2165
218.000000	89.376	20.8051
220.000000	89.362	20.6273
224.000000	89.335	20.3092
227.000000	89.318	20.0863
230.000000	89.303	19.8726
233.000000	89.287	19.6681
236.000000	89.272	19.4715
240.000000	89.254	19.2343
243.000000	89.243	19.0824
247.000000	89.232	18.8994
250.000000	89.227	18.7667
254.000000	89.224	18.5875
258.000000	89.222	18.3873
262.000000	89.219	18.1586
265.000000	89.216	17.9771
269.000000	89.209	17.7319
272.000000	89.203	17.5486
276.000000	89.191	17.3104
280.000000	89.178	17.0855
285.000000	89.160	16.8240
290.000000	89.141	16.5817
295.000000	89.120	16.3578
300.000000	89.097	16.1605
304.000000	89.078	16.0272
307.000000	89.064	15.9402
311.000000	89.045	15.8381
315.000000	89.027	15.7492
320.000000	89.006	15.6581
325.000000	88.989	15.5859
330.000000	88.973	15.5231
335.000000	88.959	15.4625
340.000000	88.946	15.3973
345.000000	88.935	15.3232
350.000000	88.923	15.2433
355.000000	88.911	15.1689
360.000000	88.898	15.1138
365.000000	88.884	15.0807
370.000000	88.870	15.0609
375.000000	88.858	15.0422
382.000000	88.845	15.0099
387.000000	88.838	14.9852
395.000000	88.827	14.9502
400.000000	88.821	14.9349
406.000000	88.814	14.9172
412.000000	88.808	14.8860
418.000000	88.801	14.8321
425.000000	88.788	14.7529
431.000000	88.773	14.6959
437.000000	88.756	14.6675
444.000000	88.737	14.6767
450.000000	88.725	14.7100
455.000000	88.719	14.7380
462.000000	88.714	14.7493
468.000000	88.709	14.7267
475.000000	88.699	14.6866
482.000000	88.685	14.6591
487.000000	88.674	14.6514
494.000000	88.657	14.6555
500.000000	88.643	14.6735
508.000000	88.625	14.7191
515.000000	88.612	14.7694
522.000000	88.601	14.8117
530.000000	88.590	14.8402
538.000000	88.577	14.8561
545.000000	88.564	14.8678
552.000000	88.547	14.8823
560.000000	88.526	14.9081
570.000000	88.495	14.9596
580.000000	88.462	15.0457
590.000000	88.431	15.1823
600.000000	88.405	15.3611
608.000000	88.392	15.5116
615.000000	88.385	15.6256
622.000000	88.384	15.7045
630.000000	88.385	15.7326
640.000000	88.387	15.6508
650.000000	88.381	15.4083
660.000000	88.354	14.9708
670.000000	88.281	14.3597
680.000000	88.134	13.7356
690.000000	87.896	13.4563
700.000000	87.589	13.9946
710.000000	87.299	15.5754
720.000000	87.133	17.8573
730.000000	87.125	20.1678
740.000000	87.225	22.0238
750.000000	87.365	23.3221
762.000000	87.530	24.3129
775.000000	87.679	24.9774
788.000000	87.798	25.4451
800.000000	87.889	25.7958
812.000000	87.966	26.0988
825.000000	88.039	26.3928
838.000000	88.104	26.6654
850.000000	88.157	26.9036
862.000000	88.205	27.1349
875.000000	88.254	27.3827
885.000000	88.290	27.5615
900.000000	88.342	27.7865
912.000000	88.376	27.9316
925.000000	88.404	28.0772
938.000000	88.424	28.2377
950.000000	88.436	28.4174
962.000000	88.448	28.6336
975.000000	88.463	28.9023
988.000000	88.483	29.1795
1000.000000	88.503	29.4135
1015.000000	88.525	29.6835
1030.000000	88.541	29.9731
1044.000000	88.560	30.2543
1060.000000	88.583	30.5418
1075.000000	88.601	30.7711
1090.000000	88.614	30.9705
1106.000000	88.619	31.1669
1120.000000	88.616	31.3437
1138.000000	88.600	31.5974
1150.000000	88.581	31.8037
1172.000000	88.536	32.3168
1180.000000	88.518	32.5569
1206.000000	88.474	33.5467
1220.000000	88.469	34.1487
1241.000000	88.481	35.0119
1250.000000	88.491	35.3535
1265.000000	88.508	35.8928
1280.000000	88.525	36.4152
1315.000000	88.570	37.6263
1320.000000	88.578	37.7983
1340.000000	88.617	38.4592
1360.000000	88.664	39.0146
1380.000000	88.704	39.4003
1400.000000	88.715	39.6952
1430.000000	88.687	40.2461
1450.000000	88.648	40.6962
1475.000000	88.575	41.4698
1500.000000	88.503	42.5262
1525.000000	88.443	43.7335
1550.000000	88.379	45.0721
1575.000000	88.319	46.6967
1600.000000	88.293	48.5898
1625.000000	88.307	50.5950
1650.000000	88.359	52.7004
1675.000000	88.467	54.8560
1700.000000	88.629	56.8666
1725.000000	88.823	58.5922
1750.000000	89.023	60.0414
1775.000000	89.216	61.2884
1800.000000	89.395	62.3734
1825.000000	89.550	63.3882
1850.000000	89.685	64.4552
1875.000000	89.814	65.6607
1900.000000	89.956	67.0320
1925.000000	90.127	68.4870
1950.000000	90.326	69.8950
1975.000000	90.541	71.1993
2000.000000	90.762	72.4133
2030.000000	91.034	73.8113
2060.000000	91.320	75.1633
2090.000000	91.620	76.4244
2120.000000	91.924	77.5604
2140.000000	92.123	78.2868
2180.000000	92.529	79.8868
2200.000000	92.759	80.7842
2240.000000	93.303	82.4680
2270.000000	93.761	83.3412
2300.000000	94.225	83.7676
2330.000000	94.670	83.8067
2360.000000	95.088	83.5760
2400.000000	95.605	82.9836
2430.000000	95.960	82.3812
2470.000000	96.388	81.5034
2500.000000	96.687	80.8849
2540.000000	97.072	80.1394
2580.000000	97.453	79.4527
2620.000000	97.837	78.8459
2650.000000	98.141	78.4422
2690.000000	98.578	77.8720
2720.000000	98.929	77.3352
2760.000000	99.420	76.4051
2800.000000	99.937	75.1808
2850.000000	100.611	73.0531
2900.000000	101.266	69.9799
2950.000000	101.828	65.9632
3000.000000	102.264	61.3245
3040.000000	102.518	57.3777
3070.000000	102.652	54.3738
3110.000000	102.762	50.4324
3150.000000	102.807	46.6769
3200.000000	102.801	42.2699
3250.000000	102.736	38.1270
3300.000000	102.618	34.3015
3350.000000	102.479	30.7605
3400.000000	102.327	27.2161
3450.000000	102.114	23.5479
3500.000000	101.798	20.0590
3550.000000	101.386	17.1221
3600.000000	100.914	14.8975
3650.000000	100.413	13.3798
3700.000000	99.900	12.5626
3750.000000	99.389	12.5240
3820.000000	98.752	13.7607
3870.000000	98.404	15.3490
3950.000000	98.097	18.5829
4000.000000	98.089	20.7410
4060.000000	98.284	22.9640
4120.000000	98.647	24.0956
4180.000000	99.051	23.7244
4250.000000	99.423	21.5533
4310.000000	99.576	18.7406
4370.000000	99.556	15.7775
4440.000000	99.370	12.8667
4500.000000	99.140	11.0195
4550.000000	98.928	9.8873
4620.000000	98.627	8.8463
4680.000000	98.384	8.3978
4750.000000	98.142	8.2710
4820.000000	97.962	8.4000
4870.000000	97.877	8.5292
4940.000000	97.809	8.6056
5000.000000	97.786	8.4905
5080.000000	97.779	8.0239
5150.000000	97.777	7.3383
5220.000000	97.768	6.4431
5300.000000	97.745	5.1879
5380.000000	97.700	3.6782
5450.000000	97.628	2.1647
5520.000000	97.512	0.5432
5600.000000	97.313	-1.2441
5700.000000	96.985	-2.9890
5800.000000	96.639	-3.9941
5900.000000	96.358	-4.5161
6000.000000	96.173	-5.0640
6080.000000	96.078	-5.8333
6150.000000	96.007	-6.8746
6220.000000	95.921	-8.2767
6300.000000	95.776	-10.2365
6400.000000	95.489	-12.9255
6500.000000	95.080	-15.4337
6600.000000	94.583	-17.4478
6700.000000	94.047	-18.9764
6800.000000	93.491	-20.1766
6900.000000	92.907	-21.0665
7000.000000	92.291	-21.5198
7100.000000	91.662	-21.4616
7200.000000	91.046	-20.9578
7300.000000	90.455	-20.1266
7400.000000	89.886	-19.0339
7500.000000	89.335	-17.6832
7620.000000	88.691	-15.6728
7750.000000	88.014	-12.8682
7880.000000	87.377	-9.1240
8000.000000	86.888	-4.4293
8120.000000	86.684	1.6597
8250.000000	87.108	8.9824
8380.000000	88.305	14.8019
8500.000000	89.816	16.5272
8620.000000	91.341	13.0851
8750.000000	92.642	2.5980
8850.000000	93.201	-9.9056
9000.000000	93.119	-32.9260
9120.000000	92.262	-51.8204
9250.000000	90.698	-71.1002
9380.000000	88.693	-90.2477
9500.000000	86.623	-109.8810
9620.000000	84.495	-132.7943
9750.000000	82.399	-160.9700
9880.000000	81.022	170.0206
10000.000000	80.714	145.5828
10150.000000	81.272	120.8959
10300.000000	82.130	102.8664
10440.000000	82.819	90.5939
10600.000000	83.317	80.2196
10750.000000	83.493	73.3723
10900.000000	83.494	69.2865
11060.000000	83.516	67.5879
11200.000000	83.705	67.4756
11380.000000	84.250	67.5010
11500.000000	84.733	66.7095
11720.000000	85.541	62.4242
11800.000000	85.731	60.0927
12060.000000	85.878	52.5757
12200.000000	85.850	50.0073
12410.000000	86.163	47.3804
12500.000000	86.463	45.7125
12650.000000	87.032	40.8657
12800.000000	87.446	32.9436
13150.000000	86.861	8.9199
13200.000000	86.590	5.8294
13400.000000	85.200	-4.3607
13600.000000	83.594	-12.2446
13800.000000	82.051	-21.0803
14000.000000	80.625	-34.6553
14300.000000	78.658	-70.9198
14500.000000	78.109	-107.4824
14750.000000	79.458	-161.4119
15000.000000	81.702	146.5962
15250.000000	83.192	104.0297
15500.000000	83.716	73.2476
15750.000000	83.732	53.1121
16000.000000	83.773	39.5731
16250.000000	84.042	28.1012
16500.000000	84.402	15.7957
16750.000000	84.651	1.6970
17000.000000	84.682	-14.1783
17250.000000	84.388	-31.4602
17500.000000	83.591	-48.3005
17750.000000	82.213	-61.1001
18000.000000	80.572	-68.0477
18250.000000	79.423	-71.8959
18500.000000	79.283	-77.5037
18750.000000	79.794	-88.0004
19000.000000	80.366	-103.7606
19250.000000	80.698	-123.2050
19500.000000	80.739	-143.5328
19750.000000	80.589	-161.0063
