* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -33.2 dBFS, measurement signal peak level -26.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 15, 2024 3:54:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0380 ms (-13 mm, -0.51 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -37.5 ppm
* Measurement: HD650 AHG V L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	64.774	-17.3594
20.299999	65.028	-18.4954
20.600000	65.284	-19.6526
20.900000	65.535	-20.8601
21.200001	65.777	-22.1302
21.400000	65.929	-23.0039
21.799999	66.210	-24.7770
22.000000	66.338	-25.6516
22.400000	66.571	-27.3215
22.700001	66.734	-28.4738
23.000000	66.894	-29.5306
23.299999	67.057	-30.5110
23.600000	67.226	-31.4468
24.000000	67.464	-32.6870
24.299999	67.647	-33.6555
24.700001	67.891	-35.0284
25.000000	68.067	-36.1147
25.400000	68.290	-37.6058
25.799999	68.497	-39.0941
26.200001	68.694	-40.5400
26.500000	68.836	-41.5900
26.900000	69.023	-42.9514
27.200001	69.159	-43.9500
27.600000	69.336	-45.2512
28.000000	69.505	-46.5029
28.500000	69.710	-47.9713
29.000000	69.917	-49.3401
29.500000	70.129	-50.6689
30.000000	70.340	-52.0293
30.400000	70.500	-53.1531
30.700001	70.613	-54.0035
31.100000	70.753	-55.1177
31.500000	70.886	-56.1862
32.000000	71.047	-57.4541
32.500000	71.210	-58.6852
33.000000	71.372	-59.9297
33.500000	71.530	-61.2014
34.000000	71.680	-62.4786
34.500000	71.825	-63.7374
35.000000	71.967	-64.9791
35.500000	72.106	-66.2185
36.000000	72.239	-67.4548
36.500000	72.365	-68.6643
37.000000	72.486	-69.8225
37.500000	72.606	-70.9312
38.200001	72.774	-72.4484
38.700001	72.890	-73.5337
39.500000	73.061	-75.2594
40.000000	73.159	-76.3105
40.599998	73.268	-77.5397
41.200001	73.369	-78.7396
41.799999	73.461	-79.9007
42.500000	73.560	-81.1764
43.099998	73.643	-82.1951
43.700001	73.729	-83.1674
44.400002	73.828	-84.2566
45.000000	73.912	-85.1282
45.500000	73.985	-85.8015
46.200001	74.096	-86.7036
46.799999	74.192	-87.4779
47.500000	74.296	-88.3372
48.200001	74.400	-89.0577
48.700001	74.486	-89.4966
49.400002	74.632	-90.1224
50.000000	74.772	-90.7800
50.799999	74.958	-91.9043
51.500000	75.099	-93.0834
52.200001	75.212	-94.3444
53.000000	75.311	-95.7587
53.799999	75.392	-97.0822
54.500000	75.457	-98.1722
55.200001	75.517	-99.2089
56.000000	75.581	-100.3320
57.000000	75.655	-101.6470
58.000000	75.721	-102.8398
59.000000	75.785	-103.8781
60.000000	75.858	-104.7838
60.799999	75.925	-105.4492
61.500000	75.992	-106.0197
62.200001	76.064	-106.6109
63.000000	76.145	-107.3245
64.000000	76.239	-108.2307
65.000000	76.330	-109.1091
66.000000	76.420	-109.9777
67.000000	76.510	-110.8574
68.000000	76.599	-111.7588
69.000000	76.683	-112.6934
70.000000	76.760	-113.6601
71.000000	76.827	-114.6346
72.000000	76.883	-115.5829
73.000000	76.935	-116.4854
74.000000	76.987	-117.3508
75.000000	77.040	-118.1944
76.199997	77.107	-119.1745
77.500000	77.185	-120.1936
78.800003	77.267	-121.1790
80.000000	77.344	-122.0691
81.199997	77.418	-122.9610
82.500000	77.490	-123.9425
83.800003	77.552	-124.9470
85.000000	77.604	-125.9003
86.199997	77.651	-126.8679
87.500000	77.699	-127.9073
88.500000	77.735	-128.6870
90.000000	77.786	-129.8092
91.199997	77.820	-130.6581
