* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -34.7 dBFS, measurement signal peak level -29.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 15, 2024 3:50:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0315 ms (-11 mm, -0.42 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -38.4 ppm
* Measurement: HD650 GVOEARS Velour L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	68.583	-19.4629
20.299999	68.813	-20.7026
20.600000	69.042	-21.9179
20.900000	69.271	-23.1310
21.200001	69.496	-24.3591
21.400000	69.643	-25.1881
21.799999	69.927	-26.8595
22.000000	70.063	-27.6933
22.400000	70.325	-29.3348
22.700001	70.513	-30.5303
23.000000	70.698	-31.6909
23.299999	70.880	-32.8228
23.600000	71.061	-33.9357
24.000000	71.300	-35.4062
24.299999	71.475	-36.5073
24.700001	71.701	-37.9729
25.000000	71.864	-39.0615
25.400000	72.072	-40.4822
25.799999	72.274	-41.8526
26.200001	72.471	-43.1708
26.500000	72.617	-44.1337
26.900000	72.811	-45.3978
27.200001	72.955	-46.3399
27.600000	73.143	-47.5914
28.000000	73.324	-48.8318
28.500000	73.543	-50.3538
29.000000	73.757	-51.8422
29.500000	73.965	-53.3105
30.000000	74.167	-54.7694
30.400000	74.323	-55.9268
30.700001	74.437	-56.7855
31.100000	74.585	-57.9164
31.500000	74.730	-59.0346
32.000000	74.906	-60.4222
32.500000	75.074	-61.7978
33.000000	75.234	-63.1462
33.500000	75.388	-64.4528
34.000000	75.538	-65.7173
34.500000	75.685	-66.9523
35.000000	75.829	-68.1663
35.500000	75.968	-69.3564
36.000000	76.105	-70.5163
36.500000	76.239	-71.6500
37.000000	76.373	-72.7716
37.500000	76.504	-73.8939
38.200001	76.679	-75.4657
38.700001	76.797	-76.5755
39.500000	76.978	-78.3113
40.000000	77.087	-79.3799
40.599998	77.213	-80.6591
41.200001	77.332	-81.9352
41.799999	77.443	-83.1942
42.500000	77.564	-84.6268
43.099998	77.662	-85.8230
43.700001	77.754	-86.9889
44.400002	77.857	-88.3062
45.000000	77.941	-89.4023
45.500000	78.009	-90.2978
46.200001	78.099	-91.5144
46.799999	78.172	-92.5003
47.500000	78.260	-93.5857
48.200001	78.353	-94.6541
48.700001	78.419	-95.4288
49.400002	78.504	-96.5081
50.000000	78.573	-97.3925
50.799999	78.665	-98.5124
51.500000	78.748	-99.4778
52.200001	78.828	-100.4414
53.000000	78.918	-101.5202
53.799999	79.006	-102.5805
54.500000	79.082	-103.5069
55.200001	79.154	-104.4246
56.000000	79.235	-105.4562
57.000000	79.335	-106.7433
58.000000	79.428	-108.0295
59.000000	79.514	-109.2824
60.000000	79.599	-110.4956
60.799999	79.668	-111.4565
61.500000	79.728	-112.3074
62.200001	79.787	-113.1740
63.000000	79.848	-114.1764
64.000000	79.914	-115.4230
65.000000	79.971	-116.6382
66.000000	80.017	-117.8063
67.000000	80.055	-118.9115
68.000000	80.087	-119.9431
69.000000	80.114	-120.9006
70.000000	80.138	-121.7880
71.000000	80.161	-122.6169
72.000000	80.182	-123.3982
73.000000	80.202	-124.1283
74.000000	80.224	-124.8055
75.000000	80.251	-125.4544
76.199997	80.291	-126.2368
77.500000	80.339	-127.0803
78.800003	80.393	-127.8861
80.000000	80.452	-128.6036
81.199997	80.518	-129.3146
82.500000	80.595	-130.0891
83.800003	80.674	-130.8863
85.000000	80.744	-131.6578
86.199997	80.812	-132.4673
87.500000	80.880	-133.3908
88.500000	80.930	-134.1390
90.000000	80.995	-135.3130
91.199997	81.036	-136.2628
92.500000	81.071	-137.2679
93.800003	81.099	-138.2421
95.000000	81.118	-139.1177
96.199997	81.129	-139.9645
97.500000	81.135	-140.8330
98.800003	81.138	-141.6404
100.000000	81.142	-142.3332
101.500000	81.152	-143.1415
103.000000	81.170	-143.9055
104.400002	81.192	-144.5945
106.000000	81.219	-145.3671
107.500000	81.244	-146.0967
109.000000	81.267	-146.8559
110.599998	81.287	-147.6988
112.000000	81.301	-148.4446
113.800003	81.312	-149.3794
115.000000	81.314	-149.9670
117.199997	81.306	-150.9515
118.000000	81.303	-151.2952
120.599998	81.290	-152.5251
122.000000	81.277	-153.2765
124.099998	81.247	-154.3824
125.000000	81.233	-154.8182
126.500000	81.208	-155.4778
128.000000	81.180	-156.0520
131.500000	81.107	-157.1264
132.000000	81.098	-157.2578
134.000000	81.066	-157.7412
136.000000	81.051	-158.1680
138.000000	81.051	-158.5655
140.000000	81.064	-158.9829
143.000000	81.084	-159.7320
145.000000	81.091	-160.3045
147.500000	81.090	-161.0406
150.000000	81.080	-161.7372
152.500000	81.063	-162.3724
155.000000	81.043	-162.9541
157.500000	81.027	-163.5133
160.000000	81.020	-164.0742
162.500000	81.018	-164.6259
165.000000	81.018	-165.1647
167.500000	81.017	-165.7012
170.000000	81.012	-166.2372
172.500000	81.007	-166.7724
175.000000	81.002	-167.3036
177.500000	80.995	-167.8318
180.000000	80.988	-168.3649
182.500000	80.978	-168.9091
185.000000	80.964	-169.4518
187.500000	80.945	-169.9774
190.000000	80.926	-170.4899
192.500000	80.907	-170.9907
195.000000	80.888	-171.4674
197.500000	80.868	-171.9188
200.000000	80.847	-172.3556
203.000000	80.819	-172.8731
206.000000	80.790	-173.3922
209.000000	80.761	-173.9107
212.000000	80.731	-174.4125
214.000000	80.711	-174.7322
218.000000	80.670	-175.3375
220.000000	80.649	-175.6264
224.000000	80.607	-176.1841
227.000000	80.574	-176.5941
230.000000	80.538	-177.0042
233.000000	80.498	-177.4091
236.000000	80.455	-177.7980
240.000000	80.400	-178.2713
243.000000	80.361	-178.5817
247.000000	80.312	-178.9483
250.000000	80.275	-179.2072
254.000000	80.225	-179.5468
258.000000	80.178	-179.8735
262.000000	80.130	179.8338
265.000000	80.093	179.6422
269.000000	80.045	179.4116
272.000000	80.012	179.2491
276.000000	79.972	179.0374
280.000000	79.938	178.8171
285.000000	79.901	178.5275
290.000000	79.864	178.2485
295.000000	79.825	177.9777
300.000000	79.786	177.6935
