* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -36.3 dBFS, measurement signal peak level -29.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 15, 2024 3:52:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0314 ms (-11 mm, -0.42 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -38.1 ppm
* Measurement: HD650 Geekria V L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	60.741	-14.8323
20.299999	60.989	-16.0236
20.600000	61.228	-17.2299
20.900000	61.458	-18.4294
21.200001	61.682	-19.6023
21.400000	61.829	-20.3666
21.799999	62.120	-21.8641
22.000000	62.264	-22.6054
22.400000	62.548	-24.0913
22.700001	62.756	-25.2125
23.000000	62.957	-26.3312
23.299999	63.151	-27.4326
23.600000	63.340	-28.5080
24.000000	63.589	-29.9012
24.299999	63.774	-30.9290
24.700001	64.016	-32.3001
25.000000	64.192	-33.3356
25.400000	64.415	-34.7125
25.799999	64.627	-36.0481
26.200001	64.830	-37.3133
26.500000	64.983	-38.2202
26.900000	65.187	-39.4026
27.200001	65.340	-40.2951
27.600000	65.539	-41.5114
28.000000	65.727	-42.7443
28.500000	65.945	-44.2495
29.000000	66.153	-45.6662
29.500000	66.360	-47.0197
30.000000	66.568	-48.3784
30.400000	66.727	-49.4893
30.700001	66.841	-50.3260
31.100000	66.985	-51.4182
31.500000	67.123	-52.4619
32.000000	67.295	-53.6959
32.500000	67.471	-54.8877
33.000000	67.651	-56.0804
33.500000	67.829	-57.2871
34.000000	68.004	-58.4986
34.500000	68.177	-59.7093
35.000000	68.346	-60.9274
35.500000	68.509	-62.1606
36.000000	68.662	-63.3963
36.500000	68.803	-64.6037
37.000000	68.938	-65.7563
37.500000	69.070	-66.8554
38.200001	69.254	-68.3517
38.700001	69.382	-69.4144
39.500000	69.576	-71.0853
40.000000	69.694	-72.0976
40.599998	69.833	-73.2915
41.200001	69.970	-74.4769
41.799999	70.101	-75.6411
42.500000	70.252	-76.9487
43.099998	70.381	-78.0336
43.700001	70.512	-79.1096
44.400002	70.662	-80.3819
45.000000	70.784	-81.5070
45.500000	70.874	-82.4605
46.200001	70.979	-83.7441
46.799999	71.059	-84.7215
47.500000	71.162	-85.7547
48.200001	71.277	-86.8406
48.700001	71.354	-87.6982
49.400002	71.441	-88.9400
50.000000	71.503	-89.9539
50.799999	71.581	-91.2199
51.500000	71.647	-92.2828
52.200001	71.711	-93.2776
53.000000	71.789	-94.3036
53.799999	71.880	-95.2662
54.500000	71.967	-96.0988
55.200001	72.055	-96.9321
56.000000	72.156	-97.9029
57.000000	72.271	-99.1509
58.000000	72.372	-100.3767
59.000000	72.469	-101.5476
60.000000	72.573	-102.7327
60.799999	72.658	-103.7343
61.500000	72.730	-104.6362
62.200001	72.800	-105.5456
63.000000	72.879	-106.5954
64.000000	72.971	-107.9230
65.000000	73.052	-109.2401
66.000000	73.119	-110.5363
67.000000	73.171	-111.8158
68.000000	73.206	-113.0657
69.000000	73.224	-114.2703
70.000000	73.227	-115.4156
71.000000	73.216	-116.4777
72.000000	73.193	-117.4183
73.000000	73.159	-118.1817
74.000000	73.126	-118.7191
75.000000	73.107	-119.0435
76.199997	73.119	-119.2738
77.500000	73.173	-119.5227
78.800003	73.255	-119.8948
80.000000	73.344	-120.3560
81.199997	73.440	-120.8976
82.500000	73.552	-121.5401
83.800003	73.669	-122.2343
85.000000	73.779	-122.9446
86.199997	73.880	-123.7341
87.500000	73.977	-124.6584
88.500000	74.042	-125.4104
90.000000	74.127	-126.5962
91.199997	74.183	-127.5638
92.500000	74.237	-128.6062
93.800003	74.282	-129.6422
95.000000	74.316	-130.5825
96.199997	74.340	-131.4904
97.500000	74.358	-132.4178
98.800003	74.371	-133.2704
100.000000	74.382	-133.9972
101.500000	74.395	-134.8475
103.000000	74.406	-135.6541
104.400002	74.416	-136.3873
106.000000	74.428	-137.2279
107.500000	74.441	-138.0262
109.000000	74.452	-138.8105
110.599998	74.456	-139.5951
112.000000	74.449	-140.2183
113.800003	74.428	-140.9464
115.000000	74.414	-141.4248
117.199997	74.401	-142.3712
118.000000	74.402	-142.7297
120.599998	74.426	-143.7263
122.000000	74.457	-144.1285
124.099998	74.506	-144.7326
125.000000	74.520	-145.0218
126.500000	74.531	-145.5528
128.000000	74.530	-146.1392
131.500000	74.503	-147.5887
132.000000	74.496	-147.7867
134.000000	74.460	-148.5128
136.000000	74.412	-149.0897
138.000000	74.365	-149.4837
140.000000	74.335	-149.7323
143.000000	74.331	-150.0401
145.000000	74.342	-150.3132
147.500000	74.358	-150.7662
150.000000	74.370	-151.2699
152.500000	74.381	-151.7587
155.000000	74.397	-152.2336
157.500000	74.420	-152.7174
160.000000	74.446	-153.2104
162.500000	74.463	-153.7002
165.000000	74.466	-154.1997
167.500000	74.458	-154.7319
170.000000	74.447	-155.2956
172.500000	74.438	-155.8624
175.000000	74.427	-156.3924
177.500000	74.416	-156.8665
180.000000	74.404	-157.2943
182.500000	74.390	-157.6949
185.000000	74.377	-158.0839
187.500000	74.367	-158.4670
190.000000	74.359	-158.8423
192.500000	74.349	-159.2110
195.000000	74.335	-159.5845
197.500000	74.319	-159.9642
200.000000	74.300	-160.3336
203.000000	74.274	-160.7446
206.000000	74.248	-161.1225
209.000000	74.221	-161.4744
212.000000	74.194	-161.8000
214.000000	74.175	-162.0014
218.000000	74.140	-162.3629
220.000000	74.122	-162.5206
224.000000	74.086	-162.7955
227.000000	74.061	-162.9824
230.000000	74.036	-163.1636
233.000000	74.011	-163.3384
236.000000	73.985	-163.5063
240.000000	73.950	-163.7301
243.000000	73.927	-163.9027
247.000000	73.901	-164.1137
250.000000	73.882	-164.2414
254.000000	73.855	-164.3792
258.000000	73.829	-164.4956
262.000000	73.805	-164.5966
265.000000	73.788	-164.6618
269.000000	73.767	-164.7244
272.000000	73.752	-164.7525
276.000000	73.735	-164.7832
280.000000	73.720	-164.8259
285.000000	73.706	-164.9034
290.000000	73.694	-164.9896
295.000000	73.684	-165.0591
300.000000	73.677	-165.1031
304.000000	73.672	-165.1385
307.000000	73.668	-165.1761
311.000000	73.661	-165.2431
315.000000	73.655	-165.3198
320.000000	73.647	-165.4121
325.000000	73.638	-165.4880
330.000000	73.628	-165.5420
335.000000	73.617	-165.5775
340.000000	73.606	-165.5969
345.000000	73.593	-165.6017
350.000000	73.580	-165.6007
355.000000	73.569	-165.5962
360.000000	73.560	-165.5814
365.000000	73.553	-165.5581
370.000000	73.550	-165.5319
375.000000	73.547	-165.5059
382.000000	73.544	-165.4770
