* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -29.2 dBFS, measurement signal peak level -23.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: May 28, 2023 6:10:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Koss Pro4s Stock Delay -0.0283 ms (-9.7 mm, -0.38 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: -51.7 ppm
* Measurement: HD650
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	71.870	-25.5506
20.299999	72.040	-27.4200
20.600000	72.195	-29.0283
20.900000	72.350	-30.3972
21.200001	72.520	-31.5943
21.400000	72.645	-32.3581
21.799999	72.914	-33.9260
22.000000	73.051	-34.7856
22.400000	73.308	-36.7178
22.700001	73.466	-38.3050
23.000000	73.583	-39.8896
23.299999	73.662	-41.3229
23.600000	73.720	-42.5007
24.000000	73.798	-43.6104
24.299999	73.887	-44.1755
24.700001	74.064	-44.8037
25.000000	74.232	-45.3588
25.400000	74.475	-46.3468
25.799999	74.708	-47.5872
26.200001	74.919	-48.9274
26.500000	75.068	-49.9174
26.900000	75.265	-51.1959
27.200001	75.417	-52.1571
27.600000	75.619	-53.4994
28.000000	75.811	-54.9258
28.500000	76.025	-56.7400
29.000000	76.219	-58.4678
29.500000	76.405	-60.1116
30.000000	76.580	-61.7518
30.400000	76.698	-63.0453
30.700001	76.771	-63.9460
31.100000	76.858	-64.9575
31.500000	76.954	-65.7170
32.000000	77.121	-66.4450
32.500000	77.345	-67.2782
33.000000	77.578	-68.5372
33.500000	77.754	-70.1885
34.000000	77.837	-71.8252
34.500000	77.856	-72.9502
35.000000	77.885	-73.3661
35.500000	78.001	-73.3375
36.000000	78.218	-73.4180
36.500000	78.480	-74.0354
37.000000	78.711	-75.2273
37.500000	78.875	-76.6900
38.200001	79.027	-78.5941
38.700001	79.128	-79.7821
39.500000	79.298	-81.8199
40.000000	79.376	-83.2466
40.599998	79.429	-84.8937
41.200001	79.467	-86.2621
41.799999	79.529	-87.3993
42.500000	79.646	-88.6660
43.099998	79.773	-89.8133
43.700001	79.912	-91.0232
44.400002	80.080	-92.5007
