* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -33.9 dBFS, measurement signal peak level -27.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 15, 2024 3:56:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0313 ms (-11 mm, -0.42 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -37.9 ppm
* Measurement: HD650 Sodorous Cloth L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	66.501	-20.0818
20.299999	66.741	-21.3915
20.600000	66.971	-22.7099
20.900000	67.190	-24.0198
21.200001	67.401	-25.3034
21.400000	67.538	-26.1394
21.799999	67.805	-27.7684
22.000000	67.937	-28.5658
22.400000	68.195	-30.1403
22.700001	68.385	-31.3111
23.000000	68.570	-32.4738
23.299999	68.749	-33.6227
23.600000	68.924	-34.7527
24.000000	69.151	-36.2257
24.299999	69.317	-37.3070
24.700001	69.535	-38.7240
25.000000	69.695	-39.7722
25.400000	69.904	-41.1515
25.799999	70.107	-42.5078
26.200001	70.305	-43.8404
26.500000	70.450	-44.8262
26.900000	70.640	-46.1261
27.200001	70.780	-47.0918
27.600000	70.961	-48.3671
28.000000	71.137	-49.6265
28.500000	71.351	-51.1778
29.000000	71.556	-52.7054
29.500000	71.754	-54.2063
30.000000	71.945	-55.6721
30.400000	72.093	-56.8185
30.700001	72.203	-57.6673
31.100000	72.347	-58.7937
31.500000	72.487	-59.9201
32.000000	72.652	-61.3218
32.500000	72.805	-62.6894
33.000000	72.950	-63.9937
33.500000	73.091	-65.2303
34.000000	73.232	-66.4191
34.500000	73.372	-67.5842
35.000000	73.510	-68.7381
35.500000	73.646	-69.8855
36.000000	73.779	-71.0303
36.500000	73.907	-72.1762
37.000000	74.031	-73.3223
37.500000	74.150	-74.4632
38.200001	74.308	-76.0464
38.700001	74.416	-77.1689
39.500000	74.577	-78.9454
40.000000	74.672	-80.0305
40.599998	74.779	-81.2951
41.200001	74.881	-82.5160
41.799999	74.979	-83.6942
42.500000	75.088	-85.0151
43.099998	75.178	-86.1047
43.700001	75.263	-87.1589
44.400002	75.356	-88.3393
45.000000	75.431	-89.3001
45.500000	75.491	-90.0644
46.200001	75.574	-91.0877
46.799999	75.643	-91.9285
47.500000	75.724	-92.8648
48.200001	75.807	-93.7529
48.700001	75.870	-94.3673
49.400002	75.962	-95.2158
50.000000	76.044	-95.9327
50.799999	76.161	-96.8688
51.500000	76.273	-97.7030
52.200001	76.390	-98.6022
53.000000	76.515	-99.7060
53.799999	76.625	-100.8170
54.500000	76.715	-101.7590
55.200001	76.801	-102.6808
56.000000	76.893	-103.7203
57.000000	77.001	-104.9985
58.000000	77.101	-106.2692
59.000000	77.190	-107.5410
60.000000	77.270	-108.7947
60.799999	77.328	-109.7759
61.500000	77.375	-110.6159
62.200001	77.420	-111.4365
63.000000	77.471	-112.3544
64.000000	77.531	-113.4813
65.000000	77.585	-114.5767
66.000000	77.631	-115.6104
67.000000	77.672	-116.5500
68.000000	77.713	-117.3906
69.000000	77.759	-118.1650
70.000000	77.808	-118.9038
71.000000	77.857	-119.6188
72.000000	77.907	-120.3145
73.000000	77.960	-120.9899
74.000000	78.019	-121.6653
75.000000	78.084	-122.3830
76.199997	78.161	-123.2982
77.500000	78.242	-124.2912
78.800003	78.325	-125.2783
80.000000	78.399	-126.1966
81.199997	78.472	-127.1154
82.500000	78.546	-128.1228
83.800003	78.615	-129.1549
85.000000	78.671	-130.1175
86.199997	78.720	-131.0732
87.500000	78.768	-132.0957
88.500000	78.801	-132.8728
90.000000	78.840	-134.0098
91.199997	78.865	-134.8767
92.500000	78.887	-135.7607
93.800003	78.909	-136.5926
95.000000	78.930	-137.3250
96.199997	78.953	-138.0350
97.500000	78.979	-138.7872
98.800003	79.005	-139.5269
100.000000	79.030	-140.2110
101.500000	79.060	-141.0835
103.000000	79.086	-141.9696
104.400002	79.106	-142.7915
106.000000	79.125	-143.7087
107.500000	79.138	-144.5413
109.000000	79.148	-145.3551
110.599998	79.153	-146.2094
112.000000	79.155	-146.9395
113.800003	79.155	-147.8325
115.000000	79.156	-148.3857
117.199997	79.161	-149.2969
118.000000	79.164	-149.6014
120.599998	79.175	-150.6219
122.000000	79.171	-151.2311
124.099998	79.152	-152.1497
125.000000	79.143	-152.5256
126.500000	79.128	-153.1206
128.000000	79.116	-153.6776
131.500000	79.088	-154.8509
132.000000	79.084	-155.0065
134.000000	79.069	-155.6039
136.000000	79.061	-156.1636
138.000000	79.061	-156.6987
140.000000	79.067	-157.2350
143.000000	79.075	-158.0725
145.000000	79.078	-158.6507
147.500000	79.081	-159.3838
150.000000	79.080	-160.1216
152.500000	79.076	-160.8582
155.000000	79.070	-161.5870
157.500000	79.060	-162.3041
160.000000	79.045	-162.9961
162.500000	79.025	-163.6605
165.000000	79.002	-164.3120
167.500000	78.976	-164.9487
170.000000	78.947	-165.5515
172.500000	78.915	-166.1069
175.000000	78.880	-166.5985
177.500000	78.849	-167.0211
180.000000	78.826	-167.3955
182.500000	78.813	-167.7567
185.000000	78.807	-168.1399
187.500000	78.805	-168.5708
190.000000	78.802	-169.0570
192.500000	78.795	-169.5864
195.000000	78.782	-170.1354
197.500000	78.761	-170.6825
200.000000	78.733	-171.2135
203.000000	78.693	-171.8162
206.000000	78.647	-172.3720
209.000000	78.598	-172.8750
212.000000	78.547	-173.3221
214.000000	78.513	-173.5894
218.000000	78.448	-174.0582
220.000000	78.419	-174.2689
224.000000	78.365	-174.6744
227.000000	78.328	-174.9816
230.000000	78.292	-175.2910
233.000000	78.255	-175.5899
236.000000	78.214	-175.8661
240.000000	78.158	-176.1973
243.000000	78.118	-176.4265
247.000000	78.069	-176.7081
250.000000	78.036	-176.9012
254.000000	77.997	-177.1458
258.000000	77.960	-177.3857
262.000000	77.923	-177.6212
265.000000	77.896	-177.7910
269.000000	77.864	-178.0038
272.000000	77.841	-178.1562
276.000000	77.812	-178.3592
280.000000	77.784	-178.5657
285.000000	77.750	-178.8373
290.000000	77.715	-179.1294
295.000000	77.679	-179.4232
300.000000	77.640	-179.7046
304.000000	77.610	-179.9250
307.000000	77.586	179.9107
311.000000	77.555	179.6958
315.000000	77.521	179.4891
320.000000	77.477	179.2428
325.000000	77.433	179.0139
330.000000	77.388	178.8087
335.000000	77.342	178.6285
340.000000	77.297	178.4698
345.000000	77.254	178.3231
350.000000	77.212	178.1821
355.000000	77.172	178.0484
360.000000	77.132	177.9249
