* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L Senn 650 Soulwit pads, L Senn 650 Soulwit pads, L Senn 650 Soulwit pads
* Dated: Dec 20, 2024 9:48:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L Senn 650 Soulwit pads, L Senn 650 Soulwit pads, L Senn 650 Soulwit pads
* Measurement: RMS Average 1
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	63.768
20.299999	63.905
20.600000	64.022
20.900000	64.121
21.200001	64.207
21.400000	64.260
21.799999	64.367
22.000000	64.425
22.400000	64.558
22.700001	64.675
23.000000	64.807
23.299999	64.952
23.600000	65.108
24.000000	65.329
24.299999	65.501
24.700001	65.733
25.000000	65.903
25.400000	66.120
25.799999	66.322
26.200001	66.504
26.500000	66.628
26.900000	66.778
27.200001	66.880
27.600000	67.007
28.000000	67.131
28.500000	67.288
29.000000	67.456
29.500000	67.633
30.000000	67.813
30.400000	67.957
30.700001	68.064
31.100000	68.209
31.500000	68.355
32.000000	68.542
32.500000	68.732
33.000000	68.925
33.500000	69.119
34.000000	69.313
34.500000	69.506
35.000000	69.695
35.500000	69.873
36.000000	70.034
36.500000	70.176
37.000000	70.296
37.500000	70.396
38.200001	70.510
38.700001	70.580
39.500000	70.684
40.000000	70.750
40.599998	70.833
41.200001	70.922
41.799999	71.013
42.500000	71.122
43.099998	71.215
43.700001	71.307
44.400002	71.413
45.000000	71.502
45.500000	71.575
46.200001	71.676
46.799999	71.762
47.500000	71.864
48.200001	71.968
48.700001	72.042
49.400002	72.146
50.000000	72.232
50.799999	72.344
51.500000	72.437
52.200001	72.527
53.000000	72.625
53.799999	72.716
54.500000	72.789
55.200001	72.855
56.000000	72.920
57.000000	72.985
58.000000	73.036
59.000000	73.078
60.000000	73.119
60.799999	73.154
61.500000	73.186
62.200001	73.218
63.000000	73.257
64.000000	73.305
65.000000	73.355
66.000000	73.404
67.000000	73.454
68.000000	73.508
69.000000	73.567
70.000000	73.634
71.000000	73.707
72.000000	73.785
73.000000	73.867
74.000000	73.950
75.000000	74.030
76.199997	74.124
77.500000	74.217
78.800003	74.304
80.000000	74.378
81.199997	74.449
82.500000	74.522
83.800003	74.591
85.000000	74.651
86.199997	74.708
87.500000	74.764
88.500000	74.803
90.000000	74.856
91.199997	74.894
92.500000	74.931
93.800003	74.965
95.000000	74.995
96.199997	75.024
97.500000	75.053
98.800003	75.080
100.000000	75.103
101.500000	75.127
103.000000	75.145
104.400002	75.158
106.000000	75.167
107.500000	75.173
109.000000	75.175
110.599998	75.174
112.000000	75.171
113.800003	75.165
115.000000	75.160
117.199997	75.152
118.000000	75.151
120.599998	75.150
122.000000	75.152
124.099998	75.159
125.000000	75.163
126.500000	75.170
128.000000	75.178
131.500000	75.195
132.000000	75.198
134.000000	75.206
136.000000	75.213
138.000000	75.217
140.000000	75.218
143.000000	75.216
145.000000	75.211
147.500000	75.203
150.000000	75.194
152.500000	75.185
155.000000	75.177
157.500000	75.169
160.000000	75.161
162.500000	75.153
165.000000	75.144
167.500000	75.135
170.000000	75.126
172.500000	75.116
175.000000	75.104
177.500000	75.092
180.000000	75.078
182.500000	75.062
185.000000	75.045
187.500000	75.027
190.000000	75.007
192.500000	74.987
195.000000	74.967
197.500000	74.945
200.000000	74.923
203.000000	74.895
206.000000	74.867
209.000000	74.838
212.000000	74.809
214.000000	74.789
218.000000	74.751
220.000000	74.733
224.000000	74.697
227.000000	74.671
230.000000	74.645
233.000000	74.619
236.000000	74.593
240.000000	74.560
243.000000	74.535
247.000000	74.505
250.000000	74.483
254.000000	74.456
258.000000	74.431
262.000000	74.408
265.000000	74.393
269.000000	74.373
272.000000	74.360
276.000000	74.342
280.000000	74.326
285.000000	74.305
290.000000	74.285
295.000000	74.264
300.000000	74.244
304.000000	74.227
307.000000	74.215
311.000000	74.199
315.000000	74.184
320.000000	74.164
325.000000	74.145
330.000000	74.127
335.000000	74.110
340.000000	74.093
345.000000	74.078
350.000000	74.063
355.000000	74.049
360.000000	74.036
365.000000	74.023
370.000000	74.012
375.000000	74.001
382.000000	73.988
387.000000	73.980
395.000000	73.969
400.000000	73.964
406.000000	73.958
412.000000	73.954
418.000000	73.951
425.000000	73.948
431.000000	73.947
437.000000	73.947
444.000000	73.948
450.000000	73.949
455.000000	73.951
462.000000	73.955
468.000000	73.959
475.000000	73.965
482.000000	73.974
487.000000	73.981
494.000000	73.992
500.000000	74.004
508.000000	74.021
515.000000	74.037
522.000000	74.055
530.000000	74.078
538.000000	74.103
545.000000	74.127
552.000000	74.152
560.000000	74.184
570.000000	74.226
580.000000	74.270
590.000000	74.313
600.000000	74.356
608.000000	74.389
615.000000	74.418
622.000000	74.446
630.000000	74.477
640.000000	74.515
650.000000	74.554
660.000000	74.592
670.000000	74.632
680.000000	74.672
690.000000	74.714
700.000000	74.757
710.000000	74.800
720.000000	74.844
730.000000	74.888
740.000000	74.931
750.000000	74.972
762.000000	75.020
775.000000	75.067
788.000000	75.107
800.000000	75.136
812.000000	75.156
825.000000	75.167
838.000000	75.167
850.000000	75.158
862.000000	75.144
875.000000	75.128
885.000000	75.119
900.000000	75.115
912.000000	75.124
925.000000	75.149
938.000000	75.191
950.000000	75.242
962.000000	75.304
975.000000	75.380
988.000000	75.462
1000.000000	75.538
1015.000000	75.632
1030.000000	75.720
1044.000000	75.794
1060.000000	75.869
1075.000000	75.931
1090.000000	75.984
1106.000000	76.035
1120.000000	76.075
1138.000000	76.124
1150.000000	76.154
1172.000000	76.205
1180.000000	76.221
1206.000000	76.265
1220.000000	76.283
1241.000000	76.306
1250.000000	76.314
1265.000000	76.327
1280.000000	76.339
1315.000000	76.362
1320.000000	76.364
1340.000000	76.368
1360.000000	76.364
1380.000000	76.354
1400.000000	76.341
1430.000000	76.320
1450.000000	76.308
1475.000000	76.297
1500.000000	76.287
1525.000000	76.276
1550.000000	76.265
1575.000000	76.255
1600.000000	76.246
1625.000000	76.238
1650.000000	76.232
1675.000000	76.229
1700.000000	76.233
1725.000000	76.247
1750.000000	76.273
1775.000000	76.307
1800.000000	76.348
1825.000000	76.391
1850.000000	76.437
1875.000000	76.486
1900.000000	76.539
1925.000000	76.595
1950.000000	76.653
1975.000000	76.715
2000.000000	76.782
2030.000000	76.872
2060.000000	76.972
2090.000000	77.082
2120.000000	77.199
2140.000000	77.282
2180.000000	77.461
2200.000000	77.559
2240.000000	77.779
2270.000000	77.966
2300.000000	78.171
2330.000000	78.394
2360.000000	78.636
2400.000000	78.983
2430.000000	79.260
2470.000000	79.646
2500.000000	79.944
2540.000000	80.347
2580.000000	80.751
2620.000000	81.151
2650.000000	81.447
2690.000000	81.837
2720.000000	82.123
2760.000000	82.496
2800.000000	82.857
2850.000000	83.288
2900.000000	83.692
2950.000000	84.065
3000.000000	84.402
3040.000000	84.642
3070.000000	84.804
3110.000000	84.992
3150.000000	85.149
3200.000000	85.298
3250.000000	85.396
3300.000000	85.440
3350.000000	85.433
3400.000000	85.374
3450.000000	85.265
3500.000000	85.109
3550.000000	84.909
3600.000000	84.669
3650.000000	84.394
3700.000000	84.088
