* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R Senn 650 Soulwit pads, R Senn 650 Soulwit pads
* Dated: Dec 20, 2024 9:51:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R Senn 650 Soulwit pads, R Senn 650 Soulwit pads
* Measurement: RMS Average 1
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	64.847
20.299999	64.970
20.600000	65.071
20.900000	65.160
21.200001	65.247
21.400000	65.306
21.799999	65.431
22.000000	65.498
22.400000	65.644
22.700001	65.761
23.000000	65.886
23.299999	66.015
23.600000	66.147
24.000000	66.324
24.299999	66.455
24.700001	66.626
25.000000	66.753
25.400000	66.921
25.799999	67.093
26.200001	67.268
26.500000	67.402
26.900000	67.581
27.200001	67.716
27.600000	67.893
28.000000	68.065
28.500000	68.273
29.000000	68.472
29.500000	68.659
30.000000	68.835
30.400000	68.967
30.700001	69.061
31.100000	69.180
31.500000	69.292
32.000000	69.424
32.500000	69.549
33.000000	69.668
33.500000	69.784
34.000000	69.899
34.500000	70.012
35.000000	70.123
35.500000	70.228
36.000000	70.328
36.500000	70.423
37.000000	70.514
37.500000	70.602
38.200001	70.723
38.700001	70.809
39.500000	70.948
40.000000	71.037
40.599998	71.146
41.200001	71.257
41.799999	71.368
42.500000	71.494
43.099998	71.595
43.700001	71.686
44.400002	71.780
45.000000	71.851
45.500000	71.906
46.200001	71.978
46.799999	72.037
47.500000	72.108
48.200001	72.182
48.700001	72.239
49.400002	72.326
50.000000	72.407
50.799999	72.520
51.500000	72.619
52.200001	72.716
53.000000	72.820
53.799999	72.913
54.500000	72.986
55.200001	73.049
56.000000	73.112
57.000000	73.178
58.000000	73.229
59.000000	73.270
60.000000	73.303
60.799999	73.328
61.500000	73.352
62.200001	73.380
63.000000	73.417
64.000000	73.471
65.000000	73.529
66.000000	73.587
67.000000	73.642
68.000000	73.695
69.000000	73.745
70.000000	73.793
71.000000	73.840
72.000000	73.885
73.000000	73.928
74.000000	73.969
75.000000	74.009
76.199997	74.055
77.500000	74.101
78.800003	74.144
80.000000	74.181
81.199997	74.216
82.500000	74.252
83.800003	74.288
85.000000	74.322
86.199997	74.357
87.500000	74.395
88.500000	74.423
90.000000	74.463
91.199997	74.490
92.500000	74.517
93.800003	74.540
95.000000	74.560
96.199997	74.580
97.500000	74.601
98.800003	74.623
100.000000	74.645
101.500000	74.671
103.000000	74.696
104.400002	74.716
106.000000	74.734
107.500000	74.747
109.000000	74.756
110.599998	74.761
112.000000	74.765
113.800003	74.770
115.000000	74.774
117.199997	74.783
118.000000	74.786
120.599998	74.793
122.000000	74.794
124.099998	74.793
125.000000	74.791
126.500000	74.787
128.000000	74.782
131.500000	74.771
132.000000	74.770
134.000000	74.765
136.000000	74.760
138.000000	74.757
140.000000	74.755
143.000000	74.753
145.000000	74.753
147.500000	74.753
150.000000	74.753
152.500000	74.751
155.000000	74.747
157.500000	74.741
160.000000	74.733
162.500000	74.722
165.000000	74.709
167.500000	74.693
170.000000	74.676
172.500000	74.657
175.000000	74.637
177.500000	74.616
180.000000	74.595
182.500000	74.574
185.000000	74.553
187.500000	74.533
