* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -34.7 dBFS, measurement signal peak level -28.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 15, 2024 3:57:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0298 ms (-10 mm, -0.4 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -37.3 ppm
* Measurement: HD650 Transtek Cloth L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	63.165	-11.8477
20.299999	63.402	-12.7681
20.600000	63.645	-13.6184
20.900000	63.894	-14.4463
21.200001	64.147	-15.3040
21.400000	64.314	-15.9050
21.799999	64.634	-17.1572
22.000000	64.787	-17.7911
22.400000	65.082	-19.0302
22.700001	65.299	-19.9232
23.000000	65.518	-20.8078
23.299999	65.737	-21.7257
23.600000	65.953	-22.7048
24.000000	66.224	-24.1127
24.299999	66.411	-25.2109
24.700001	66.636	-26.6558
25.000000	66.793	-27.6805
25.400000	66.997	-28.9520
25.799999	67.204	-30.1545
26.200001	67.414	-31.3477
26.500000	67.570	-32.2562
26.900000	67.771	-33.4781
27.200001	67.916	-34.3805
27.600000	68.102	-35.5327
28.000000	68.287	-36.6070
28.500000	68.525	-37.8560
29.000000	68.776	-39.0699
29.500000	69.035	-40.3287
30.000000	69.290	-41.6736
30.400000	69.482	-42.7947
30.700001	69.619	-43.6404
31.100000	69.793	-44.7481
31.500000	69.961	-45.8254
32.000000	70.165	-47.1489
32.500000	70.358	-48.4749
33.000000	70.536	-49.7833
33.500000	70.700	-51.0093
34.000000	70.863	-52.1107
34.500000	71.039	-53.1337
35.000000	71.229	-54.1793
35.500000	71.421	-55.3252
36.000000	71.603	-56.5619
36.500000	71.769	-57.8229
37.000000	71.924	-59.0491
37.500000	72.074	-60.2344
38.200001	72.279	-61.8808
38.700001	72.417	-63.0694
39.500000	72.613	-64.9336
40.000000	72.724	-66.0284
40.599998	72.855	-67.2689
41.200001	72.988	-68.4844
41.799999	73.117	-69.7294
42.500000	73.252	-71.2158
43.099998	73.353	-72.4609
43.700001	73.444	-73.6385
44.400002	73.544	-74.9252
45.000000	73.627	-75.9584
45.500000	73.694	-76.7616
46.200001	73.788	-77.7834
46.799999	73.872	-78.5636
47.500000	73.977	-79.3756
48.200001	74.093	-80.1104
48.700001	74.182	-80.6144
49.400002	74.312	-81.3265
50.000000	74.426	-81.9521
50.799999	74.579	-82.7939
51.500000	74.720	-83.5546
52.200001	74.870	-84.4131
53.000000	75.037	-85.5902
53.799999	75.179	-86.9136
54.500000	75.285	-88.0638
55.200001	75.385	-89.1499
56.000000	75.501	-90.3500
57.000000	75.643	-91.8434
58.000000	75.776	-93.2819
59.000000	75.904	-94.6965
60.000000	76.009	-96.1787
60.799999	76.065	-97.3459
61.500000	76.096	-98.2866
62.200001	76.121	-99.1483
63.000000	76.144	-100.0609
64.000000	76.169	-101.0994
65.000000	76.197	-102.0067
66.000000	76.236	-102.7895
67.000000	76.291	-103.4814
68.000000	76.362	-104.1232
69.000000	76.446	-104.7567
70.000000	76.536	-105.4220
71.000000	76.625	-106.1375
72.000000	76.709	-106.8975
73.000000	76.786	-107.6819
74.000000	76.856	-108.4618
75.000000	76.924	-109.2137
76.199997	77.007	-110.0682
77.500000	77.102	-110.9435
78.800003	77.204	-111.7830
80.000000	77.302	-112.5531
81.199997	77.400	-113.3487
82.500000	77.502	-114.2483
83.800003	77.598	-115.1820
85.000000	77.684	-116.0794
86.199997	77.765	-117.0119
87.500000	77.847	-118.0334
88.500000	77.906	-118.8040
90.000000	77.988	-119.9175
91.199997	78.049	-120.7762
92.500000	78.108	-121.6860
93.800003	78.162	-122.5808
95.000000	78.207	-123.3862
96.199997	78.252	-124.1606
97.500000	78.301	-124.9615
98.800003	78.351	-125.7266
100.000000	78.397	-126.4124
101.500000	78.449	-127.2676
103.000000	78.493	-128.1384
104.400002	78.530	-128.9597
106.000000	78.566	-129.8785
107.500000	78.597	-130.6804
109.000000	78.626	-131.4078
110.599998	78.664	-132.1478
112.000000	78.705	-132.8262
113.800003	78.771	-133.7521
115.000000	78.820	-134.3463
117.199997	78.925	-135.2462
118.000000	78.967	-135.5417
120.599998	79.055	-136.7402
122.000000	79.048	-137.5009
124.099998	79.008	-138.6178
125.000000	78.997	-139.0985
126.500000	78.992	-139.9172
128.000000	78.998	-140.7410
131.500000	78.996	-142.5662
132.000000	78.990	-142.8099
134.000000	78.951	-143.7142
136.000000	78.895	-144.4371
138.000000	78.837	-144.9078
140.000000	78.796	-145.1440
143.000000	78.791	-145.3106
145.000000	78.827	-145.4775
147.500000	78.890	-145.8358
150.000000	78.953	-146.3203
152.500000	79.009	-146.8782
155.000000	79.064	-147.5018
157.500000	79.116	-148.1959
160.000000	79.166	-148.9476
162.500000	79.209	-149.7056
165.000000	79.246	-150.4310
167.500000	79.275	-151.1376
170.000000	79.296	-151.8398
172.500000	79.310	-152.5316
175.000000	79.322	-153.2067
177.500000	79.331	-153.8664
180.000000	79.337	-154.5040
182.500000	79.341	-155.1119
185.000000	79.343	-155.6987
187.500000	79.344	-156.2745
190.000000	79.344	-156.8377
192.500000	79.344	-157.3849
195.000000	79.343	-157.9190
197.500000	79.339	-158.4408
200.000000	79.332	-158.9446
203.000000	79.321	-159.5203
206.000000	79.307	-160.0591
209.000000	79.294	-160.5618
212.000000	79.286	-161.0298
214.000000	79.283	-161.3154
218.000000	79.281	-161.8310
220.000000	79.281	-162.0972
224.000000	79.278	-162.7303
227.000000	79.272	-163.2589
230.000000	79.266	-163.7748
233.000000	79.258	-164.2581
236.000000	79.249	-164.7045
240.000000	79.232	-165.2549
243.000000	79.216	-165.6498
247.000000	79.196	-166.1574
250.000000	79.184	-166.5250
254.000000	79.172	-167.0068
258.000000	79.160	-167.4844
262.000000	79.147	-167.9570
265.000000	79.135	-168.3038
269.000000	79.117	-168.7466
