* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -33.9 dBFS, measurement signal peak level -33.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 30, 2024 11:14:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0276 ms (-9.5 mm, -0.37 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -38.6 ppm
* Measurement: HD650 Yaxi Pads L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	69.268	-17.7800
20.299999	69.514	-19.0735
20.600000	69.754	-20.3468
20.900000	69.987	-21.5939
21.200001	70.215	-22.8153
21.400000	70.365	-23.6188
21.799999	70.659	-25.2118
22.000000	70.803	-26.0045
22.400000	71.081	-27.5804
22.700001	71.281	-28.7452
23.000000	71.475	-29.8848
23.299999	71.664	-30.9923
23.600000	71.849	-32.0663
24.000000	72.094	-33.4557
24.299999	72.278	-34.4800
24.700001	72.523	-35.8467
25.000000	72.705	-36.8906
25.400000	72.944	-38.3283
25.799999	73.170	-39.8248
26.200001	73.376	-41.3527
26.500000	73.515	-42.4812
26.900000	73.684	-43.8984
27.200001	73.803	-44.8635
27.600000	73.966	-46.0165
28.000000	74.142	-47.0672
28.500000	74.381	-48.3677
29.000000	74.628	-49.7579
29.500000	74.867	-51.2205
30.000000	75.098	-52.6851
30.400000	75.282	-53.8573
30.700001	75.420	-54.7614
31.100000	75.598	-56.0276
31.500000	75.761	-57.3572
32.000000	75.936	-59.0221
32.500000	76.084	-60.5714
33.000000	76.224	-61.9602
33.500000	76.368	-63.2471
34.000000	76.513	-64.5082
34.500000	76.654	-65.7554
35.000000	76.790	-66.9551
35.500000	76.928	-68.0986
36.000000	77.071	-69.2265
36.500000	77.217	-70.3843
37.000000	77.360	-71.5775
37.500000	77.496	-72.7788
38.200001	77.680	-74.4359
38.700001	77.810	-75.6089
39.500000	78.013	-77.4953
40.000000	78.133	-78.6724
40.599998	78.270	-80.0630
41.200001	78.401	-81.4212
41.799999	78.527	-82.7479
42.500000	78.667	-84.2666
43.099998	78.782	-85.5602
43.700001	78.890	-86.8575
44.400002	79.004	-88.3722
45.000000	79.090	-89.6678
45.500000	79.155	-90.7502
46.200001	79.228	-92.2592
