* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 7, 2023 8:46:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HD650 Stock Pads
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	50.111	-13.1820
20.299999	50.394	-13.8248
20.600000	50.672	-15.0543
20.900000	50.901	-16.7325
21.200001	51.064	-18.5736
21.400000	51.141	-19.7348
21.799999	51.270	-21.6805
22.000000	51.345	-22.4539
22.400000	51.553	-23.7922
22.700001	51.766	-24.8896
23.000000	52.003	-26.2637
23.299999	52.231	-27.9674
23.600000	52.422	-29.9088
24.000000	52.598	-32.5099
24.299999	52.688	-34.2032
24.700001	52.796	-35.9169
25.000000	52.903	-36.8566
25.400000	53.096	-37.8992
25.799999	53.323	-38.9716
26.200001	53.543	-40.1097
26.500000	53.693	-40.8954
26.900000	53.891	-41.7150
27.200001	54.059	-42.1721
27.600000	54.317	-42.7913
28.000000	54.590	-43.6931
28.500000	54.870	-45.3448
29.000000	55.025	-47.0934
29.500000	55.090	-48.3134
30.000000	55.160	-48.9142
30.400000	55.247	-49.2073
30.700001	55.322	-49.4111
31.100000	55.423	-49.5968
31.500000	55.549	-49.5092
32.000000	55.827	-49.0529
32.500000	56.290	-48.9218
33.000000	56.822	-50.1288
33.500000	57.240	-52.8707
34.000000	57.440	-56.2205
34.500000	57.460	-58.9853
35.000000	57.438	-60.6454
35.500000	57.488	-61.5850
36.000000	57.615	-62.5165
36.500000	57.751	-63.7628
37.000000	57.848	-65.1411
37.500000	57.913	-66.3767
38.200001	58.012	-67.8243
38.700001	58.100	-68.8273
39.500000	58.252	-70.4790
40.000000	58.356	-71.4725
40.599998	58.503	-72.6418
41.200001	58.666	-73.8385
41.799999	58.831	-75.0205
42.500000	59.026	-76.2975
43.099998	59.193	-77.3423
43.700001	59.343	-78.3766
44.400002	59.489	-79.4743
45.000000	59.609	-80.3265
45.500000	59.712	-81.1575
46.200001	59.817	-82.7681
46.799999	59.810	-84.3409
47.500000	59.712	-85.5764
48.200001	59.690	-85.9243
48.700001	59.789	-86.2136
49.400002	59.983	-87.5473
50.000000	60.054	-89.2001
50.799999	60.012	-90.3495
51.500000	60.065	-89.8149
52.200001	60.314	-89.0099
53.000000	60.663	-89.1117
53.799999	60.874	-90.1234
54.500000	60.927	-91.1013
55.200001	60.917	-92.0487
56.000000	60.876	-93.5157
57.000000	60.784	-96.5562
58.000000	60.605	-101.0846
59.000000	60.209	-105.1501
60.000000	59.867	-105.0566
60.799999	60.094	-102.9417
61.500000	60.592	-102.0163
62.200001	61.106	-102.5096
63.000000	61.572	-103.8191
64.000000	61.980	-105.2617
65.000000	62.217	-106.1718
66.000000	62.318	-106.6569
67.000000	62.342	-106.9948
68.000000	62.350	-107.4648
69.000000	62.385	-108.2395
70.000000	62.461	-109.2795
71.000000	62.579	-110.4353
72.000000	62.711	-111.6032
73.000000	62.817	-112.6516
74.000000	62.875	-113.4200
75.000000	62.904	-113.9041
76.199997	62.937	-114.4042
77.500000	63.000	-115.2053
