* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), no input selected, 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 25, 2023 11:56:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HD6XX L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	62.993	160.1492
20.299999	63.262	158.8434
20.600000	63.512	157.4557
20.900000	63.741	155.9944
21.200001	63.947	154.4698
21.400000	64.068	153.4365
21.799999	64.272	151.4266
22.000000	64.359	150.4942
22.400000	64.516	148.8303
22.700001	64.633	147.7574
23.000000	64.758	146.7881
23.299999	64.893	145.8685
23.600000	65.035	144.9609
24.000000	65.229	143.7603
24.299999	65.377	142.8860
24.700001	65.584	141.7691
25.000000	65.751	140.9447
25.400000	65.992	139.8027
25.799999	66.246	138.5518
26.200001	66.507	137.1669
26.500000	66.703	136.0334
26.900000	66.963	134.3640
27.200001	67.147	132.9653
27.600000	67.358	130.9094
28.000000	67.507	128.7557
28.500000	67.597	126.3325
29.000000	67.629	124.7090
29.500000	67.703	123.9572
30.000000	67.887	123.5544
30.400000	68.095	123.0668
30.700001	68.259	122.4988
31.100000	68.457	121.5168
31.500000	68.622	120.4420
32.000000	68.794	119.1885
32.500000	68.956	118.0799
33.000000	69.119	117.0084
33.500000	69.278	115.9127
34.000000	69.433	114.8242
34.500000	69.595	113.7494
35.000000	69.771	112.6000
35.500000	69.948	111.2939
36.000000	70.109	109.8843
36.500000	70.251	108.5314
37.000000	70.394	107.3405
37.500000	70.559	106.2489
38.200001	70.808	104.5905
38.700001	70.958	103.2644
39.500000	71.106	101.3383
40.000000	71.167	100.4844
40.599998	71.245	99.7403
41.200001	71.335	99.0453
41.799999	71.417	98.2468
42.500000	71.492	97.1772
43.099998	71.539	96.1416
43.700001	71.573	94.9950
44.400002	71.598	93.6529
45.000000	71.633	92.6538
45.500000	71.698	91.9459
46.200001	71.868	91.0087
46.799999	72.076	90.0745
47.500000	72.344	88.6906
48.200001	72.571	87.1129
48.700001	72.690	86.0855
49.400002	72.818	85.0426
50.000000	72.922	84.4524
50.799999	73.052	83.7173
51.500000	73.124	83.0001
52.200001	73.166	82.3495
53.000000	73.244	81.5901
53.799999	73.382	80.3000
54.500000	73.503	78.5414
55.200001	73.591	76.5093
56.000000	73.677	74.4085
57.000000	73.851	72.4796
58.000000	74.163	71.1299
59.000000	74.555	69.3627
60.000000	74.733	66.5447
60.799999	74.587	64.6944
61.500000	74.335	64.1505
62.200001	74.084	64.4075
63.000000	73.867	65.0231
64.000000	73.710	65.6224
65.000000	73.666	65.6429
66.000000	73.700	65.0347
67.000000	73.793	64.0482
68.000000	73.926	62.7661
69.000000	74.040	61.3162
70.000000	74.096	60.0455
71.000000	74.113	59.2264
72.000000	74.135	58.7726
73.000000	74.182	58.3467
74.000000	74.241	57.7028
75.000000	74.290	56.7674
76.199997	74.308	55.3662
77.500000	74.259	53.9166
78.800003	74.184	53.0924
80.000000	74.190	52.9207
81.199997	74.292	52.7678
82.500000	74.425	52.4874
83.800003	74.555	52.4190
85.000000	74.667	52.4376
86.199997	74.733	52.3586
87.500000	74.742	52.2020
88.500000	74.735	52.0458
90.000000	74.793	51.6006
91.199997	74.939	50.6885
92.500000	75.134	49.1306
93.800003	75.319	47.5706
95.000000	75.474	46.4619
96.199997	75.604	45.6640
97.500000	75.710	44.9166
98.800003	75.770	44.0162
100.000000	75.789	43.0211
101.500000	75.806	41.7050
103.000000	75.850	40.4420
104.400002	75.905	39.3937
106.000000	75.930	38.3489
107.500000	75.882	37.5514
109.000000	75.808	36.8641
110.599998	75.772	35.9340
112.000000	75.788	34.8397
113.800003	75.843	33.4637
115.000000	75.887	32.7955
117.199997	75.936	32.0895
118.000000	75.937	31.9409
120.599998	75.929	31.4005
122.000000	75.947	30.8767
124.099998	76.006	29.8193
125.000000	76.033	29.3347
126.500000	76.064	28.5792
128.000000	76.074	27.9269
131.500000	76.066	26.3975
132.000000	76.064	26.1517
134.000000	76.057	25.1976
136.000000	76.059	24.3787
138.000000	76.068	23.6425
140.000000	76.071	22.8710
143.000000	76.040	21.7319
145.000000	76.013	21.1607
147.500000	75.995	20.4687
150.000000	75.969	19.4883
152.500000	75.926	18.3611
155.000000	75.880	17.2828
157.500000	75.825	16.3996
160.000000	75.762	15.8276
162.500000	75.704	15.5421
165.000000	75.649	15.4394
167.500000	75.592	15.4033
170.000000	75.547	15.3024
172.500000	75.530	15.0192
175.000000	75.537	14.4906
177.500000	75.549	13.8486
180.000000	75.555	13.2145
182.500000	75.547	12.6218
185.000000	75.525	12.0645
187.500000	75.498	11.5569
190.000000	75.474	11.1813
192.500000	75.455	10.9484
195.000000	75.431	10.7385
197.500000	75.392	10.4891
200.000000	75.352	10.2299
203.000000	75.325	9.9448
206.000000	75.325	9.6675
209.000000	75.338	9.3252
212.000000	75.348	8.9128
214.000000	75.349	8.6117
218.000000	75.336	7.9592
220.000000	75.327	7.6251
224.000000	75.298	7.0206
227.000000	75.266	6.6432
230.000000	75.233	6.2830
233.000000	75.202	5.9100
236.000000	75.170	5.5410
240.000000	75.120	5.1485
243.000000	75.079	4.9828
247.000000	75.030	4.8403
250.000000	75.000	4.7206
254.000000	74.965	4.5292
258.000000	74.934	4.3261
262.000000	74.906	4.1807
265.000000	74.895	4.1097
269.000000	74.895	3.9927
272.000000	74.896	3.8557
276.000000	74.884	3.6267
280.000000	74.860	3.3928
285.000000	74.833	3.1699
290.000000	74.825	3.0664
295.000000	74.825	3.0436
300.000000	74.814	2.9420
304.000000	74.792	2.7449
307.000000	74.769	2.5600
311.000000	74.732	2.3195
315.000000	74.697	2.1076
320.000000	74.666	1.8814
325.000000	74.649	1.7319
330.000000	74.635	1.6536
335.000000	74.618	1.6099
340.000000	74.600	1.5541
345.000000	74.587	1.4670
350.000000	74.581	1.4025
355.000000	74.577	1.3905
360.000000	74.565	1.3740
365.000000	74.547	1.2938
