* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), no input selected, 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 25, 2023 11:55:52 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HD6XX R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	62.314	158.3972
20.299999	62.583	157.2923
20.600000	62.879	156.3082
20.900000	63.202	155.2516
21.200001	63.527	153.9568
21.400000	63.730	152.9264
21.799999	64.065	150.6124
22.000000	64.191	149.4456
22.400000	64.370	147.3744
22.700001	64.473	146.2396
23.000000	64.584	145.4657
23.299999	64.727	144.9188
23.600000	64.906	144.3961
24.000000	65.166	143.4495
24.299999	65.342	142.5349
24.700001	65.521	141.2885
25.000000	65.629	140.5809
25.400000	65.796	140.1088
25.799999	66.062	139.9265
26.200001	66.436	139.4122
26.500000	66.742	138.4641
26.900000	67.098	136.3605
27.200001	67.281	134.3416
27.600000	67.398	131.6211
28.000000	67.403	129.4275
28.500000	67.373	127.8347
29.000000	67.434	127.1214
29.500000	67.608	126.5369
30.000000	67.830	125.6648
30.400000	68.009	124.7974
30.700001	68.141	124.0981
31.100000	68.315	123.1044
31.500000	68.480	121.9984
32.000000	68.651	120.4721
32.500000	68.766	118.9883
33.000000	68.849	117.8137
33.500000	68.950	116.9697
34.000000	69.096	116.1945
34.500000	69.268	115.2250
35.000000	69.432	114.0235
35.500000	69.573	112.7356
36.000000	69.700	111.5050
36.500000	69.829	110.3624
37.000000	69.966	109.2634
37.500000	70.108	108.1716
38.200001	70.304	106.6614
38.700001	70.437	105.6224
39.500000	70.634	104.0871
40.000000	70.750	103.2268
40.599998	70.888	102.2751
41.200001	71.027	101.3400
41.799999	71.162	100.3369
42.500000	71.298	99.0332
43.099998	71.383	97.8694
43.700001	71.442	96.8152
44.400002	71.512	95.9030
45.000000	71.619	95.3596
45.500000	71.759	94.8915
46.200001	72.007	93.8849
46.799999	72.216	92.5921
47.500000	72.407	90.8039
48.200001	72.538	89.0601
48.700001	72.606	87.9630
49.400002	72.689	86.6888
50.000000	72.769	85.7833
50.799999	72.898	84.5580
51.500000	72.994	83.3167
52.200001	73.047	82.1821
53.000000	73.113	81.3936
53.799999	73.263	80.8455
54.500000	73.430	80.1066
55.200001	73.565	79.1795
56.000000	73.666	78.3302
57.000000	73.764	77.8842
58.000000	73.890	78.1485
59.000000	74.163	78.4785
60.000000	74.463	76.9654
60.799999	74.484	74.4860
61.500000	74.321	72.5067
62.200001	74.094	71.2229
63.000000	73.891	70.3394
64.000000	73.785	69.3531
65.000000	73.806	68.1288
66.000000	73.894	66.7342
67.000000	74.012	65.3678
68.000000	74.140	64.0881
69.000000	74.254	62.8265
70.000000	74.320	61.5492
71.000000	74.320	60.3754
72.000000	74.272	59.4838
73.000000	74.215	58.9307
74.000000	74.187	58.6228
