* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of HD800s Dkni EHY Pads L, HD800s Dkni EHY Pads L, HD800s Dkni EHY Pads L
* Dated: Apr 9, 2024 3:54:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of HD800s Dkni EHY Pads L, HD800s Dkni EHY Pads L, HD800s Dkni EHY Pads L
* Measurement: RMS Avg Dkni EHY Pads L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	54.803
20.299999	55.188
20.600000	55.498
20.900000	55.729
21.200001	55.897
21.400000	55.993
21.799999	56.190
22.000000	56.315
22.400000	56.653
22.700001	56.976
23.000000	57.324
23.299999	57.652
23.600000	57.927
24.000000	58.179
24.299999	58.286
24.700001	58.356
25.000000	58.393
25.400000	58.465
25.799999	58.579
26.200001	58.724
26.500000	58.845
26.900000	59.021
27.200001	59.170
27.600000	59.390
28.000000	59.612
28.500000	59.837
29.000000	59.974
29.500000	60.062
30.000000	60.170
30.400000	60.294
30.700001	60.398
31.100000	60.530
31.500000	60.633
32.000000	60.719
32.500000	60.783
33.000000	60.867
33.500000	60.997
34.000000	61.168
34.500000	61.343
35.000000	61.482
35.500000	61.571
36.000000	61.645
36.500000	61.759
37.000000	61.938
37.500000	62.156
38.200001	62.442
38.700001	62.603
39.500000	62.821
40.000000	62.959
40.599998	63.140
41.200001	63.339
41.799999	63.532
42.500000	63.710
43.099998	63.810
43.700001	63.888
44.400002	63.995
45.000000	64.112
45.500000	64.215
46.200001	64.355
46.799999	64.468
47.500000	64.598
48.200001	64.721
48.700001	64.802
49.400002	64.899
50.000000	64.966
50.799999	65.036
51.500000	65.088
52.200001	65.146
53.000000	65.236
53.799999	65.355
54.500000	65.471
55.200001	65.576
56.000000	65.668
57.000000	65.768
58.000000	65.889
59.000000	66.005
60.000000	66.113
60.799999	66.199
61.500000	66.266
62.200001	66.326
63.000000	66.394
64.000000	66.481
65.000000	66.567
66.000000	66.657
67.000000	66.751
68.000000	66.843
69.000000	66.929
70.000000	67.007
71.000000	67.079
72.000000	67.147
73.000000	67.210
74.000000	67.273
75.000000	67.337
76.199997	67.413
77.500000	67.495
78.800003	67.570
80.000000	67.628
81.199997	67.680
82.500000	67.735
83.800003	67.793
85.000000	67.854
86.199997	67.923
87.500000	68.000
