* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of HD800s Dkni EHY R, HD800s Dkni EHY R, HD800s Dkni EHY R
* Dated: Apr 9, 2024 4:13:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of HD800s Dkni EHY R, HD800s Dkni EHY R, HD800s Dkni EHY R
* Measurement: RMS Avg Dkni EHY R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	56.670
20.299999	56.932
20.600000	57.149
20.900000	57.319
21.200001	57.450
21.400000	57.525
21.799999	57.669
22.000000	57.752
22.400000	57.967
22.700001	58.175
23.000000	58.414
23.299999	58.660
23.600000	58.894
24.000000	59.163
24.299999	59.326
24.700001	59.506
25.000000	59.631
25.400000	59.807
25.799999	60.000
26.200001	60.198
26.500000	60.339
26.900000	60.508
27.200001	60.626
27.600000	60.791
28.000000	60.986
28.500000	61.280
29.000000	61.599
29.500000	61.893
30.000000	62.134
30.400000	62.291
30.700001	62.396
31.100000	62.530
31.500000	62.662
32.000000	62.825
32.500000	62.983
33.000000	63.131
33.500000	63.273
34.000000	63.414
34.500000	63.556
35.000000	63.693
35.500000	63.817
36.000000	63.924
36.500000	64.015
37.000000	64.099
37.500000	64.186
38.200001	64.323
38.700001	64.433
39.500000	64.624
40.000000	64.749
40.599998	64.903
41.200001	65.059
41.799999	65.210
42.500000	65.371
43.099998	65.494
43.700001	65.604
44.400002	65.720
45.000000	65.816
45.500000	65.895
46.200001	66.008
46.799999	66.109
47.500000	66.230
48.200001	66.346
48.700001	66.422
49.400002	66.516
50.000000	66.587
50.799999	66.679
51.500000	66.763
52.200001	66.850
53.000000	66.953
53.799999	67.059
54.500000	67.153
55.200001	67.246
56.000000	67.349
57.000000	67.466
58.000000	67.572
59.000000	67.671
60.000000	67.771
60.799999	67.852
61.500000	67.922
62.200001	67.990
63.000000	68.063
64.000000	68.146
65.000000	68.223
66.000000	68.299
67.000000	68.376
68.000000	68.454
69.000000	68.531
70.000000	68.606
71.000000	68.678
72.000000	68.749
73.000000	68.817
74.000000	68.881
75.000000	68.940
76.199997	69.004
77.500000	69.067
78.800003	69.128
80.000000	69.184
81.199997	69.242
82.500000	69.304
83.800003	69.367
85.000000	69.423
86.199997	69.478
87.500000	69.535
88.500000	69.577
90.000000	69.640
91.199997	69.691
92.500000	69.745
93.800003	69.796
