* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of HD800s Dkni EPL Pads L, HD800s Dkni EPL Pads L, HD800s Dkni EPL Pads L
* Dated: Apr 9, 2024 3:52:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of HD800s Dkni EPL Pads L, HD800s Dkni EPL Pads L, HD800s Dkni EPL Pads L
* Measurement: RMS Avg Dkni EPL L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	52.894
20.299999	53.178
20.600000	53.504
20.900000	53.835
21.200001	54.143
21.400000	54.331
21.799999	54.686
22.000000	54.867
22.400000	55.268
22.700001	55.615
23.000000	55.986
23.299999	56.343
23.600000	56.650
24.000000	56.933
24.299999	57.037
24.700001	57.053
25.000000	57.020
25.400000	57.001
25.799999	57.100
26.200001	57.344
26.500000	57.588
26.900000	57.919
27.200001	58.123
27.600000	58.301
28.000000	58.378
28.500000	58.409
29.000000	58.499
29.500000	58.717
30.000000	59.015
30.400000	59.245
30.700001	59.390
31.100000	59.543
31.500000	59.660
32.000000	59.788
32.500000	59.920
33.000000	60.059
33.500000	60.198
34.000000	60.332
34.500000	60.461
35.000000	60.590
35.500000	60.725
36.000000	60.868
36.500000	61.017
37.000000	61.163
37.500000	61.300
38.200001	61.467
38.700001	61.569
39.500000	61.727
40.000000	61.835
40.599998	61.971
41.200001	62.095
41.799999	62.201
42.500000	62.325
43.099998	62.457
43.700001	62.603
44.400002	62.764
45.000000	62.884
45.500000	62.977
46.200001	63.100
46.799999	63.190
47.500000	63.264
48.200001	63.321
48.700001	63.369
49.400002	63.462
50.000000	63.558
50.799999	63.686
51.500000	63.787
52.200001	63.886
53.000000	64.014
53.799999	64.162
54.500000	64.292
55.200001	64.405
56.000000	64.514
57.000000	64.635
58.000000	64.740
59.000000	64.825
60.000000	64.908
60.799999	64.988
61.500000	65.066
62.200001	65.145
63.000000	65.231
64.000000	65.332
65.000000	65.427
66.000000	65.516
67.000000	65.599
68.000000	65.677
69.000000	65.753
70.000000	65.831
71.000000	65.912
72.000000	65.992
73.000000	66.068
74.000000	66.141
75.000000	66.209
76.199997	66.285
77.500000	66.365
78.800003	66.446
80.000000	66.516
81.199997	66.576
82.500000	66.632
83.800003	66.678
85.000000	66.715
86.199997	66.749
87.500000	66.785
88.500000	66.812
90.000000	66.850
91.199997	66.876
92.500000	66.900
93.800003	66.924
95.000000	66.952
96.199997	66.986
97.500000	67.028
98.800003	67.073
100.000000	67.112
101.500000	67.158
103.000000	67.197
104.400002	67.230
106.000000	67.257
107.500000	67.276
109.000000	67.304
110.599998	67.344
112.000000	67.382
113.800003	67.419
115.000000	67.437
117.199997	67.460
118.000000	67.467
120.599998	67.504
122.000000	67.533
124.099998	67.575
125.000000	67.591
126.500000	67.616
128.000000	67.638
131.500000	67.698
132.000000	67.709
134.000000	67.756
136.000000	67.803
138.000000	67.848
140.000000	67.891
143.000000	67.951
145.000000	67.990
147.500000	68.039
150.000000	68.084
152.500000	68.121
155.000000	68.152
157.500000	68.180
160.000000	68.213
162.500000	68.252
165.000000	68.293
167.500000	68.328
170.000000	68.357
172.500000	68.383
175.000000	68.410
177.500000	68.439
180.000000	68.467
182.500000	68.493
185.000000	68.517
187.500000	68.540
190.000000	68.566
192.500000	68.594
195.000000	68.622
197.500000	68.646
200.000000	68.665
203.000000	68.687
206.000000	68.709
209.000000	68.732
212.000000	68.752
214.000000	68.764
218.000000	68.786
220.000000	68.799
224.000000	68.825
227.000000	68.846
230.000000	68.867
233.000000	68.889
236.000000	68.911
240.000000	68.939
243.000000	68.959
247.000000	68.984
250.000000	68.999
254.000000	69.015
258.000000	69.032
262.000000	69.050
265.000000	69.064
269.000000	69.082
272.000000	69.097
276.000000	69.118
280.000000	69.137
285.000000	69.156
290.000000	69.173
295.000000	69.191
300.000000	69.213
304.000000	69.232
307.000000	69.247
311.000000	69.264
315.000000	69.281
320.000000	69.300
325.000000	69.317
330.000000	69.333
335.000000	69.351
340.000000	69.371
345.000000	69.392
350.000000	69.412
355.000000	69.431
360.000000	69.448
365.000000	69.466
370.000000	69.484
375.000000	69.502
382.000000	69.526
387.000000	69.543
395.000000	69.569
400.000000	69.583
406.000000	69.600
412.000000	69.617
418.000000	69.634
425.000000	69.651
431.000000	69.664
437.000000	69.677
444.000000	69.694
450.000000	69.712
455.000000	69.728
462.000000	69.747
468.000000	69.760
475.000000	69.770
482.000000	69.776
487.000000	69.778
494.000000	69.778
500.000000	69.776
508.000000	69.771
515.000000	69.768
522.000000	69.765
530.000000	69.760
538.000000	69.750
545.000000	69.739
552.000000	69.733
560.000000	69.736
570.000000	69.753
580.000000	69.779
590.000000	69.809
600.000000	69.835
608.000000	69.850
615.000000	69.858
622.000000	69.862
630.000000	69.857
640.000000	69.839
650.000000	69.819
660.000000	69.806
670.000000	69.804
680.000000	69.816
690.000000	69.841
700.000000	69.882
710.000000	69.941
720.000000	70.010
730.000000	70.077
740.000000	70.135
750.000000	70.184
762.000000	70.234
775.000000	70.277
788.000000	70.296
800.000000	70.292
812.000000	70.277
825.000000	70.260
838.000000	70.247
850.000000	70.241
862.000000	70.236
875.000000	70.223
885.000000	70.206
900.000000	70.173
912.000000	70.142
925.000000	70.110
938.000000	70.086
950.000000	70.072
962.000000	70.065
975.000000	70.066
988.000000	70.076
1000.000000	70.086
1015.000000	70.082
1030.000000	70.048
1044.000000	69.986
1060.000000	69.882
1075.000000	69.761
1090.000000	69.640
1106.000000	69.536
1120.000000	69.479
1138.000000	69.443
1150.000000	69.430
1172.000000	69.412
1180.000000	69.409
1206.000000	69.405
1220.000000	69.390
1241.000000	69.332
1250.000000	69.299
1265.000000	69.244
1280.000000	69.195
1315.000000	69.102
1320.000000	69.090
1340.000000	69.042
1360.000000	68.973
1380.000000	68.893
1400.000000	68.835
1430.000000	68.790
1450.000000	68.768
1475.000000	68.763
1500.000000	68.805
1525.000000	68.895
1550.000000	69.030
1575.000000	69.177
1600.000000	69.308
1625.000000	69.426
1650.000000	69.521
1675.000000	69.589
1700.000000	69.652
1725.000000	69.739
1750.000000	69.868
1775.000000	70.035
1800.000000	70.209
1825.000000	70.359
1850.000000	70.482
1875.000000	70.596
1900.000000	70.724
1925.000000	70.870
1950.000000	71.037
1975.000000	71.225
2000.000000	71.437
2030.000000	71.715
2060.000000	71.988
2090.000000	72.234
2120.000000	72.453
2140.000000	72.591
2180.000000	72.858
2200.000000	72.985
2240.000000	73.236
2270.000000	73.456
2300.000000	73.715
2330.000000	73.998
2360.000000	74.299
2400.000000	74.735
2430.000000	75.085
2470.000000	75.551
2500.000000	75.889
2540.000000	76.347
2580.000000	76.841
2620.000000	77.346
2650.000000	77.705
2690.000000	78.152
2720.000000	78.471
2760.000000	78.891
2800.000000	79.304
2850.000000	79.781
2900.000000	80.197
2950.000000	80.509
3000.000000	80.684
3040.000000	80.764
3070.000000	80.812
3110.000000	80.873
3150.000000	80.915
3200.000000	80.907
3250.000000	80.825
3300.000000	80.709
3350.000000	80.607
3400.000000	80.504
3450.000000	80.339
3500.000000	80.089
3550.000000	79.799
3600.000000	79.514
3650.000000	79.240
3700.000000	78.983
3750.000000	78.761
3820.000000	78.508
3870.000000	78.369
3950.000000	78.245
4000.000000	78.217
4060.000000	78.202
4120.000000	78.200
4180.000000	78.215
4250.000000	78.207
4310.000000	78.114
4370.000000	77.928
4440.000000	77.591
4500.000000	77.175
4550.000000	76.752
4620.000000	76.122
4680.000000	75.589
4750.000000	74.963
4820.000000	74.331
4870.000000	73.892
4940.000000	73.288
5000.000000	72.761
5080.000000	72.109
5150.000000	71.712
5220.000000	71.503
5300.000000	71.417
5380.000000	71.434
5450.000000	71.540
5520.000000	71.751
5600.000000	72.117
5700.000000	72.691
5800.000000	73.277
5900.000000	73.811
6000.000000	74.292
6080.000000	74.658
6150.000000	74.995
6220.000000	75.383
6300.000000	75.927
6400.000000	76.774
6500.000000	77.751
6600.000000	78.709
6700.000000	79.433
6800.000000	79.712
6900.000000	79.406
7000.000000	78.505
7100.000000	77.128
7200.000000	75.499
7300.000000	73.892
7400.000000	72.580
7500.000000	71.772
7620.000000	71.497
7750.000000	71.766
7880.000000	72.352
8000.000000	73.136
8120.000000	74.195
8250.000000	75.601
8380.000000	77.013
8500.000000	77.995
8620.000000	78.425
8750.000000	78.169
8850.000000	77.509
9000.000000	75.982
9120.000000	74.494
9250.000000	72.821
9380.000000	71.289
9500.000000	70.129
9620.000000	69.211
9750.000000	68.413
9880.000000	67.825
10000.000000	67.613
10150.000000	68.052
10300.000000	69.234
10440.000000	70.615
10600.000000	72.053
10750.000000	73.000
10900.000000	73.428
11060.000000	73.281
11200.000000	72.719
11380.000000	71.690
11500.000000	71.054
11720.000000	70.394
11800.000000	70.299
12060.000000	70.110
12200.000000	69.950
12410.000000	69.661
12500.000000	69.576
12650.000000	69.593
12800.000000	69.902
13150.000000	71.352
13200.000000	71.540
13400.000000	72.015
13600.000000	71.945
13800.000000	71.335
14000.000000	70.342
14300.000000	68.931
14500.000000	68.716
14750.000000	69.405
15000.000000	70.532
15250.000000	71.571
15500.000000	72.188
15750.000000	72.204
16000.000000	71.714
16250.000000	70.989
16500.000000	70.319
16750.000000	69.877
17000.000000	69.590
17250.000000	69.179
17500.000000	68.377
17750.000000	67.067
18000.000000	65.336
18250.000000	63.590
18500.000000	62.638
18750.000000	62.928
19000.000000	63.846
19250.000000	64.692
19500.000000	65.189
19750.000000	65.346
