* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of HD800s Dkni EPL R, HD800s Dkni EPL R, HD800s Dkni EPL R
* Dated: Apr 9, 2024 4:12:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of HD800s Dkni EPL R, HD800s Dkni EPL R, HD800s Dkni EPL R
* Measurement: RMS Avg Dkni EPL R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	56.709
20.299999	56.777
20.600000	56.875
20.900000	57.033
21.200001	57.267
21.400000	57.459
21.799999	57.890
22.000000	58.101
22.400000	58.450
22.700001	58.617
23.000000	58.699
23.299999	58.732
23.600000	58.769
24.000000	58.915
24.299999	59.135
24.700001	59.542
25.000000	59.868
25.400000	60.247
25.799999	60.518
26.200001	60.697
26.500000	60.802
26.900000	60.935
27.200001	61.036
27.600000	61.161
28.000000	61.261
28.500000	61.362
29.000000	61.501
29.500000	61.731
30.000000	62.029
30.400000	62.275
30.700001	62.447
31.100000	62.653
31.500000	62.835
32.000000	63.034
32.500000	63.210
33.000000	63.374
33.500000	63.537
34.000000	63.700
34.500000	63.849
35.000000	63.967
35.500000	64.061
36.000000	64.160
36.500000	64.291
37.000000	64.453
37.500000	64.622
38.200001	64.829
38.700001	64.953
39.500000	65.130
40.000000	65.229
40.599998	65.337
41.200001	65.448
41.799999	65.571
42.500000	65.716
43.099998	65.822
43.700001	65.911
44.400002	66.019
45.000000	66.127
45.500000	66.224
46.200001	66.360
46.799999	66.463
47.500000	66.558
48.200001	66.636
48.700001	66.690
49.400002	66.770
50.000000	66.847
50.799999	66.952
51.500000	67.041
52.200001	67.125
53.000000	67.216
53.799999	67.293
54.500000	67.353
55.200001	67.421
56.000000	67.518
57.000000	67.664
58.000000	67.823
59.000000	67.971
60.000000	68.097
60.799999	68.180
61.500000	68.243
62.200001	68.298
63.000000	68.356
64.000000	68.428
65.000000	68.504
66.000000	68.581
67.000000	68.661
68.000000	68.743
69.000000	68.825
70.000000	68.905
71.000000	68.984
72.000000	69.058
73.000000	69.125
74.000000	69.183
75.000000	69.232
76.199997	69.282
77.500000	69.335
78.800003	69.391
80.000000	69.441
81.199997	69.489
82.500000	69.538
83.800003	69.582
85.000000	69.615
86.199997	69.644
87.500000	69.679
88.500000	69.713
90.000000	69.783
