* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of HD800s ? Pads L, HD800s ? Pads L, HD800s ? Pads L, HD800s ? Pads L
* Dated: Apr 9, 2024 3:40:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of HD800s ? Pads L, HD800s ? Pads L, HD800s ? Pads L, HD800s ? Pads L
* Measurement: RMS Avg Kito Pads L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	64.929
20.299999	65.122
20.600000	65.296
20.900000	65.455
21.200001	65.611
21.400000	65.721
21.799999	65.955
22.000000	66.079
22.400000	66.322
22.700001	66.484
23.000000	66.619
23.299999	66.733
23.600000	66.843
24.000000	67.018
24.299999	67.184
24.700001	67.439
25.000000	67.625
25.400000	67.823
25.799999	67.941
26.200001	68.004
26.500000	68.055
26.900000	68.174
27.200001	68.313
27.600000	68.545
28.000000	68.776
28.500000	68.996
29.000000	69.132
29.500000	69.229
30.000000	69.327
30.400000	69.409
30.700001	69.467
31.100000	69.536
31.500000	69.599
32.000000	69.683
32.500000	69.783
33.000000	69.896
33.500000	70.011
34.000000	70.120
34.500000	70.224
35.000000	70.324
35.500000	70.422
36.000000	70.521
36.500000	70.622
37.000000	70.721
37.500000	70.814
38.200001	70.927
38.700001	70.998
39.500000	71.103
40.000000	71.162
40.599998	71.231
41.200001	71.308
41.799999	71.398
42.500000	71.505
43.099998	71.583
43.700001	71.644
44.400002	71.704
45.000000	71.755
45.500000	71.799
46.200001	71.861
46.799999	71.916
47.500000	71.987
48.200001	72.061
48.700001	72.108
49.400002	72.157
50.000000	72.179
50.799999	72.192
51.500000	72.206
52.200001	72.242
53.000000	72.308
53.799999	72.382
54.500000	72.437
55.200001	72.485
56.000000	72.539
57.000000	72.603
58.000000	72.648
59.000000	72.678
60.000000	72.718
60.799999	72.763
61.500000	72.806
62.200001	72.848
63.000000	72.890
