* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of HD800s ? Pads R, HD800s ? Pads R, HD800s ? Pads R
* Dated: Apr 9, 2024 4:03:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of HD800s ? Pads R, HD800s ? Pads R, HD800s ? Pads R
* Measurement: RMS Avg Kito Pads R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	66.305
20.299999	66.495
20.600000	66.681
20.900000	66.865
21.200001	67.046
21.400000	67.161
21.799999	67.368
22.000000	67.458
22.400000	67.613
22.700001	67.716
23.000000	67.822
23.299999	67.943
23.600000	68.085
24.000000	68.301
24.299999	68.470
24.700001	68.682
25.000000	68.820
25.400000	68.973
25.799999	69.104
26.200001	69.229
26.500000	69.325
26.900000	69.454
27.200001	69.549
27.600000	69.668
28.000000	69.781
28.500000	69.926
29.000000	70.083
29.500000	70.245
30.000000	70.394
30.400000	70.501
30.700001	70.578
31.100000	70.682
31.500000	70.791
32.000000	70.929
32.500000	71.056
33.000000	71.160
33.500000	71.247
34.000000	71.330
34.500000	71.417
35.000000	71.505
35.500000	71.589
36.000000	71.667
36.500000	71.746
37.000000	71.830
37.500000	71.917
38.200001	72.032
38.700001	72.109
39.500000	72.233
40.000000	72.308
40.599998	72.388
41.200001	72.457
41.799999	72.528
42.500000	72.622
43.099998	72.705
43.700001	72.778
44.400002	72.846
45.000000	72.891
45.500000	72.925
46.200001	72.971
46.799999	73.009
47.500000	73.055
48.200001	73.102
48.700001	73.137
49.400002	73.184
50.000000	73.226
50.799999	73.292
51.500000	73.361
52.200001	73.432
53.000000	73.501
53.799999	73.552
54.500000	73.589
55.200001	73.629
56.000000	73.684
57.000000	73.756
58.000000	73.802
59.000000	73.820
60.000000	73.840
60.799999	73.864
61.500000	73.886
62.200001	73.908
63.000000	73.930
64.000000	73.956
65.000000	73.984
66.000000	74.011
67.000000	74.033
68.000000	74.051
69.000000	74.065
70.000000	74.078
71.000000	74.096
72.000000	74.118
73.000000	74.145
74.000000	74.177
75.000000	74.213
76.199997	74.261
77.500000	74.318
78.800003	74.380
80.000000	74.438
81.199997	74.495
82.500000	74.555
83.800003	74.608
85.000000	74.648
86.199997	74.681
87.500000	74.713
88.500000	74.736
90.000000	74.773
91.199997	74.804
92.500000	74.838
93.800003	74.871
95.000000	74.903
96.199997	74.935
97.500000	74.967
98.800003	74.994
100.000000	75.018
101.500000	75.046
103.000000	75.069
104.400002	75.084
106.000000	75.095
107.500000	75.101
109.000000	75.109
110.599998	75.124
112.000000	75.143
113.800003	75.167
115.000000	75.179
117.199997	75.188
118.000000	75.187
120.599998	75.191
122.000000	75.207
124.099998	75.244
125.000000	75.258
126.500000	75.274
128.000000	75.283
131.500000	75.304
132.000000	75.309
134.000000	75.331
136.000000	75.353
138.000000	75.371
140.000000	75.385
143.000000	75.409
145.000000	75.430
147.500000	75.457
150.000000	75.481
152.500000	75.499
155.000000	75.508
157.500000	75.508
160.000000	75.510
162.500000	75.519
165.000000	75.534
167.500000	75.545
170.000000	75.552
172.500000	75.558
175.000000	75.563
177.500000	75.565
180.000000	75.565
182.500000	75.562
185.000000	75.560
187.500000	75.560
190.000000	75.563
192.500000	75.567
195.000000	75.570
197.500000	75.573
200.000000	75.575
203.000000	75.575
206.000000	75.575
209.000000	75.574
212.000000	75.571
214.000000	75.570
218.000000	75.568
220.000000	75.568
224.000000	75.567
227.000000	75.565
230.000000	75.562
233.000000	75.559
236.000000	75.555
240.000000	75.550
243.000000	75.547
247.000000	75.543
250.000000	75.539
254.000000	75.533
258.000000	75.528
262.000000	75.524
265.000000	75.521
269.000000	75.517
272.000000	75.514
276.000000	75.509
280.000000	75.502
285.000000	75.495
290.000000	75.487
295.000000	75.479
300.000000	75.470
304.000000	75.462
307.000000	75.456
311.000000	75.448
315.000000	75.442
320.000000	75.434
325.000000	75.426
330.000000	75.421
335.000000	75.418
340.000000	75.415
345.000000	75.412
350.000000	75.407
355.000000	75.402
360.000000	75.396
365.000000	75.390
370.000000	75.384
375.000000	75.379
382.000000	75.373
387.000000	75.371
395.000000	75.366
400.000000	75.361
406.000000	75.352
412.000000	75.342
418.000000	75.334
425.000000	75.326
431.000000	75.318
437.000000	75.311
444.000000	75.306
450.000000	75.306
455.000000	75.308
462.000000	75.312
468.000000	75.315
475.000000	75.314
482.000000	75.310
487.000000	75.307
494.000000	75.305
500.000000	75.306
508.000000	75.305
515.000000	75.303
522.000000	75.302
530.000000	75.304
538.000000	75.309
545.000000	75.315
552.000000	75.321
560.000000	75.328
570.000000	75.333
580.000000	75.339
590.000000	75.350
600.000000	75.359
608.000000	75.361
615.000000	75.361
622.000000	75.360
630.000000	75.359
640.000000	75.359
650.000000	75.356
660.000000	75.353
670.000000	75.354
680.000000	75.351
690.000000	75.340
700.000000	75.322
710.000000	75.305
720.000000	75.291
730.000000	75.284
740.000000	75.282
750.000000	75.280
762.000000	75.270
775.000000	75.244
788.000000	75.213
800.000000	75.197
812.000000	75.199
825.000000	75.218
838.000000	75.244
850.000000	75.264
862.000000	75.273
875.000000	75.275
885.000000	75.276
900.000000	75.276
912.000000	75.264
925.000000	75.238
938.000000	75.204
950.000000	75.170
962.000000	75.136
975.000000	75.103
988.000000	75.076
1000.000000	75.051
1015.000000	75.020
1030.000000	74.994
1044.000000	74.975
1060.000000	74.969
1075.000000	74.980
1090.000000	74.990
1106.000000	74.981
1120.000000	74.949
1138.000000	74.891
1150.000000	74.845
1172.000000	74.750
1180.000000	74.719
1206.000000	74.638
1220.000000	74.595
1241.000000	74.536
1250.000000	74.520
1265.000000	74.508
1280.000000	74.512
1315.000000	74.511
1320.000000	74.503
1340.000000	74.457
1360.000000	74.396
1380.000000	74.322
1400.000000	74.243
1430.000000	74.137
1450.000000	74.072
1475.000000	74.008
1500.000000	73.993
1525.000000	73.997
1550.000000	73.981
1575.000000	73.937
1600.000000	73.875
1625.000000	73.797
1650.000000	73.706
1675.000000	73.625
1700.000000	73.581
1725.000000	73.570
1750.000000	73.578
1775.000000	73.606
1800.000000	73.660
1825.000000	73.742
1850.000000	73.837
1875.000000	73.928
1900.000000	74.013
1925.000000	74.099
1950.000000	74.200
1975.000000	74.321
2000.000000	74.453
2030.000000	74.608
2060.000000	74.756
2090.000000	74.912
2120.000000	75.089
2140.000000	75.214
2180.000000	75.458
2200.000000	75.568
2240.000000	75.776
2270.000000	75.934
2300.000000	76.099
2330.000000	76.271
2360.000000	76.446
2400.000000	76.684
2430.000000	76.869
2470.000000	77.122
2500.000000	77.332
2540.000000	77.665
2580.000000	78.049
2620.000000	78.472
2650.000000	78.812
2690.000000	79.293
2720.000000	79.661
2760.000000	80.141
2800.000000	80.607
2850.000000	81.170
2900.000000	81.692
2950.000000	82.140
3000.000000	82.481
3040.000000	82.652
3070.000000	82.711
3110.000000	82.695
3150.000000	82.572
3200.000000	82.278
3250.000000	81.870
3300.000000	81.423
3350.000000	81.023
3400.000000	80.727
3450.000000	80.538
3500.000000	80.441
3550.000000	80.427
3600.000000	80.495
3650.000000	80.645
3700.000000	80.866
3750.000000	81.124
3820.000000	81.444
3870.000000	81.582
3950.000000	81.603
4000.000000	81.513
4060.000000	81.354
4120.000000	81.199
4180.000000	81.103
4250.000000	81.105
4310.000000	81.196
4370.000000	81.339
4440.000000	81.538
4500.000000	81.733
4550.000000	81.913
4620.000000	82.185
4680.000000	82.426
4750.000000	82.683
4820.000000	82.862
4870.000000	82.908
4940.000000	82.827
5000.000000	82.617
5080.000000	82.159
5150.000000	81.637
5220.000000	81.070
5300.000000	80.476
5380.000000	80.031
5450.000000	79.775
5520.000000	79.615
5600.000000	79.523
5700.000000	79.596
5800.000000	80.008
5900.000000	80.702
6000.000000	81.365
6080.000000	81.691
6150.000000	81.785
6220.000000	81.711
6300.000000	81.467
6400.000000	81.029
6500.000000	80.561
6600.000000	80.158
6700.000000	79.894
6800.000000	79.832
6900.000000	80.014
7000.000000	80.439
7100.000000	81.029
7200.000000	81.607
7300.000000	81.934
7400.000000	81.792
7500.000000	81.081
7620.000000	79.521
7750.000000	77.200
7880.000000	74.727
8000.000000	72.982
8120.000000	72.218
8250.000000	72.419
8380.000000	73.375
8500.000000	74.784
8620.000000	76.455
8750.000000	78.040
8850.000000	78.840
9000.000000	79.239
9120.000000	78.879
9250.000000	77.787
9380.000000	76.001
9500.000000	73.947
9620.000000	71.853
9750.000000	69.863
9880.000000	68.191
10000.000000	66.925
10150.000000	66.330
10300.000000	67.686
10440.000000	70.098
10600.000000	72.821
10750.000000	74.685
10900.000000	75.684
11060.000000	75.788
11200.000000	75.147
11380.000000	73.590
11500.000000	72.315
11720.000000	70.097
11800.000000	69.555
12060.000000	70.356
12200.000000	72.320
12410.000000	75.628
12500.000000	76.888
12650.000000	78.614
12800.000000	79.792
13150.000000	80.123
13200.000000	79.899
13400.000000	78.531
13600.000000	76.841
13800.000000	75.287
14000.000000	73.922
14300.000000	72.058
14500.000000	71.198
14750.000000	71.093
15000.000000	71.841
15250.000000	72.571
15500.000000	72.602
15750.000000	71.849
16000.000000	70.895
16250.000000	70.683
16500.000000	71.354
16750.000000	72.247
17000.000000	72.957
17250.000000	73.331
17500.000000	73.241
17750.000000	72.615
18000.000000	71.511
18250.000000	70.124
18500.000000	68.796
18750.000000	67.980
19000.000000	67.891
19250.000000	68.205
19500.000000	68.459
19750.000000	68.466
