* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of HD800s Stock Pads L, HD800s Stock Pads L, HD800s Stock Pads L
* Dated: Apr 9, 2024 3:46:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of HD800s Stock Pads L, HD800s Stock Pads L, HD800s Stock Pads L
* Measurement: RMS Avg Stock Pads L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	65.850
20.299999	66.001
20.600000	66.172
20.900000	66.369
21.200001	66.581
21.400000	66.720
21.799999	66.985
22.000000	67.107
22.400000	67.337
22.700001	67.510
23.000000	67.692
23.299999	67.878
23.600000	68.053
24.000000	68.247
24.299999	68.352
24.700001	68.444
25.000000	68.499
25.400000	68.594
25.799999	68.740
26.200001	68.930
26.500000	69.081
26.900000	69.269
27.200001	69.388
27.600000	69.520
28.000000	69.635
28.500000	69.773
29.000000	69.906
29.500000	70.031
30.000000	70.158
30.400000	70.270
30.700001	70.361
31.100000	70.483
31.500000	70.594
32.000000	70.703
32.500000	70.786
33.000000	70.865
33.500000	70.956
34.000000	71.059
34.500000	71.162
35.000000	71.255
35.500000	71.340
36.000000	71.420
36.500000	71.500
37.000000	71.580
37.500000	71.661
38.200001	71.781
38.700001	71.870
39.500000	72.002
40.000000	72.073
40.599998	72.145
41.200001	72.213
41.799999	72.282
42.500000	72.366
43.099998	72.436
43.700001	72.498
44.400002	72.557
45.000000	72.598
45.500000	72.627
46.200001	72.661
46.799999	72.683
47.500000	72.693
48.200001	72.685
48.700001	72.674
49.400002	72.666
50.000000	72.674
50.799999	72.708
51.500000	72.752
52.200001	72.811
53.000000	72.894
53.799999	72.977
54.500000	73.043
55.200001	73.106
56.000000	73.165
57.000000	73.203
58.000000	73.221
59.000000	73.236
60.000000	73.236
60.799999	73.229
61.500000	73.226
62.200001	73.230
63.000000	73.241
64.000000	73.258
65.000000	73.270
66.000000	73.273
67.000000	73.267
68.000000	73.253
69.000000	73.234
70.000000	73.217
71.000000	73.212
72.000000	73.227
73.000000	73.265
74.000000	73.324
75.000000	73.397
76.199997	73.497
77.500000	73.619
78.800003	73.742
80.000000	73.846
81.199997	73.940
82.500000	74.033
83.800003	74.114
85.000000	74.180
86.199997	74.239
87.500000	74.294
88.500000	74.331
90.000000	74.383
91.199997	74.422
92.500000	74.465
93.800003	74.506
95.000000	74.543
96.199997	74.579
97.500000	74.616
98.800003	74.653
100.000000	74.686
101.500000	74.724
103.000000	74.757
104.400002	74.787
106.000000	74.820
107.500000	74.842
109.000000	74.844
110.599998	74.835
112.000000	74.829
113.800003	74.829
115.000000	74.834
117.199997	74.853
118.000000	74.862
120.599998	74.892
122.000000	74.911
124.099998	74.951
125.000000	74.971
126.500000	75.004
128.000000	75.034
131.500000	75.079
132.000000	75.084
134.000000	75.100
136.000000	75.107
138.000000	75.108
140.000000	75.112
143.000000	75.130
145.000000	75.146
147.500000	75.168
150.000000	75.192
