* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of HD800s Stock Pads R, HD800s Stock Pads R, HD800s Stock Pads R
* Dated: Apr 9, 2024 4:07:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of HD800s Stock Pads R, HD800s Stock Pads R, HD800s Stock Pads R
* Measurement: RMS Avg Stock Pads R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	66.808
20.299999	67.003
20.600000	67.180
20.900000	67.335
21.200001	67.473
21.400000	67.561
21.799999	67.735
22.000000	67.823
22.400000	68.000
22.700001	68.125
23.000000	68.239
23.299999	68.342
23.600000	68.440
24.000000	68.579
24.299999	68.701
24.700001	68.891
25.000000	69.047
25.400000	69.257
25.799999	69.453
26.200001	69.628
26.500000	69.749
26.900000	69.904
27.200001	70.017
27.600000	70.164
28.000000	70.301
28.500000	70.453
29.000000	70.589
29.500000	70.717
30.000000	70.838
30.400000	70.925
30.700001	70.983
31.100000	71.052
31.500000	71.118
32.000000	71.205
32.500000	71.305
33.000000	71.414
33.500000	71.528
34.000000	71.639
34.500000	71.747
35.000000	71.852
35.500000	71.960
36.000000	72.070
36.500000	72.180
37.000000	72.282
37.500000	72.374
38.200001	72.489
38.700001	72.565
39.500000	72.674
40.000000	72.730
40.599998	72.789
41.200001	72.849
41.799999	72.912
42.500000	72.987
43.099998	73.052
43.700001	73.115
44.400002	73.188
45.000000	73.246
45.500000	73.290
46.200001	73.339
46.799999	73.369
47.500000	73.401
48.200001	73.440
48.700001	73.469
49.400002	73.490
50.000000	73.488
50.799999	73.487
51.500000	73.511
52.200001	73.544
53.000000	73.574
53.799999	73.607
54.500000	73.651
55.200001	73.706
56.000000	73.767
57.000000	73.824
58.000000	73.857
59.000000	73.871
60.000000	73.858
60.799999	73.829
61.500000	73.796
62.200001	73.764
63.000000	73.732
64.000000	73.698
65.000000	73.670
66.000000	73.646
67.000000	73.625
68.000000	73.607
69.000000	73.586
70.000000	73.560
71.000000	73.532
72.000000	73.507
73.000000	73.493
74.000000	73.499
75.000000	73.529
76.199997	73.599
77.500000	73.718
78.800003	73.866
80.000000	74.001
81.199997	74.126
82.500000	74.253
83.800003	74.369
85.000000	74.466
86.199997	74.559
87.500000	74.657
88.500000	74.723
90.000000	74.803
91.199997	74.856
92.500000	74.911
93.800003	74.959
95.000000	74.997
96.199997	75.035
97.500000	75.078
98.800003	75.119
100.000000	75.151
101.500000	75.181
103.000000	75.193
104.400002	75.195
106.000000	75.205
107.500000	75.222
109.000000	75.233
110.599998	75.233
112.000000	75.232
113.800003	75.230
115.000000	75.227
117.199997	75.222
118.000000	75.224
120.599998	75.252
122.000000	75.281
124.099998	75.331
125.000000	75.351
126.500000	75.381
128.000000	75.405
131.500000	75.441
132.000000	75.445
134.000000	75.464
136.000000	75.480
138.000000	75.488
140.000000	75.497
143.000000	75.522
145.000000	75.541
147.500000	75.555
150.000000	75.555
152.500000	75.549
155.000000	75.544
157.500000	75.537
160.000000	75.527
162.500000	75.536
165.000000	75.566
167.500000	75.599
170.000000	75.624
172.500000	75.645
175.000000	75.660
177.500000	75.667
180.000000	75.667
182.500000	75.664
185.000000	75.661
187.500000	75.659
190.000000	75.659
192.500000	75.658
195.000000	75.658
197.500000	75.659
200.000000	75.660
203.000000	75.662
206.000000	75.663
209.000000	75.666
212.000000	75.668
214.000000	75.670
218.000000	75.674
220.000000	75.674
224.000000	75.675
227.000000	75.675
230.000000	75.675
233.000000	75.674
236.000000	75.670
240.000000	75.663
243.000000	75.659
