* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of HD800s Yaxi Pads L, HD800s Yaxi Pads L, HD800s Yaxi Pads L
* Dated: Apr 9, 2024 3:49:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of HD800s Yaxi Pads L, HD800s Yaxi Pads L, HD800s Yaxi Pads L
* Measurement: RMS Avg Yaxi L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	62.198
20.299999	62.413
20.600000	62.623
20.900000	62.818
21.200001	62.993
21.400000	63.100
21.799999	63.306
22.000000	63.411
22.400000	63.636
22.700001	63.816
23.000000	63.994
23.299999	64.156
23.600000	64.297
24.000000	64.459
24.299999	64.581
24.700001	64.774
25.000000	64.951
25.400000	65.217
25.799999	65.476
26.200001	65.690
26.500000	65.813
26.900000	65.937
27.200001	66.013
27.600000	66.110
28.000000	66.208
28.500000	66.331
29.000000	66.464
29.500000	66.637
30.000000	66.860
30.400000	67.052
30.700001	67.184
31.100000	67.328
31.500000	67.430
32.000000	67.519
32.500000	67.599
33.000000	67.696
33.500000	67.809
34.000000	67.925
34.500000	68.033
35.000000	68.132
35.500000	68.228
36.000000	68.329
36.500000	68.438
37.000000	68.555
37.500000	68.673
38.200001	68.826
38.700001	68.920
39.500000	69.056
40.000000	69.140
40.599998	69.242
41.200001	69.337
41.799999	69.419
42.500000	69.507
43.099998	69.590
43.700001	69.680
44.400002	69.783
45.000000	69.858
45.500000	69.912
46.200001	69.977
46.799999	70.024
47.500000	70.073
48.200001	70.117
48.700001	70.144
49.400002	70.175
50.000000	70.207
50.799999	70.286
51.500000	70.386
52.200001	70.488
53.000000	70.586
53.799999	70.676
54.500000	70.755
55.200001	70.832
56.000000	70.918
57.000000	71.024
58.000000	71.114
59.000000	71.192
60.000000	71.267
60.799999	71.312
61.500000	71.337
62.200001	71.354
63.000000	71.376
64.000000	71.418
65.000000	71.472
66.000000	71.524
67.000000	71.567
68.000000	71.599
69.000000	71.631
70.000000	71.672
71.000000	71.718
72.000000	71.764
73.000000	71.809
74.000000	71.851
75.000000	71.895
76.199997	71.955
77.500000	72.027
78.800003	72.095
80.000000	72.154
81.199997	72.209
82.500000	72.266
83.800003	72.324
85.000000	72.377
86.199997	72.432
87.500000	72.497
88.500000	72.551
90.000000	72.626
91.199997	72.673
92.500000	72.706
93.800003	72.731
95.000000	72.766
96.199997	72.819
97.500000	72.883
98.800003	72.938
100.000000	72.981
101.500000	73.030
103.000000	73.075
104.400002	73.110
106.000000	73.138
107.500000	73.158
109.000000	73.181
110.599998	73.211
112.000000	73.238
113.800003	73.269
115.000000	73.287
117.199997	73.311
118.000000	73.319
120.599998	73.353
122.000000	73.380
124.099998	73.435
125.000000	73.462
126.500000	73.507
128.000000	73.548
131.500000	73.623
132.000000	73.633
134.000000	73.669
136.000000	73.712
138.000000	73.758
140.000000	73.801
143.000000	73.850
145.000000	73.873
147.500000	73.901
150.000000	73.928
152.500000	73.954
155.000000	73.982
157.500000	74.009
160.000000	74.031
162.500000	74.051
165.000000	74.077
167.500000	74.107
170.000000	74.138
172.500000	74.165
175.000000	74.187
177.500000	74.205
180.000000	74.219
182.500000	74.231
185.000000	74.241
187.500000	74.253
190.000000	74.269
192.500000	74.285
195.000000	74.297
197.500000	74.305
200.000000	74.311
203.000000	74.317
206.000000	74.323
209.000000	74.330
212.000000	74.338
214.000000	74.343
218.000000	74.356
220.000000	74.362
224.000000	74.377
227.000000	74.389
230.000000	74.400
233.000000	74.411
236.000000	74.422
240.000000	74.434
243.000000	74.441
247.000000	74.445
250.000000	74.446
254.000000	74.449
258.000000	74.452
262.000000	74.455
265.000000	74.458
269.000000	74.462
272.000000	74.467
276.000000	74.472
280.000000	74.475
285.000000	74.475
290.000000	74.472
295.000000	74.468
300.000000	74.468
304.000000	74.471
307.000000	74.473
311.000000	74.473
315.000000	74.473
320.000000	74.471
325.000000	74.470
330.000000	74.468
335.000000	74.467
340.000000	74.467
345.000000	74.467
350.000000	74.468
355.000000	74.469
360.000000	74.470
365.000000	74.470
370.000000	74.469
375.000000	74.465
382.000000	74.458
387.000000	74.454
395.000000	74.451
400.000000	74.449
406.000000	74.447
412.000000	74.445
418.000000	74.443
425.000000	74.441
431.000000	74.439
437.000000	74.437
444.000000	74.438
450.000000	74.441
455.000000	74.444
462.000000	74.447
468.000000	74.450
475.000000	74.452
482.000000	74.455
487.000000	74.458
494.000000	74.461
500.000000	74.462
508.000000	74.464
515.000000	74.465
522.000000	74.464
530.000000	74.459
538.000000	74.449
545.000000	74.438
552.000000	74.430
560.000000	74.428
570.000000	74.435
580.000000	74.447
590.000000	74.461
600.000000	74.471
608.000000	74.475
615.000000	74.474
622.000000	74.470
630.000000	74.459
640.000000	74.440
650.000000	74.423
660.000000	74.412
670.000000	74.406
680.000000	74.403
690.000000	74.407
700.000000	74.424
710.000000	74.456
720.000000	74.496
730.000000	74.534
740.000000	74.563
750.000000	74.581
762.000000	74.594
775.000000	74.596
788.000000	74.584
800.000000	74.563
812.000000	74.543
825.000000	74.522
838.000000	74.501
850.000000	74.483
862.000000	74.469
875.000000	74.453
885.000000	74.435
900.000000	74.397
912.000000	74.356
925.000000	74.308
938.000000	74.264
950.000000	74.233
962.000000	74.210
975.000000	74.198
988.000000	74.197
1000.000000	74.201
1015.000000	74.198
1030.000000	74.172
1044.000000	74.124
1060.000000	74.040
1075.000000	73.935
1090.000000	73.822
1106.000000	73.716
1120.000000	73.652
1138.000000	73.608
1150.000000	73.592
1172.000000	73.569
1180.000000	73.563
1206.000000	73.547
1220.000000	73.525
1241.000000	73.449
1250.000000	73.402
1265.000000	73.314
1280.000000	73.223
1315.000000	73.012
1320.000000	72.984
1340.000000	72.876
1360.000000	72.773
1380.000000	72.686
1400.000000	72.635
1430.000000	72.592
1450.000000	72.549
1475.000000	72.487
1500.000000	72.437
1525.000000	72.410
1550.000000	72.431
1575.000000	72.479
1600.000000	72.511
1625.000000	72.522
1650.000000	72.520
1675.000000	72.521
1700.000000	72.534
1725.000000	72.569
1750.000000	72.645
1775.000000	72.764
1800.000000	72.900
1825.000000	73.017
1850.000000	73.105
1875.000000	73.183
1900.000000	73.265
1925.000000	73.351
1950.000000	73.444
1975.000000	73.566
2000.000000	73.736
2030.000000	73.996
2060.000000	74.260
2090.000000	74.480
2120.000000	74.656
2140.000000	74.762
2180.000000	74.969
2200.000000	75.068
2240.000000	75.260
2270.000000	75.430
2300.000000	75.635
2330.000000	75.860
2360.000000	76.101
2400.000000	76.471
2430.000000	76.787
2470.000000	77.222
2500.000000	77.543
2540.000000	77.986
2580.000000	78.456
2620.000000	78.912
2650.000000	79.222
2690.000000	79.600
2720.000000	79.882
2760.000000	80.279
