* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of HD800s Yaxi Pads R, HD800s Yaxi Pads R, HD800s Yaxi Pads R
* Dated: Apr 9, 2024 4:09:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of HD800s Yaxi Pads R, HD800s Yaxi Pads R, HD800s Yaxi Pads R
* Measurement: RMS Avg Yaxi R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	60.731
20.299999	60.759
20.600000	60.774
20.900000	60.804
21.200001	60.874
21.400000	60.950
21.799999	61.165
22.000000	61.293
22.400000	61.555
22.700001	61.736
23.000000	61.898
23.299999	62.057
23.600000	62.231
24.000000	62.516
24.299999	62.773
24.700001	63.146
25.000000	63.416
25.400000	63.721
25.799999	63.946
26.200001	64.105
26.500000	64.204
26.900000	64.340
27.200001	64.460
27.600000	64.648
28.000000	64.855
28.500000	65.106
29.000000	65.324
29.500000	65.507
30.000000	65.669
30.400000	65.792
30.700001	65.882
31.100000	65.998
31.500000	66.110
32.000000	66.248
32.500000	66.388
33.000000	66.532
33.500000	66.673
34.000000	66.804
34.500000	66.919
35.000000	67.016
35.500000	67.102
36.000000	67.189
36.500000	67.294
37.000000	67.422
37.500000	67.567
38.200001	67.767
38.700001	67.893
39.500000	68.066
40.000000	68.158
40.599998	68.248
41.200001	68.324
41.799999	68.411
42.500000	68.544
43.099998	68.664
43.700001	68.763
44.400002	68.852
45.000000	68.931
45.500000	69.009
46.200001	69.125
46.799999	69.220
47.500000	69.323
48.200001	69.431
48.700001	69.514
49.400002	69.636
50.000000	69.735
50.799999	69.842
51.500000	69.901
52.200001	69.943
53.000000	69.998
53.799999	70.068
54.500000	70.131
55.200001	70.181
56.000000	70.224
57.000000	70.290
58.000000	70.392
59.000000	70.503
60.000000	70.600
60.799999	70.667
61.500000	70.717
62.200001	70.763
63.000000	70.812
64.000000	70.871
65.000000	70.930
66.000000	70.989
67.000000	71.041
68.000000	71.089
69.000000	71.135
70.000000	71.180
71.000000	71.225
72.000000	71.266
73.000000	71.306
74.000000	71.348
75.000000	71.391
76.199997	71.441
77.500000	71.500
78.800003	71.565
80.000000	71.626
81.199997	71.687
82.500000	71.756
83.800003	71.825
85.000000	71.885
86.199997	71.945
87.500000	72.013
88.500000	72.064
90.000000	72.133
91.199997	72.183
92.500000	72.239
93.800003	72.299
95.000000	72.353
96.199997	72.404
97.500000	72.458
98.800003	72.514
100.000000	72.567
101.500000	72.634
103.000000	72.702
104.400002	72.766
106.000000	72.833
107.500000	72.885
109.000000	72.927
110.599998	72.965
112.000000	72.992
113.800003	73.018
115.000000	73.028
117.199997	73.033
118.000000	73.036
120.599998	73.077
122.000000	73.116
124.099998	73.173
125.000000	73.193
126.500000	73.221
128.000000	73.245
131.500000	73.299
132.000000	73.308
134.000000	73.350
136.000000	73.397
138.000000	73.439
140.000000	73.484
143.000000	73.560
145.000000	73.608
147.500000	73.661
150.000000	73.708
152.500000	73.751
155.000000	73.793
157.500000	73.831
160.000000	73.864
162.500000	73.898
165.000000	73.931
167.500000	73.957
170.000000	73.981
172.500000	74.004
175.000000	74.027
177.500000	74.049
180.000000	74.068
182.500000	74.083
185.000000	74.092
187.500000	74.100
190.000000	74.110
192.500000	74.125
195.000000	74.143
197.500000	74.164
200.000000	74.187
203.000000	74.218
206.000000	74.247
209.000000	74.271
212.000000	74.291
214.000000	74.302
218.000000	74.323
220.000000	74.334
224.000000	74.354
227.000000	74.370
230.000000	74.385
233.000000	74.400
236.000000	74.416
240.000000	74.434
243.000000	74.443
247.000000	74.452
250.000000	74.458
254.000000	74.465
258.000000	74.474
262.000000	74.483
265.000000	74.491
269.000000	74.502
272.000000	74.511
276.000000	74.521
280.000000	74.528
285.000000	74.531
290.000000	74.532
295.000000	74.532
300.000000	74.535
304.000000	74.538
307.000000	74.540
311.000000	74.542
315.000000	74.543
320.000000	74.541
325.000000	74.539
330.000000	74.538
335.000000	74.540
340.000000	74.545
345.000000	74.552
350.000000	74.557
355.000000	74.559
360.000000	74.560
365.000000	74.562
370.000000	74.563
375.000000	74.565
382.000000	74.569
387.000000	74.573
395.000000	74.573
400.000000	74.568
406.000000	74.558
412.000000	74.547
418.000000	74.539
425.000000	74.530
431.000000	74.521
437.000000	74.511
444.000000	74.503
450.000000	74.500
455.000000	74.501
462.000000	74.507
468.000000	74.512
475.000000	74.511
482.000000	74.503
487.000000	74.497
494.000000	74.490
500.000000	74.484
508.000000	74.473
515.000000	74.465
522.000000	74.463
530.000000	74.467
538.000000	74.472
545.000000	74.478
552.000000	74.483
560.000000	74.486
570.000000	74.488
580.000000	74.489
590.000000	74.495
600.000000	74.500
608.000000	74.500
615.000000	74.498
622.000000	74.497
630.000000	74.495
640.000000	74.492
650.000000	74.485
660.000000	74.477
670.000000	74.468
680.000000	74.451
690.000000	74.426
700.000000	74.398
710.000000	74.371
720.000000	74.353
730.000000	74.341
740.000000	74.331
750.000000	74.320
762.000000	74.309
775.000000	74.305
788.000000	74.323
800.000000	74.363
812.000000	74.410
825.000000	74.449
838.000000	74.461
850.000000	74.455
862.000000	74.445
875.000000	74.437
885.000000	74.435
900.000000	74.429
912.000000	74.413
925.000000	74.391
938.000000	74.369
950.000000	74.345
962.000000	74.314
975.000000	74.269
988.000000	74.214
1000.000000	74.152
1015.000000	74.066
1030.000000	73.982
1044.000000	73.919
1060.000000	73.876
1075.000000	73.866
1090.000000	73.870
1106.000000	73.873
1120.000000	73.867
1138.000000	73.839
1150.000000	73.802
1172.000000	73.701
1180.000000	73.659
1206.000000	73.518
1220.000000	73.438
1241.000000	73.318
