* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 5, 2023 4:47:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Referance Stock
* Measurement: HE400SE REF
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	64.416	-5.4131
20.299999	64.627	-8.2216
20.600000	64.744	-11.0038
20.900000	64.797	-13.4524
21.200001	64.834	-15.4357
21.400000	64.874	-16.5288
21.799999	65.020	-18.4327
22.000000	65.127	-19.3540
22.400000	65.395	-21.2483
22.700001	65.631	-22.7041
23.000000	65.900	-24.1412
23.299999	66.206	-25.5677
23.600000	66.549	-27.0662
24.000000	67.022	-29.3633
24.299999	67.346	-31.3022
24.700001	67.690	-33.8399
25.000000	67.898	-35.3116
25.400000	68.192	-36.3106
25.799999	68.633	-36.4302
26.200001	69.254	-36.6631
26.500000	69.765	-37.6067
26.900000	70.353	-40.3084
27.200001	70.642	-43.2500
27.600000	70.768	-47.5005
28.000000	70.619	-50.9980
28.500000	70.208	-53.0641
29.000000	69.850	-52.8502
29.500000	69.730	-52.0097
30.000000	69.764	-52.0467
30.400000	69.785	-52.8324
30.700001	69.766	-53.6403
31.100000	69.704	-54.7200
31.500000	69.639	-55.6461
32.000000	69.615	-56.6476
32.500000	69.691	-57.7212
33.000000	69.861	-59.1232
33.500000	70.086	-60.9802
34.000000	70.314	-63.2124
34.500000	70.511	-65.5396
35.000000	70.676	-67.6329
35.500000	70.835	-69.3500
36.000000	70.999	-70.7792
36.500000	71.156	-72.0577
37.000000	71.289	-73.2125
37.500000	71.392	-74.1904
38.200001	71.514	-75.2695
38.700001	71.601	-75.9827
39.500000	71.739	-77.4241
40.000000	71.801	-78.6281
40.599998	71.827	-80.2798
41.200001	71.803	-81.8610
41.799999	71.772	-83.1394
42.500000	71.790	-84.3539
43.099998	71.854	-85.3992
43.700001	71.936	-86.4420
44.400002	72.058	-87.4894
45.000000	72.201	-88.3807
45.500000	72.322	-89.3094
46.200001	72.430	-90.8333
46.799999	72.449	-91.9600
47.500000	72.444	-92.7558
48.200001	72.474	-93.2545
48.700001	72.514	-93.6479
49.400002	72.573	-94.2900
50.000000	72.624	-94.8431
50.799999	72.709	-95.6038
51.500000	72.784	-96.3526
52.200001	72.846	-97.0767
53.000000	72.917	-97.7686
53.799999	72.998	-98.4844
54.500000	73.054	-99.2204
55.200001	73.092	-99.9458
56.000000	73.148	-100.7178
57.000000	73.282	-101.9805
58.000000	73.433	-104.0163
59.000000	73.487	-106.2459
60.000000	73.527	-107.1920
60.799999	73.721	-107.1309
61.500000	74.006	-107.2914
62.200001	74.308	-107.9602
63.000000	74.604	-109.1130
64.000000	74.893	-110.6977
65.000000	75.106	-112.3298
66.000000	75.247	-114.0684
67.000000	75.315	-115.8995
68.000000	75.329	-117.6992
69.000000	75.319	-119.4234
70.000000	75.298	-121.0899
71.000000	75.267	-122.6546
72.000000	75.230	-124.0601
73.000000	75.194	-125.3084
74.000000	75.158	-126.4188
75.000000	75.126	-127.3942
76.199997	75.102	-128.4139
77.500000	75.102	-129.4279
78.800003	75.115	-130.4699
80.000000	75.112	-131.4740
81.199997	75.078	-132.3850
82.500000	75.024	-133.1324
83.800003	74.990	-133.7089
85.000000	74.987	-134.2719
86.199997	74.999	-134.8992
87.500000	75.027	-135.5843
88.500000	75.059	-136.1149
90.000000	75.106	-136.9631
91.199997	75.126	-137.6383
92.500000	75.133	-138.3073
93.800003	75.133	-138.9515
95.000000	75.128	-139.5613
96.199997	75.117	-140.1686
97.500000	75.109	-140.7956
98.800003	75.111	-141.4071
100.000000	75.120	-141.9894
101.500000	75.130	-142.7431
103.000000	75.133	-143.4801
104.400002	75.136	-144.1289
106.000000	75.152	-144.8575
107.500000	75.176	-145.5816
109.000000	75.187	-146.3187
110.599998	75.164	-146.9599
112.000000	75.128	-147.3756
113.800003	75.083	-148.0149
115.000000	75.060	-148.6725
117.199997	75.040	-150.3929
118.000000	75.033	-151.0731
120.599998	74.993	-152.3654
122.000000	75.001	-152.2814
124.099998	75.051	-151.8959
125.000000	75.067	-151.8075
126.500000	75.076	-151.8254
128.000000	75.074	-152.0288
131.500000	75.087	-152.8523
132.000000	75.092	-152.9743
134.000000	75.113	-153.4281
136.000000	75.127	-153.8376
138.000000	75.135	-154.2377
140.000000	75.135	-154.6284
143.000000	75.127	-155.1697
145.000000	75.122	-155.5385
147.500000	75.121	-156.0421
150.000000	75.129	-156.5536
152.500000	75.146	-157.0547
155.000000	75.160	-157.5419
157.500000	75.164	-158.0129
160.000000	75.159	-158.5147
162.500000	75.149	-159.0799
165.000000	75.140	-159.6219
167.500000	75.138	-160.0311
170.000000	75.143	-160.3359
172.500000	75.145	-160.6275
175.000000	75.147	-160.9539
177.500000	75.158	-161.3257
180.000000	75.173	-161.7028
182.500000	75.181	-162.0301
185.000000	75.183	-162.3128
187.500000	75.183	-162.5887
190.000000	75.183	-162.8659
192.500000	75.184	-163.1426
195.000000	75.185	-163.4178
197.500000	75.185	-163.6728
200.000000	75.186	-163.8927
203.000000	75.190	-164.1288
206.000000	75.197	-164.3791
209.000000	75.206	-164.6765
212.000000	75.218	-165.0304
214.000000	75.227	-165.2780
218.000000	75.243	-165.6797
220.000000	75.248	-165.8162
224.000000	75.254	-166.0732
227.000000	75.258	-166.3131
230.000000	75.259	-166.5781
233.000000	75.256	-166.8353
236.000000	75.251	-167.0638
