* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -9.9 dBFS, measurement signal peak level -9.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: May 28, 2023 6:26:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: VectorFinese Headamame L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.338	-163.5023
20.299999	88.635	-165.1458
20.600000	88.929	-166.7571
20.900000	89.219	-168.3507
21.200001	89.504	-169.9354
21.400000	89.689	-170.9860
21.799999	90.049	-173.0643
22.000000	90.224	-174.0873
22.400000	90.566	-176.0937
22.700001	90.815	-177.5665
23.000000	91.061	-179.0208
23.299999	91.302	179.5334
23.600000	91.536	178.0911
24.000000	91.837	176.1741
24.299999	92.054	174.7501
24.700001	92.331	172.8857
25.000000	92.531	171.5215
25.400000	92.792	169.7491
25.799999	93.046	168.0197
26.200001	93.295	166.3202
26.500000	93.478	165.0610
26.900000	93.717	163.4026
27.200001	93.891	162.1755
27.600000	94.120	160.5616
28.000000	94.343	158.9707
28.500000	94.614	157.0124
29.000000	94.877	155.0949
29.500000	95.132	153.2278
30.000000	95.382	151.4058
30.400000	95.579	149.9674
30.700001	95.725	148.8946
31.100000	95.914	147.4731
31.500000	96.098	146.0696
32.000000	96.322	144.3494
32.500000	96.541	142.6576
33.000000	96.756	140.9667
33.500000	96.960	139.2653
34.000000	97.152	137.5760
34.500000	97.332	135.9360
35.000000	97.507	134.3577
35.500000	97.679	132.8176
36.000000	97.849	131.2845
36.500000	98.012	129.7516
37.000000	98.167	128.2393
37.500000	98.317	126.7679
38.200001	98.524	124.7646
38.700001	98.672	123.3412
39.500000	98.898	121.0425
40.000000	99.030	119.6126
40.599998	99.180	117.9313
41.200001	99.323	116.2926
41.799999	99.460	114.6874
42.500000	99.610	112.8565
43.099998	99.732	111.3328
43.700001	99.848	109.8523
44.400002	99.977	108.1700
45.000000	100.082	106.7642
45.500000	100.165	105.6224
46.200001	100.277	104.0706
46.799999	100.370	102.7740
47.500000	100.475	101.2875
48.200001	100.574	99.8325
48.700001	100.641	98.8200
49.400002	100.732	97.4452
50.000000	100.808	96.3036
50.799999	100.907	94.8308
51.500000	100.991	93.5902
52.200001	101.074	92.3926
53.000000	101.168	91.0651
53.799999	101.260	89.7675
54.500000	101.340	88.6484
55.200001	101.417	87.5406
56.000000	101.501	86.2910
57.000000	101.602	84.7601
58.000000	101.699	83.2659
59.000000	101.795	81.8056
60.000000	101.888	80.3626
60.799999	101.957	79.2252
61.500000	102.012	78.2620
62.200001	102.063	77.3439
63.000000	102.118	76.3598
64.000000	102.186	75.2356
65.000000	102.260	74.2235
66.000000	102.345	73.2968
67.000000	102.448	72.4154
68.000000	102.572	71.5232
69.000000	102.716	70.5500
70.000000	102.873	69.4272
71.000000	103.030	68.1130
72.000000	103.173	66.6161
73.000000	103.290	64.9929
74.000000	103.378	63.3220
75.000000	103.439	61.6767
76.199997	103.483	59.8026
77.500000	103.509	57.9296
78.800003	103.524	56.2171
80.000000	103.534	54.7565
81.199997	103.543	53.3876
82.500000	103.550	51.9940
83.800003	103.556	50.6893
85.000000	103.559	49.5618
86.199997	103.563	48.5034
87.500000	103.567	47.4261
88.500000	103.570	46.6400
90.000000	103.575	45.5216
91.199997	103.578	44.6749
92.500000	103.580	43.8006
93.800003	103.583	42.9659
