* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 28, 2023 1:34:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Headamame V1 Capra Tuned
* Measurement: Headamame Dekoni TH900
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	64.554	152.3862
20.299999	64.746	151.0830
20.600000	64.942	149.9023
20.900000	65.152	148.7866
21.200001	65.375	147.6316
21.400000	65.529	146.7751
21.799999	65.817	144.7502
22.000000	65.937	143.5816
22.400000	66.105	141.0809
22.700001	66.161	139.3114
23.000000	66.174	137.8632
23.299999	66.182	136.8615
23.600000	66.229	136.2767
24.000000	66.420	135.7632
24.299999	66.660	135.1537
24.700001	67.045	133.5284
25.000000	67.316	131.6040
25.400000	67.580	128.3558
25.799999	67.705	124.9771
26.200001	67.729	122.1431
26.500000	67.730	120.5802
26.900000	67.780	119.1365
27.200001	67.880	118.3070
27.600000	68.087	117.1378
28.000000	68.328	115.6466
28.500000	68.599	113.3501
29.000000	68.801	110.9522
29.500000	68.953	108.7299
30.000000	69.082	106.6648
30.400000	69.166	105.0486
30.700001	69.213	103.8558
31.100000	69.253	102.3442
31.500000	69.275	100.9986
32.000000	69.303	99.5876
32.500000	69.364	98.3741
33.000000	69.465	97.1541
33.500000	69.592	95.7860
34.000000	69.723	94.2555
34.500000	69.842	92.6445
35.000000	69.945	91.0668
35.500000	70.035	89.6010
36.000000	70.122	88.2575
36.500000	70.207	86.9873
37.000000	70.286	85.7223
37.500000	70.348	84.4258
38.200001	70.396	82.5945
38.700001	70.408	81.3174
39.500000	70.420	79.2791
40.000000	70.432	77.9280
40.599998	70.450	76.2150
41.200001	70.478	74.4880
41.799999	70.526	72.8316
42.500000	70.615	71.0608
43.099998	70.715	69.7586
43.700001	70.831	68.6890
44.400002	70.962	67.6933
45.000000	71.039	67.1014
45.500000	71.075	66.8503
46.200001	71.093	66.7132
46.799999	71.061	66.4778
47.500000	70.909	65.9237
48.200001	70.620	65.2095
48.700001	70.336	64.6435
49.400002	69.817	64.2538
50.000000	69.317	65.2865
50.799999	69.006	68.7417
51.500000	69.353	70.5321
52.200001	69.900	68.3535
53.000000	70.278	62.7066
53.799999	70.456	57.6301
54.500000	70.634	54.6388
55.200001	70.838	52.5977
56.000000	71.043	51.3009
57.000000	71.257	50.7694
58.000000	71.320	50.4491
59.000000	71.192	50.6512
60.000000	71.097	50.9180
60.799999	71.084	50.0473
61.500000	71.054	48.3931
62.200001	70.987	46.3334
63.000000	70.893	43.9848
64.000000	70.805	41.5352
65.000000	70.783	39.8098
66.000000	70.801	38.7027
67.000000	70.812	38.0418
68.000000	70.777	37.6339
69.000000	70.678	37.3978
70.000000	70.543	37.3341
71.000000	70.420	37.3400
72.000000	70.340	37.2816
73.000000	70.308	37.1058
74.000000	70.308	36.8523
75.000000	70.320	36.6271
76.199997	70.339	36.5004
77.500000	70.366	36.4675
78.800003	70.397	36.3593
80.000000	70.429	36.1369
81.199997	70.470	35.8248
82.500000	70.531	35.4283
83.800003	70.605	35.0277
85.000000	70.680	34.6584
86.199997	70.753	34.2781
87.500000	70.828	33.8590
88.500000	70.887	33.5132
90.000000	70.978	32.9097
91.199997	71.048	32.3353
92.500000	71.117	31.6132
93.800003	71.172	30.7882
95.000000	71.204	29.9533
96.199997	71.219	29.0955
97.500000	71.220	28.2025
98.800003	71.216	27.3865
100.000000	71.216	26.6921
101.500000	71.223	25.8301
103.000000	71.225	24.9364
104.400002	71.212	24.1263
106.000000	71.181	23.2993
107.500000	71.140	22.6273
109.000000	71.097	22.0284
110.599998	71.057	21.4030
112.000000	71.027	20.8740
113.800003	70.994	20.3837
115.000000	70.978	20.2675
117.199997	70.960	20.6005
118.000000	70.966	20.8382
120.599998	71.021	21.1106
122.000000	71.030	20.7623
124.099998	71.031	19.9952
125.000000	71.041	19.6454
126.500000	71.073	19.0582
128.000000	71.110	18.4939
131.500000	71.169	17.2804
132.000000	71.174	17.1003
134.000000	71.187	16.3449
136.000000	71.191	15.5836
138.000000	71.183	14.8817
140.000000	71.162	14.2206
143.000000	71.116	13.2131
145.000000	71.083	12.5692
147.500000	71.041	11.8627
150.000000	70.994	11.1992
152.500000	70.935	10.4908
155.000000	70.868	9.7997
157.500000	70.802	9.2425
160.000000	70.747	8.8922
162.500000	70.712	8.6887
165.000000	70.686	8.4670
167.500000	70.649	8.1509
170.000000	70.594	7.7768
172.500000	70.533	7.4084
175.000000	70.474	7.0792
177.500000	70.422	6.8011
180.000000	70.374	6.5782
182.500000	70.331	6.4042
185.000000	70.291	6.2413
187.500000	70.253	6.0562
190.000000	70.213	5.8651
192.500000	70.169	5.7012
195.000000	70.123	5.5740
197.500000	70.073	5.4792
200.000000	70.019	5.4213
203.000000	69.955	5.3991
206.000000	69.898	5.4043
209.000000	69.849	5.4138
212.000000	69.802	5.4236
214.000000	69.772	5.4355
218.000000	69.713	5.4796
