* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 28, 2023 10:49:05 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Perforated Leather Pads
* Measurement: Headamame V1 40mm BDNC
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	63.433	-142.3835
20.299999	63.765	-144.1249
20.600000	64.054	-145.8062
20.900000	64.310	-147.2693
21.200001	64.554	-148.4068
21.400000	64.726	-148.9815
21.799999	65.113	-149.8793
22.000000	65.329	-150.3112
22.400000	65.786	-151.3339
22.700001	66.122	-152.3114
23.000000	66.436	-153.4058
23.299999	66.729	-154.5030
23.600000	67.012	-155.5052
24.000000	67.411	-156.6736
24.299999	67.741	-157.5497
24.700001	68.215	-158.9918
25.000000	68.570	-160.4286
25.400000	68.996	-162.8549
25.799999	69.331	-165.6556
26.200001	69.565	-168.4530
26.500000	69.690	-170.3300
26.900000	69.823	-172.3672
27.200001	69.925	-173.5287
27.600000	70.100	-174.7145
28.000000	70.333	-175.7066
28.500000	70.693	-177.0337
29.000000	71.082	-178.6945
29.500000	71.460	179.3138
30.000000	71.804	177.1260
30.400000	72.052	175.3172
30.700001	72.221	173.9605
31.100000	72.425	172.1924
31.500000	72.608	170.5264
32.000000	72.824	168.6582
32.500000	73.047	167.0205
33.000000	73.296	165.4749
33.500000	73.562	163.8566
34.000000	73.823	162.1002
34.500000	74.066	160.2665
35.000000	74.291	158.4545
35.500000	74.505	156.7100
36.000000	74.711	155.0312
36.500000	74.908	153.4285
37.000000	75.100	151.9400
37.500000	75.296	150.5857
38.200001	75.593	148.8216
38.700001	75.819	147.5359
39.500000	76.173	145.3050
40.000000	76.377	143.8446
40.599998	76.604	142.1157
41.200001	76.824	140.4361
41.799999	77.046	138.7452
42.500000	77.299	136.6588
43.099998	77.494	134.7847
43.700001	77.668	132.9292
44.400002	77.859	130.8856
45.000000	78.025	129.2197
45.500000	78.167	127.8412
46.200001	78.360	125.8757
46.799999	78.511	124.1680
47.500000	78.660	122.2258
48.200001	78.784	120.4376
48.700001	78.865	119.2831
49.400002	78.978	117.8099
50.000000	79.076	116.6335
50.799999	79.207	115.1548
51.500000	79.324	113.9461
52.200001	79.450	112.8006
53.000000	79.606	111.5391
53.799999	79.777	110.3157
54.500000	79.940	109.2573
55.200001	80.114	108.1877
56.000000	80.320	106.9579
57.000000	80.592	105.4404
58.000000	80.893	103.8694
59.000000	81.216	101.9813
60.000000	81.507	99.5853
60.799999	81.686	97.4546
61.500000	81.808	95.6117
62.200001	81.916	93.8444
63.000000	82.032	91.8860
64.000000	82.171	89.4741
65.000000	82.301	87.1022
66.000000	82.422	84.7903
67.000000	82.535	82.5432
68.000000	82.640	80.3512
69.000000	82.734	78.1971
70.000000	82.814	76.0728
71.000000	82.878	73.9911
72.000000	82.927	71.9768
73.000000	82.963	70.0571
74.000000	82.991	68.2487
75.000000	83.017	66.5541
76.199997	83.049	64.6470
77.500000	83.087	62.6888
78.800003	83.127	60.8130
80.000000	83.168	59.1271
81.199997	83.213	57.4473
82.500000	83.261	55.6156
