* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 28, 2023 10:48:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Solid Leather Pads
* Measurement: Headamame V1 40mm BDNC
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	67.633	-154.6919
20.299999	67.963	-157.1109
20.600000	68.280	-159.6706
20.900000	68.579	-162.2794
21.200001	68.860	-164.8188
21.400000	69.038	-166.4116
21.799999	69.392	-169.2518
22.000000	69.574	-170.4800
22.400000	69.962	-172.5953
22.700001	70.276	-173.9813
23.000000	70.600	-175.3011
23.299999	70.920	-176.6361
23.600000	71.216	-178.0279
24.000000	71.543	-179.9399
24.299999	71.722	178.6897
24.700001	71.871	177.1663
25.000000	71.931	176.3922
25.400000	71.987	175.9171
25.799999	72.076	175.8643
26.200001	72.229	175.7158
26.500000	72.371	175.1903
26.900000	72.537	173.6721
27.200001	72.602	171.9498
27.600000	72.576	169.2694
28.000000	72.437	166.7175
28.500000	72.239	164.3502
29.000000	72.237	162.6210
29.500000	72.522	160.4555
30.000000	72.954	157.0918
30.400000	73.288	153.8029
30.700001	73.510	151.3991
31.100000	73.792	148.7713
31.500000	74.120	147.0913
32.000000	74.669	146.1533
32.500000	75.371	145.8523
33.000000	76.140	145.5484
33.500000	76.899	144.9919
34.000000	77.602	144.1079
34.500000	78.215	142.7900
35.000000	78.688	140.9816
35.500000	78.980	138.8657
36.000000	79.088	136.8867
36.500000	79.051	135.4935
37.000000	78.952	134.8383
37.500000	78.874	134.6899
38.200001	78.880	134.4669
38.700001	78.955	133.8142
39.500000	79.122	131.7342
40.000000	79.237	129.9813
40.599998	79.388	127.6687
41.200001	79.561	125.3103
41.799999	79.754	123.0466
42.500000	80.002	120.6385
43.099998	80.221	118.8004
43.700001	80.434	117.1527
44.400002	80.656	115.4362
45.000000	80.819	114.1094
45.500000	80.938	113.0667
46.200001	81.082	111.6110
46.799999	81.185	110.2837
47.500000	81.284	108.6097
48.200001	81.366	106.8573
