* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 28, 2023 2:34:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Headamame Capra Tuned
* Measurement: Headamame ZMF PerfL
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	66.395	167.2579
20.299999	66.636	165.5506
20.600000	66.872	163.8602
20.900000	67.099	162.1759
21.200001	67.316	160.4994
21.400000	67.454	159.3898
21.799999	67.716	157.1970
22.000000	67.840	156.1152
22.400000	68.077	153.9820
22.700001	68.246	152.4106
23.000000	68.409	150.8660
23.299999	68.569	149.3482
23.600000	68.726	147.8518
24.000000	68.935	145.8694
24.299999	69.090	144.3764
24.700001	69.290	142.3714
25.000000	69.432	140.8748
25.400000	69.609	138.9352
25.799999	69.779	137.1149
26.200001	69.951	135.4329
26.500000	70.086	134.2415
26.900000	70.276	132.6893
27.200001	70.422	131.5167
27.600000	70.613	129.9171
28.000000	70.790	128.2893
28.500000	70.988	126.2787
29.000000	71.165	124.3547
29.500000	71.329	122.5058
30.000000	71.485	120.6693
30.400000	71.598	119.1873
30.700001	71.675	118.0798
31.100000	71.769	116.6390
31.500000	71.861	115.2674
32.000000	71.985	113.6340
32.500000	72.131	111.9940
33.000000	72.287	110.2344
33.500000	72.432	108.3507
34.000000	72.552	106.4734
34.500000	72.652	104.7565
35.000000	72.749	103.2606
35.500000	72.857	101.9254
36.000000	72.974	100.6406
36.500000	73.088	99.3387
37.000000	73.189	98.0203
37.500000	73.274	96.7079
38.200001	73.374	94.8723
38.700001	73.436	93.5272
39.500000	73.520	91.2884
40.000000	73.571	89.8487
40.599998	73.638	88.0834
41.200001	73.715	86.2872
41.799999	73.798	84.5141
42.500000	73.903	82.5687
43.099998	73.995	81.0658
43.700001	74.082	79.7669
44.400002	74.175	78.5262
45.000000	74.240	77.6073
45.500000	74.270	76.8788
46.200001	74.259	75.9199
46.799999	74.208	75.1223
47.500000	74.117	73.9875
48.200001	73.988	72.4009
48.700001	73.883	70.8911
49.400002	73.726	67.9469
50.000000	73.516	64.6933
50.799999	72.999	61.2871
51.500000	72.509	61.6312
52.200001	72.477	64.4264
53.000000	73.069	66.1941
53.799999	73.712	64.5106
54.500000	74.085	62.0483
55.200001	74.342	60.1003
56.000000	74.556	58.6611
57.000000	74.695	57.6304
58.000000	74.693	57.0954
59.000000	74.598	56.9066
60.000000	74.548	56.5661
60.799999	74.558	55.5452
61.500000	74.565	54.1194
62.200001	74.562	52.5174
63.000000	74.572	50.7512
64.000000	74.620	48.7751
65.000000	74.682	47.1321
66.000000	74.726	45.8561
67.000000	74.730	44.8672
68.000000	74.686	44.0444
69.000000	74.606	43.2910
70.000000	74.512	42.5244
71.000000	74.423	41.6935
72.000000	74.344	40.8794
73.000000	74.284	40.2443
74.000000	74.256	39.8430
75.000000	74.257	39.5966
76.199997	74.273	39.3687
77.500000	74.281	39.1094
78.800003	74.277	38.8165
80.000000	74.279	38.5114
81.199997	74.301	38.1898
82.500000	74.357	37.8517
83.800003	74.443	37.5052
85.000000	74.530	37.1632
86.199997	74.614	36.7984
87.500000	74.698	36.3605
88.500000	74.760	35.9634
90.000000	74.851	35.1912
91.199997	74.919	34.4171
92.500000	74.987	33.4895
93.800003	75.051	32.5307
95.000000	75.102	31.6547
96.199997	75.142	30.8188
97.500000	75.168	29.9710
98.800003	75.178	29.1771
100.000000	75.180	28.4523
101.500000	75.181	27.4833
103.000000	75.182	26.4391
104.400002	75.182	25.4733
106.000000	75.177	24.4821
107.500000	75.164	23.6733
109.000000	75.142	22.9210
110.599998	75.111	22.1261
112.000000	75.081	21.4450
113.800003	75.031	20.7076
115.000000	74.979	20.4177
117.199997	74.850	20.5506
118.000000	74.812	20.7700
120.599998	74.796	20.9719
122.000000	74.819	20.3782
124.099998	74.850	19.1488
125.000000	74.870	18.6671
126.500000	74.912	17.9973
128.000000	74.954	17.4813
131.500000	75.022	16.4596
