* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 28, 2023 10:55:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Solid Leather Pads
* Measurement: Headamame V1 40mm Peerl
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	71.221	-141.0065
20.299999	71.573	-142.8523
20.600000	71.895	-144.7527
20.900000	72.181	-146.6361
21.200001	72.435	-148.4111
21.400000	72.593	-149.4918
21.799999	72.906	-151.3781
22.000000	73.071	-152.2048
22.400000	73.434	-153.7523
22.700001	73.734	-154.9800
23.000000	74.044	-156.3833
23.299999	74.346	-158.0091
23.600000	74.620	-159.8258
24.000000	74.925	-162.3547
24.299999	75.113	-164.1467
24.700001	75.336	-166.1837
25.000000	75.511	-167.4077
25.400000	75.785	-168.7347
25.799999	76.118	-169.9573
26.200001	76.492	-171.3076
26.500000	76.780	-172.4606
26.900000	77.157	-174.1453
27.200001	77.432	-175.4668
27.600000	77.791	-177.2531
28.000000	78.143	-179.0737
28.500000	78.566	178.5336
29.000000	78.945	175.9993
29.500000	79.265	173.4599
30.000000	79.536	171.1149
30.400000	79.734	169.4372
30.700001	79.880	168.2775
31.100000	80.076	166.8137
31.500000	80.270	165.3947
32.000000	80.509	163.6537
32.500000	80.741	161.9600
33.000000	80.974	160.3122
33.500000	81.212	158.6644
34.000000	81.450	156.9580
34.500000	81.678	155.1807
35.000000	81.891	153.3835
35.500000	82.090	151.6370
36.000000	82.285	149.9798
36.500000	82.484	148.3999
37.000000	82.689	146.8524
37.500000	82.897	145.2966
38.200001	83.187	143.0776
38.700001	83.387	141.4694
39.500000	83.691	138.8796
40.000000	83.871	137.2610
40.599998	84.074	135.3306
41.200001	84.264	133.4268
41.799999	84.442	131.5655
42.500000	84.639	129.4590
43.099998	84.801	127.6986
43.700001	84.957	125.9589
44.400002	85.127	123.9468
45.000000	85.261	122.2538
45.500000	85.365	120.8809
46.200001	85.503	119.0253
46.799999	85.616	117.4886
47.500000	85.744	115.7386
48.200001	85.864	114.0342
48.700001	85.945	112.8621
49.400002	86.059	111.3061
50.000000	86.162	110.0392
50.799999	86.309	108.3881
51.500000	86.442	106.9423
52.200001	86.572	105.4999
53.000000	86.716	103.8917
53.799999	86.861	102.3522
54.500000	86.993	101.0339
55.200001	87.130	99.6879
56.000000	87.286	98.0739
57.000000	87.470	95.9341
58.000000	87.630	93.6808
59.000000	87.758	91.4263
60.000000	87.864	89.3450
60.799999	87.954	87.8199
61.500000	88.041	86.5213
62.200001	88.128	85.2158
63.000000	88.222	83.7244
64.000000	88.328	81.9050
65.000000	88.424	80.1435
66.000000	88.514	78.4144
67.000000	88.598	76.6942
68.000000	88.675	74.9698
69.000000	88.747	73.2436
70.000000	88.812	71.5301
71.000000	88.870	69.8497
72.000000	88.921	68.2219
73.000000	88.964	66.6600
74.000000	89.000	65.1692
75.000000	89.031	63.7468
76.199997	89.062	62.1201
77.500000	89.093	60.4435
78.800003	89.125	58.8412
80.000000	89.158	57.4174
