* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 28, 2023 1:47:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Headamame Capra Tuned 50mm Peerless
* Measurement: Headamame ZMF PerfL
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	75.877	140.2552
20.299999	76.053	138.6670
20.600000	76.230	137.1325
20.900000	76.408	135.6114
21.200001	76.587	134.0583
21.400000	76.702	132.9892
21.799999	76.915	130.7772
22.000000	77.010	129.6508
22.400000	77.175	127.4113
22.700001	77.280	125.7915
23.000000	77.374	124.2444
23.299999	77.463	122.7690
23.600000	77.551	121.3499
24.000000	77.666	119.5131
24.299999	77.753	118.1643
24.700001	77.866	116.4042
25.000000	77.953	115.1178
25.400000	78.072	113.4442
25.799999	78.198	111.7949
26.200001	78.330	110.1415
26.500000	78.431	108.8939
26.900000	78.562	107.2386
27.200001	78.660	106.0222
27.600000	78.793	104.4506
28.000000	78.932	102.9227
28.500000	79.117	101.0031
29.000000	79.299	98.9896
29.500000	79.459	96.8858
30.000000	79.583	94.8002
30.400000	79.659	93.2261
30.700001	79.707	92.1243
31.100000	79.764	90.7598
31.500000	79.820	89.4895
32.000000	79.892	87.9810
32.500000	79.963	86.5151
33.000000	80.033	85.0684
33.500000	80.101	83.6377
34.000000	80.168	82.2271
34.500000	80.237	80.8358
35.000000	80.309	79.4522
35.500000	80.385	78.0619
36.000000	80.460	76.6664
36.500000	80.530	75.2905
37.000000	80.597	73.9677
37.500000	80.662	72.7161
38.200001	80.758	71.0604
38.700001	80.828	69.9060
39.500000	80.933	68.0360
40.000000	80.989	66.8391
40.599998	81.039	65.3860
41.200001	81.073	63.9370
41.799999	81.095	62.5107
42.500000	81.116	60.8797
43.099998	81.137	59.4916
43.700001	81.163	58.0997
44.400002	81.199	56.5035
45.000000	81.241	55.1957
45.500000	81.284	54.1406
46.200001	81.350	52.6931
46.799999	81.399	51.5249
47.500000	81.442	50.3504
48.200001	81.474	49.4069
48.700001	81.491	48.8817
49.400002	81.519	48.4034
50.000000	81.579	48.1163
50.799999	81.713	47.2896
51.500000	81.792	45.7686
52.200001	81.754	43.8902
53.000000	81.601	42.0902
53.799999	81.449	40.7680
54.500000	81.355	39.6904
55.200001	81.286	38.5722
56.000000	81.226	37.3009
57.000000	81.164	35.8047
58.000000	81.096	34.6036
59.000000	81.038	33.8383
60.000000	81.001	33.2497
