* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 28, 2023 10:52:00 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Perforated Leather Pads
* Measurement: Headamame V1 50mm Peerl
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	78.486	174.8655
20.299999	78.744	173.0182
20.600000	78.997	171.1678
20.900000	79.243	169.3078
21.200001	79.477	167.4469
21.400000	79.627	166.2148
21.799999	79.914	163.7895
22.000000	80.052	162.5993
22.400000	80.320	160.2568
22.700001	80.515	158.5218
23.000000	80.702	156.8016
23.299999	80.881	155.1035
23.600000	81.052	153.4432
24.000000	81.275	151.3144
24.299999	81.442	149.7794
24.700001	81.674	147.7723
25.000000	81.852	146.2475
25.400000	82.087	144.1332
25.799999	82.306	141.9271
26.200001	82.496	139.7128
26.500000	82.622	138.1193
26.900000	82.779	136.1515
27.200001	82.898	134.7980
27.600000	83.070	133.0930
28.000000	83.256	131.4024
28.500000	83.492	129.1912
29.000000	83.707	126.8843
29.500000	83.890	124.6105
30.000000	84.053	122.4858
30.400000	84.180	120.9000
30.700001	84.276	119.7537
31.100000	84.407	118.2469
31.500000	84.538	116.7360
32.000000	84.694	114.8282
32.500000	84.837	112.9180
33.000000	84.967	111.0413
33.500000	85.088	109.2225
34.000000	85.206	107.4586
34.500000	85.323	105.7235
35.000000	85.437	103.9888
35.500000	85.546	102.2476
36.000000	85.645	100.5190
36.500000	85.737	98.8291
37.000000	85.824	97.1912
37.500000	85.910	95.5995
38.200001	86.028	93.4201
38.700001	86.109	91.8834
39.500000	86.232	89.4620
40.000000	86.302	87.9828
40.599998	86.384	86.2460
41.200001	86.462	84.5373
41.799999	86.536	82.8395
42.500000	86.611	80.8722
43.099998	86.664	79.2244
43.700001	86.709	77.6411
44.400002	86.756	75.8831
45.000000	86.795	74.4316
45.500000	86.825	73.2464
46.200001	86.863	71.6234
46.799999	86.891	70.2737
47.500000	86.920	68.7421
48.200001	86.944	67.2408
48.700001	86.956	66.1904
49.400002	86.968	64.7706
50.000000	86.976	63.6026
50.799999	86.990	62.0858
51.500000	87.002	60.7767
52.200001	87.011	59.4968
53.000000	87.019	58.1003
53.799999	87.029	56.7957
54.500000	87.041	55.7361
55.200001	87.060	54.7510
56.000000	87.093	53.6887
57.000000	87.146	52.3774
58.000000	87.199	51.0532
59.000000	87.252	49.7023
60.000000	87.297	48.2223
60.799999	87.313	46.9578
61.500000	87.311	45.8621
62.200001	87.303	44.8077
63.000000	87.292	43.6476
64.000000	87.281	42.2421
65.000000	87.274	40.8719
66.000000	87.269	39.5424
67.000000	87.263	38.2692
68.000000	87.254	37.0558
69.000000	87.240	35.8979
70.000000	87.220	34.7875
71.000000	87.192	33.7225
72.000000	87.157	32.7089
73.000000	87.120	31.7542
74.000000	87.082	30.8634
75.000000	87.045	30.0443
76.199997	87.005	29.1697
77.500000	86.974	28.3420
78.800003	86.956	27.5865
80.000000	86.950	26.9202
81.199997	86.953	26.2642
82.500000	86.969	25.5388
83.800003	86.995	24.7778
85.000000	87.026	24.0382
86.199997	87.060	23.2630
87.500000	87.098	22.3825
88.500000	87.127	21.6756
90.000000	87.169	20.5660
91.199997	87.201	19.6318
92.500000	87.232	18.5724
93.800003	87.257	17.4786
95.000000	87.273	16.4534
96.199997	87.283	15.4205
97.500000	87.285	14.3000
98.800003	87.276	13.1913
100.000000	87.260	12.1874
101.500000	87.232	10.9579
103.000000	87.193	9.7504
104.400002	87.148	8.6479
106.000000	87.084	7.4434
107.500000	87.013	6.4027
109.000000	86.934	5.4673
110.599998	86.841	4.5869
112.000000	86.756	3.9071
113.800003	86.648	3.1331
115.000000	86.583	2.6658
117.199997	86.482	1.9004
118.000000	86.451	1.6614
120.599998	86.370	1.1343
122.000000	86.344	0.9985
124.099998	86.329	0.8074
125.000000	86.329	0.6904
126.500000	86.334	0.4300
128.000000	86.344	0.0914
131.500000	86.378	-0.9202
132.000000	86.383	-1.0820
134.000000	86.400	-1.7662
136.000000	86.413	-2.5089
138.000000	86.419	-3.2891
140.000000	86.422	-4.0698
143.000000	86.420	-5.1971
145.000000	86.417	-5.9172
147.500000	86.412	-6.7935
150.000000	86.412	-7.6746
152.500000	86.418	-8.6003
155.000000	86.425	-9.5856
157.500000	86.431	-10.6221
160.000000	86.430	-11.6849
162.500000	86.420	-12.7609
165.000000	86.402	-13.8687
167.500000	86.375	-15.0188
170.000000	86.336	-16.1924
172.500000	86.284	-17.3525
175.000000	86.217	-18.4644
177.500000	86.138	-19.5085
180.000000	86.053	-20.4813
182.500000	85.966	-21.3854
185.000000	85.879	-22.2316
187.500000	85.794	-23.0433
190.000000	85.709	-23.8393
192.500000	85.619	-24.6145
195.000000	85.520	-25.3427
197.500000	85.414	-25.9940
200.000000	85.307	-26.5505
203.000000	85.185	-27.0972
206.000000	85.079	-27.5508
209.000000	84.990	-27.9820
212.000000	84.913	-28.4569
214.000000	84.865	-28.8109
218.000000	84.761	-29.5826
220.000000	84.704	-29.9764
224.000000	84.575	-30.7142
227.000000	84.472	-31.1794
230.000000	84.367	-31.5464
233.000000	84.266	-31.8192
236.000000	84.174	-32.0155
240.000000	84.072	-32.1940
243.000000	84.014	-32.2997
247.000000	83.957	-32.4639
250.000000	83.928	-32.6342
254.000000	83.901	-32.9403
258.000000	83.882	-33.3380
262.000000	83.869	-33.8294
265.000000	83.860	-34.2651
269.000000	83.846	-34.9457
272.000000	83.829	-35.5248
276.000000	83.795	-36.3505
280.000000	83.749	-37.1900
285.000000	83.679	-38.2221
290.000000	83.602	-39.2422
295.000000	83.520	-40.2808
300.000000	83.430	-41.3376
304.000000	83.351	-42.1763
307.000000	83.286	-42.7990
311.000000	83.193	-43.6210
315.000000	83.092	-44.4229
320.000000	82.956	-45.3724
