* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 28, 2023 10:43:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Headamame V1 50mm Peerl
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	73.225	179.7325
20.299999	73.496	178.0989
20.600000	73.762	176.5338
20.900000	74.027	174.9888
21.200001	74.286	173.4112
21.400000	74.453	172.3201
21.799999	74.761	170.0355
22.000000	74.898	168.8528
22.400000	75.136	166.4598
22.700001	75.282	164.7000
23.000000	75.406	163.0131
23.299999	75.515	161.4225
23.600000	75.615	159.9350
24.000000	75.749	158.0969
24.299999	75.858	156.8001
24.700001	76.024	155.1236
25.000000	76.166	153.8560
25.400000	76.380	152.0852
25.799999	76.616	150.1692
26.200001	76.866	148.0948
26.500000	77.060	146.4434
26.900000	77.326	144.1131
27.200001	77.527	142.2525
27.600000	77.784	139.5898
28.000000	78.006	136.7424
28.500000	78.198	133.1670
29.000000	78.295	130.1297
29.500000	78.371	128.0837
30.000000	78.542	126.8888
30.400000	78.780	126.0725
30.700001	78.996	125.2647
31.100000	79.287	123.7589
31.500000	79.527	121.8478
32.000000	79.727	119.3489
32.500000	79.849	117.2295
33.000000	79.965	115.6072
33.500000	80.115	114.2007
34.000000	80.286	112.6863
34.500000	80.444	110.9883
35.000000	80.574	109.2286
35.500000	80.686	107.5126
36.000000	80.790	105.8377
36.500000	80.887	104.1637
37.000000	80.973	102.4973
37.500000	81.049	100.8820
38.200001	81.150	98.7363
38.700001	81.223	97.2504
39.500000	81.337	94.8930
40.000000	81.401	93.4406
40.599998	81.475	91.7257
41.200001	81.544	90.0251
41.799999	81.607	88.3295
42.500000	81.672	86.3675
43.099998	81.721	84.7156
43.700001	81.765	83.1182
44.400002	81.818	81.3629
45.000000	81.877	79.9299
45.500000	81.935	78.7315
46.200001	82.017	76.9944
46.799999	82.075	75.4898
47.500000	82.123	73.8287
48.200001	82.158	72.3406
48.700001	82.180	71.3911
49.400002	82.215	70.2009
50.000000	82.255	69.2562
50.799999	82.322	67.9751
51.500000	82.381	66.7596
52.200001	82.431	65.4633
53.000000	82.470	63.9486
53.799999	82.495	62.4919
54.500000	82.517	61.3145
55.200001	82.548	60.2209
56.000000	82.599	59.0287
57.000000	82.682	57.5241
58.000000	82.761	55.9614
59.000000	82.824	54.3731
60.000000	82.854	52.7103
60.799999	82.840	51.4391
61.500000	82.814	50.4792
62.200001	82.796	49.6129
63.000000	82.791	48.6050
64.000000	82.791	47.2612
65.000000	82.797	45.8828
66.000000	82.811	44.4753
67.000000	82.823	43.0549
68.000000	82.826	41.6885
69.000000	82.821	40.4215
70.000000	82.813	39.2421
71.000000	82.802	38.1073
72.000000	82.786	37.0006
73.000000	82.766	35.9317
74.000000	82.748	34.8911
75.000000	82.729	33.8754
76.199997	82.701	32.7554
77.500000	82.670	31.7546
78.800003	82.655	30.9381
80.000000	82.654	30.2051
81.199997	82.653	29.3746
82.500000	82.632	28.3976
83.800003	82.596	27.4913
85.000000	82.575	26.7461
86.199997	82.573	26.0402
87.500000	82.589	25.2935
88.500000	82.609	24.7242
90.000000	82.645	23.8407
91.199997	82.667	23.0902
92.500000	82.683	22.2716
93.800003	82.700	21.4694
95.000000	82.725	20.7109
96.199997	82.757	19.9087
97.500000	82.793	19.0033
98.800003	82.827	18.0803
100.000000	82.857	17.2183
101.500000	82.891	16.1244
103.000000	82.921	15.0051
104.400002	82.942	13.9403
106.000000	82.952	12.7190
107.500000	82.946	11.5799
109.000000	82.929	10.4385
110.599998	82.902	9.2194
112.000000	82.872	8.2032
113.800003	82.822	7.0786
115.000000	82.779	6.4834
117.199997	82.682	5.7251
118.000000	82.650	5.5207
120.599998	82.611	4.5824
122.000000	82.618	3.6960
124.099998	82.625	2.1758
125.000000	82.626	1.5721
126.500000	82.626	0.6846
128.000000	82.623	-0.0781
131.500000	82.595	-1.7048
132.000000	82.590	-1.9431
134.000000	82.564	-2.9160
