* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 29, 2023 4:14:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Headamame Open Dekoni EV TH900 pads 1 layer of micropore
* Measurement: HO DKNI Pads 40mm BDNC
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	56.863	-130.3568
20.299999	57.179	-131.9432
20.600000	57.516	-133.4924
20.900000	57.859	-135.1082
21.200001	58.192	-136.8193
21.400000	58.402	-137.9929
21.799999	58.790	-140.3020
22.000000	58.971	-141.3871
22.400000	59.320	-143.3575
22.700001	59.586	-144.6625
23.000000	59.864	-145.8751
23.299999	60.155	-147.0683
23.600000	60.453	-148.3107
24.000000	60.846	-150.1102
24.299999	61.125	-151.5612
24.700001	61.467	-153.5645
25.000000	61.700	-155.0530
25.400000	61.988	-156.9451
25.799999	62.262	-158.6974
26.200001	62.534	-160.3341
26.500000	62.740	-161.5217
26.900000	63.016	-163.0991
27.200001	63.222	-164.2959
27.600000	63.492	-165.9105
28.000000	63.755	-167.5299
28.500000	64.078	-169.5369
29.000000	64.398	-171.5334
29.500000	64.715	-173.5513
30.000000	65.019	-175.5944
30.400000	65.252	-177.2189
30.700001	65.419	-178.4103
31.100000	65.637	-179.9451
31.500000	65.851	178.5859
32.000000	66.115	176.8284
32.500000	66.378	175.1339
33.000000	66.640	173.4740
33.500000	66.899	171.8137
34.000000	67.151	170.1148
34.500000	67.386	168.3663
35.000000	67.599	166.6082
35.500000	67.794	164.9038
36.000000	67.980	163.2884
36.500000	68.168	161.7387
37.000000	68.362	160.1948
37.500000	68.557	158.6117
38.200001	68.821	156.3394
38.700001	69.001	154.7202
39.500000	69.279	152.1934
40.000000	69.447	150.6548
40.599998	69.639	148.8537
41.200001	69.818	147.1234
41.799999	69.986	145.4804
42.500000	70.170	143.6583
43.099998	70.315	142.1486
43.700001	70.448	140.6793
44.400002	70.588	139.0418
45.000000	70.703	137.7216
45.500000	70.802	136.6710
46.200001	70.949	135.2419
46.799999	71.084	134.0343
47.500000	71.252	132.6431
48.200001	71.430	131.2766
48.700001	71.559	130.3198
49.400002	71.738	129.0314
50.000000	71.890	128.0011
50.799999	72.095	126.7188
51.500000	72.276	125.5925
52.200001	72.447	124.3868
53.000000	72.623	122.9097
53.799999	72.784	121.3413
54.500000	72.921	119.8849
55.200001	73.063	118.3454
56.000000	73.241	116.4693
57.000000	73.487	113.9655
58.000000	73.761	111.3511
59.000000	74.019	108.5181
60.000000	74.164	105.8434
60.799999	74.219	104.3915
61.500000	74.281	103.6205
62.200001	74.372	103.0048
63.000000	74.485	102.1932
64.000000	74.597	100.9382
65.000000	74.669	99.5399
66.000000	74.726	98.0409
67.000000	74.783	96.4026
68.000000	74.838	94.6770
69.000000	74.890	93.0046
70.000000	74.948	91.4801
71.000000	75.013	90.1048
72.000000	75.082	88.8397
73.000000	75.149	87.6340
74.000000	75.210	86.4443
75.000000	75.266	85.2574
76.199997	75.331	83.8340
77.500000	75.403	82.3009
78.800003	75.479	80.7985
80.000000	75.550	79.4360
81.199997	75.615	78.0977
82.500000	75.676	76.6888
83.800003	75.732	75.3213
85.000000	75.783	74.0831
86.199997	75.834	72.8694
87.500000	75.890	71.5870
88.500000	75.931	70.6227
90.000000	75.985	69.2112
91.199997	76.018	68.1271
92.500000	76.047	67.0172
93.800003	76.073	65.9669
95.000000	76.100	65.0357
96.199997	76.129	64.1281
97.500000	76.162	63.1599
98.800003	76.196	62.2043
100.000000	76.228	61.3367
101.500000	76.272	60.2655
103.000000	76.316	59.2020
104.400002	76.353	58.2291
106.000000	76.389	57.1591
107.500000	76.421	56.1882
109.000000	76.453	55.2257
110.599998	76.491	54.1968
112.000000	76.523	53.2982
113.800003	76.550	52.1433
115.000000	76.545	51.3838
117.199997	76.491	50.0823
118.000000	76.466	49.6368
120.599998	76.436	48.1251
122.000000	76.463	47.1646
124.099998	76.527	45.7195
125.000000	76.559	45.1816
126.500000	76.612	44.4077
128.000000	76.657	43.7301
131.500000	76.711	42.2119
132.000000	76.714	41.9904
134.000000	76.725	41.0948
136.000000	76.735	40.1988
138.000000	76.744	39.3101
140.000000	76.750	38.4244
143.000000	76.763	37.1340
145.000000	76.778	36.3187
147.500000	76.794	35.2909
150.000000	76.793	34.2130
152.500000	76.773	33.1631
155.000000	76.747	32.2007
157.500000	76.722	31.3069
160.000000	76.703	30.3820
162.500000	76.683	29.4137
165.000000	76.652	28.5315
167.500000	76.606	27.9227
170.000000	76.570	27.5573
172.500000	76.558	27.1877
175.000000	76.565	26.6904
177.500000	76.580	26.1270
180.000000	76.592	25.5656
182.500000	76.595	24.9969
185.000000	76.588	24.3837
187.500000	76.581	23.7339
190.000000	76.577	23.0951
192.500000	76.571	22.5029
195.000000	76.559	21.9550
197.500000	76.542	21.4167
200.000000	76.524	20.8691
203.000000	76.502	20.2158
206.000000	76.481	19.5849
209.000000	76.457	18.9841
212.000000	76.429	18.4222
214.000000	76.408	18.0737
218.000000	76.366	17.4615
220.000000	76.347	17.1996
224.000000	76.317	16.7191
227.000000	76.300	16.3561
230.000000	76.285	15.9828
233.000000	76.270	15.6082
236.000000	76.255	15.2416
240.000000	76.236	14.7790
243.000000	76.224	14.4509
247.000000	76.207	14.0179
250.000000	76.192	13.6895
254.000000	76.172	13.2496
258.000000	76.153	12.8191
262.000000	76.136	12.4104
265.000000	76.124	12.1185
269.000000	76.109	11.7488
272.000000	76.096	11.4812
276.000000	76.079	11.1216
280.000000	76.062	10.7528
285.000000	76.043	10.3080
290.000000	76.027	9.9057
295.000000	76.015	9.5418
300.000000	76.000	9.1968
304.000000	75.981	8.9289
307.000000	75.966	8.7340
311.000000	75.949	8.4782
315.000000	75.935	8.2245
320.000000	75.918	7.9172
325.000000	75.900	7.6254
330.000000	75.882	7.3522
335.000000	75.864	7.1138
340.000000	75.848	6.9067
345.000000	75.835	6.7051
350.000000	75.823	6.4849
355.000000	75.810	6.2471
360.000000	75.796	6.0251
365.000000	75.782	5.8343
370.000000	75.770	5.6547
375.000000	75.758	5.4694
382.000000	75.741	5.2113
387.000000	75.726	5.0438
395.000000	75.701	4.8088
400.000000	75.687	4.6719
406.000000	75.672	4.5156
412.000000	75.658	4.3762
418.000000	75.643	4.2574
425.000000	75.626	4.1403
431.000000	75.614	4.0667
437.000000	75.608	4.0187
444.000000	75.608	3.9739
450.000000	75.610	3.9262
455.000000	75.612	3.8744
462.000000	75.616	3.7908
468.000000	75.621	3.7158
475.000000	75.627	3.6241
482.000000	75.635	3.5289
487.000000	75.642	3.4607
494.000000	75.652	3.3647
500.000000	75.662	3.2794
508.000000	75.679	3.1509
515.000000	75.695	3.0124
522.000000	75.711	2.8398
530.000000	75.725	2.5950
538.000000	75.731	2.3029
545.000000	75.728	2.0265
552.000000	75.717	1.7590
560.000000	75.694	1.4972
570.000000	75.650	1.2777
580.000000	75.595	1.2436
590.000000	75.549	1.4545
600.000000	75.539	1.8223
608.000000	75.562	2.0842
615.000000	75.596	2.2234
622.000000	75.634	2.2712
630.000000	75.676	2.2384
640.000000	75.722	2.1146
650.000000	75.761	1.9307
660.000000	75.790	1.7117
670.000000	75.811	1.4937
680.000000	75.826	1.2873
690.000000	75.837	1.0812
700.000000	75.843	0.8734
710.000000	75.841	0.6829
720.000000	75.833	0.5507
730.000000	75.826	0.5060
740.000000	75.826	0.5332
750.000000	75.840	0.5845
762.000000	75.873	0.6125
775.000000	75.920	0.5410
788.000000	75.971	0.3245
800.000000	76.011	0.0124
812.000000	76.039	-0.3461
825.000000	76.061	-0.7468
838.000000	76.080	-1.1807
850.000000	76.093	-1.6487
862.000000	76.098	-2.2064
875.000000	76.084	-2.9055
885.000000	76.057	-3.5009
900.000000	75.982	-4.4788
912.000000	75.879	-5.3115
925.000000	75.700	-6.1746
938.000000	75.414	-6.5764
950.000000	75.079	-5.8722
962.000000	74.807	-3.9323
975.000000	74.732	-1.2772
988.000000	74.860	0.8026
1000.000000	75.044	1.8630
1015.000000	75.257	2.3364
1030.000000	75.424	2.2885
1044.000000	75.541	1.9293
1060.000000	75.613	1.2262
1075.000000	75.599	0.5288
1090.000000	75.521	0.1300
1106.000000	75.422	0.1696
1120.000000	75.359	0.4440
1138.000000	75.311	0.8063
1150.000000	75.280	1.0110
1172.000000	75.207	1.4634
1180.000000	75.179	1.6741
1206.000000	75.090	2.4979
1220.000000	75.042	3.0493
1241.000000	74.984	4.0640
1250.000000	74.968	4.5350
1265.000000	74.952	5.2969
1280.000000	74.931	6.0306
1315.000000	74.861	8.3085
1320.000000	74.860	8.7318
1340.000000	74.909	10.5064
1360.000000	75.033	12.1372
1380.000000	75.195	13.3834
1400.000000	75.340	14.2595
1430.000000	75.489	15.5721
1450.000000	75.590	16.7239
1475.000000	75.764	18.3177
1500.000000	75.991	19.8570
1525.000000	76.268	21.2579
1550.000000	76.574	22.2915
1575.000000	76.855	23.0353
1600.000000	77.130	23.8523
1625.000000	77.433	24.7501
1650.000000	77.793	25.7324
1675.000000	78.247	26.5443
1700.000000	78.769	26.7240
1725.000000	79.305	26.0938
1750.000000	79.811	24.5830
1775.000000	80.231	22.1910
1800.000000	80.516	19.1806
1825.000000	80.650	16.0023
1850.000000	80.648	13.0920
1875.000000	80.547	10.7568
1900.000000	80.394	9.1321
1925.000000	80.240	8.1147
1950.000000	80.110	7.4695
1975.000000	79.999	7.0370
2000.000000	79.899	6.7602
2030.000000	79.786	6.6047
2060.000000	79.674	6.6613
2090.000000	79.563	6.9654
2120.000000	79.453	7.5999
2140.000000	79.390	8.2710
2180.000000	79.344	10.1903
2200.000000	79.383	11.3087
2240.000000	79.590	13.3463
2270.000000	79.808	14.4180
2300.000000	80.032	15.1075
2330.000000	80.245	15.5505
2360.000000	80.443	15.8776
2400.000000	80.695	16.3349
2430.000000	80.897	16.7478
2470.000000	81.208	17.2882
2500.000000	81.474	17.5719
2540.000000	81.856	17.6295
2580.000000	82.239	17.2548
2620.000000	82.603	16.5463
2650.000000	82.861	15.8661
2690.000000	83.190	14.8325
2720.000000	83.433	13.9843
2760.000000	83.759	12.6863
2800.000000	84.076	11.0768
2850.000000	84.419	8.5890
2900.000000	84.672	5.8246
2950.000000	84.855	3.1345
3000.000000	85.014	0.5339
3040.000000	85.125	-1.6601
3070.000000	85.185	-3.4091
3110.000000	85.219	-5.8019
3150.000000	85.199	-8.1179
3200.000000	85.113	-10.7053
3250.000000	84.993	-12.8760
3300.000000	84.870	-14.7106
3350.000000	84.756	-16.3446
3400.000000	84.650	-17.9324
3450.000000	84.535	-19.5468
3500.000000	84.393	-21.1210
3550.000000	84.223	-22.5568
3600.000000	84.031	-23.7814
3650.000000	83.828	-24.7519
3700.000000	83.631	-25.4867
3750.000000	83.453	-26.0842
3820.000000	83.230	-26.9229
3870.000000	83.069	-27.6018
3950.000000	82.764	-28.7205
4000.000000	82.528	-29.2632
4060.000000	82.203	-29.5362
4120.000000	81.859	-29.2547
4180.000000	81.532	-28.3948
4250.000000	81.220	-26.8314
4310.000000	81.034	-25.2546
4370.000000	80.919	-23.6821
4440.000000	80.848	-22.0125
4500.000000	80.818	-20.7191
4550.000000	80.806	-19.6964
4620.000000	80.810	-18.3071
4680.000000	80.835	-17.1384
4750.000000	80.892	-15.7943
4820.000000	80.985	-14.4967
4870.000000	81.076	-13.6276
4940.000000	81.236	-12.5349
5000.000000	81.404	-11.7537
5080.000000	81.667	-11.0236
5150.000000	81.920	-10.7651
5220.000000	82.176	-10.9065
5300.000000	82.452	-11.5250
5380.000000	82.693	-12.5263
5450.000000	82.875	-13.6249
5520.000000	83.032	-14.8824
5600.000000	83.188	-16.5056
5700.000000	83.342	-18.8439
5800.000000	83.439	-21.5276
5900.000000	83.469	-24.5045
6000.000000	83.423	-27.7250
6080.000000	83.325	-30.4408
6150.000000	83.186	-32.8713
6220.000000	82.996	-35.2928
6300.000000	82.710	-37.9630
6400.000000	82.253	-40.9865
6500.000000	81.693	-43.4341
6600.000000	81.052	-45.0992
6700.000000	80.371	-45.8826
6800.000000	79.692	-45.8356
6900.000000	79.053	-45.1194
7000.000000	78.478	-43.9257
7100.000000	77.977	-42.4360
7200.000000	77.554	-40.8152
7300.000000	77.200	-39.2080
7400.000000	76.906	-37.7213
7500.000000	76.654	-36.4183
7620.000000	76.389	-35.1317
7750.000000	76.121	-34.0428
7880.000000	75.861	-33.1691
8000.000000	75.634	-32.4799
8120.000000	75.441	-31.9473
8250.000000	75.289	-31.7642
8380.000000	75.191	-32.3457
8500.000000	75.117	-33.8998
8620.000000	75.003	-36.6743
8750.000000	74.754	-41.1320
8850.000000	74.417	-45.4396
9000.000000	73.580	-52.5721
9120.000000	72.571	-57.8147
9250.000000	71.127	-61.7336
9380.000000	69.366	-62.8345
9500.000000	67.551	-61.0760
9620.000000	65.678	-57.0480
9750.000000	63.722	-51.0049
9880.000000	61.929	-44.0207
10000.000000	60.413	-36.9426
10150.000000	58.646	-26.8807
10300.000000	57.049	-15.1829
10440.000000	55.905	-3.7268
10600.000000	55.255	6.7184
10750.000000	55.171	9.8358
10900.000000	55.315	3.0711
11060.000000	55.849	-17.3223
11200.000000	57.098	-45.9189
11380.000000	59.698	-90.7855
11500.000000	61.510	-119.9149
11720.000000	64.144	-162.1536
11800.000000	64.841	-173.3459
12060.000000	66.399	163.1904
12200.000000	67.011	156.7651
12410.000000	67.983	152.1277
12500.000000	68.476	151.1602
12650.000000	69.393	149.8010
12800.000000	70.334	147.7698
13150.000000	71.979	138.6599
13200.000000	72.125	137.1167
13400.000000	72.545	131.4236
13600.000000	72.859	127.1348
13800.000000	73.274	124.1450
14000.000000	73.928	121.6506
14300.000000	75.422	116.4806
14500.000000	76.619	110.2649
14750.000000	77.977	97.2869
15000.000000	78.731	78.1409
15250.000000	78.555	56.1013
15500.000000	77.454	36.5344
15750.000000	75.769	22.0653
16000.000000	73.966	11.1838
16250.000000	72.319	1.3771
16500.000000	70.789	-8.1147
16750.000000	69.305	-16.7844
17000.000000	68.048	-25.3416
17250.000000	67.236	-36.7260
17500.000000	66.602	-53.2125
17750.000000	65.560	-72.6504
18000.000000	63.805	-89.8506
18250.000000	61.490	-102.5640
