* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 29, 2023 4:04:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Headamame Open Perforated leather pads
* Measurement: HO PL Pads 40mm BDNC
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	67.850	-159.0014
20.299999	68.097	-160.4517
20.600000	68.346	-161.7754
20.900000	68.603	-163.0065
21.200001	68.872	-164.1958
21.400000	69.057	-164.9928
21.799999	69.431	-166.6465
22.000000	69.617	-167.5145
22.400000	69.979	-169.3252
22.700001	70.236	-170.7216
23.000000	70.481	-172.1194
23.299999	70.715	-173.4929
23.600000	70.939	-174.8243
24.000000	71.229	-176.5216
24.299999	71.442	-177.7387
24.700001	71.725	-179.3017
25.000000	71.936	179.5561
25.400000	72.216	178.0531
25.799999	72.492	176.5581
26.200001	72.761	175.0718
26.500000	72.957	173.9711
26.900000	73.211	172.5350
27.200001	73.398	171.4860
27.600000	73.641	170.1227
28.000000	73.879	168.7959
28.500000	74.166	167.1955
29.000000	74.446	165.6827
29.500000	74.724	164.2541
30.000000	75.005	162.8483
30.400000	75.226	161.6977
30.700001	75.384	160.8197
31.100000	75.583	159.6616
31.500000	75.772	158.5716
32.000000	76.009	157.3459
32.500000	76.264	156.2070
33.000000	76.539	154.9902
33.500000	76.815	153.5783
34.000000	77.069	151.9924
34.500000	77.292	150.3559
35.000000	77.492	148.7958
35.500000	77.686	147.3613
36.000000	77.886	146.0181
36.500000	78.093	144.6984
37.000000	78.302	143.3560
37.500000	78.505	141.9956
38.200001	78.775	140.1478
38.700001	78.965	138.9114
39.500000	79.276	137.0082
40.000000	79.469	135.7971
40.599998	79.687	134.3228
41.200001	79.891	132.8888
41.799999	80.090	131.5161
42.500000	80.323	129.9137
43.099998	80.516	128.4755
43.700001	80.693	127.0004
44.400002	80.884	125.3266
45.000000	81.046	123.9719
45.500000	81.185	122.8798
46.200001	81.390	121.3467
46.799999	81.568	119.9908
47.500000	81.767	118.3692
48.200001	81.949	116.7703
48.700001	82.071	115.6871
49.400002	82.239	114.2769
50.000000	82.387	113.1275
50.799999	82.587	111.5580
51.500000	82.750	110.0892
52.200001	82.890	108.5816
53.000000	83.027	106.9295
53.799999	83.159	105.4104
54.500000	83.285	104.1646
55.200001	83.428	102.9516
56.000000	83.612	101.5453
57.000000	83.860	99.6803
58.000000	84.106	97.6965
59.000000	84.331	95.5948
60.000000	84.500	93.4501
60.799999	84.594	91.8894
61.500000	84.667	90.6868
62.200001	84.744	89.5658
63.000000	84.836	88.2945
64.000000	84.959	86.6683
65.000000	85.091	84.9628
66.000000	85.226	83.1553
67.000000	85.356	81.2987
68.000000	85.478	79.4684
69.000000	85.594	77.6929
70.000000	85.703	75.9539
71.000000	85.799	74.2250
72.000000	85.877	72.5032
73.000000	85.939	70.8201
74.000000	85.992	69.1992
75.000000	86.042	67.6344
76.199997	86.101	65.8254
77.500000	86.164	63.9486
78.800003	86.222	62.1511
80.000000	86.268	60.5456
81.199997	86.307	58.9644
82.500000	86.341	57.2678
83.800003	86.372	55.5819
85.000000	86.400	54.0327
86.199997	86.427	52.5069
87.500000	86.453	50.9053
88.500000	86.470	49.7202
90.000000	86.489	48.0214
91.199997	86.497	46.7236
92.500000	86.499	45.3730
93.800003	86.497	44.0811
95.000000	86.495	42.9407
96.199997	86.496	41.8479
97.500000	86.502	40.7071
98.800003	86.513	39.5993
100.000000	86.527	38.5996
101.500000	86.547	37.3659
103.000000	86.570	36.1295
104.400002	86.592	34.9564
106.000000	86.614	33.5896
107.500000	86.630	32.3083
109.000000	86.641	31.0576
110.599998	86.648	29.7678
112.000000	86.649	28.6632
113.800003	86.642	27.2454
115.000000	86.633	26.2968
117.199997	86.616	24.5541
118.000000	86.611	23.9246
120.599998	86.600	22.0209
122.000000	86.603	21.1025
124.099998	86.611	19.7801
125.000000	86.613	19.2198
126.500000	86.612	18.2883
128.000000	86.609	17.3560
131.500000	86.602	15.1646
132.000000	86.601	14.8490
134.000000	86.597	13.5776
136.000000	86.589	12.2881
138.000000	86.575	10.9855
140.000000	86.553	9.6898
143.000000	86.507	7.8135
145.000000	86.468	6.6213
147.500000	86.412	5.1910
150.000000	86.351	3.8271
152.500000	86.292	2.5358
155.000000	86.236	1.3264
157.500000	86.179	0.1735
