* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 29, 2023 4:03:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Headamame Open Solid leather pads
* Measurement: HO SL Pads 40mm BDNC
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	63.612	-130.9694
20.299999	63.966	-132.8618
20.600000	64.269	-134.6663
20.900000	64.538	-136.2112
21.200001	64.804	-137.4124
21.400000	64.995	-138.0444
21.799999	65.428	-139.1735
22.000000	65.665	-139.8088
22.400000	66.139	-141.4299
22.700001	66.453	-142.9836
23.000000	66.709	-144.6779
23.299999	66.903	-146.2957
23.600000	67.053	-147.6387
24.000000	67.237	-148.8560
24.299999	67.395	-149.4230
24.700001	67.650	-149.9683
25.000000	67.864	-150.3464
25.400000	68.165	-150.8140
25.799999	68.499	-151.1210
26.200001	68.908	-151.2990
26.500000	69.274	-151.5399
26.900000	69.805	-152.3680
27.200001	70.191	-153.5126
27.600000	70.621	-155.5922
28.000000	70.934	-157.8103
28.500000	71.225	-159.8725
29.000000	71.577	-160.8646
29.500000	72.085	-161.6027
30.000000	72.652	-163.2042
30.400000	73.036	-165.2661
30.700001	73.250	-167.0303
31.100000	73.440	-169.2465
31.500000	73.571	-170.9421
32.000000	73.753	-172.2651
32.500000	74.025	-173.1718
33.000000	74.371	-174.2957
33.500000	74.727	-175.9202
34.000000	75.045	-177.9714
34.500000	75.302	179.7673
35.000000	75.494	177.5641
35.500000	75.638	175.7083
36.000000	75.781	174.4163
36.500000	75.986	173.6588
37.000000	76.288	173.0964
37.500000	76.666	172.2853
38.200001	77.204	170.3300
38.700001	77.529	168.5046
39.500000	77.930	165.5708
40.000000	78.134	163.9695
40.599998	78.361	162.2982
41.200001	78.581	160.8264
41.799999	78.803	159.4873
42.500000	79.074	157.9927
43.099998	79.317	156.6760
43.700001	79.563	155.2857
44.400002	79.849	153.5919
45.000000	80.095	152.1004
45.500000	80.298	150.8336
46.200001	80.576	149.0388
46.799999	80.804	147.5126
47.500000	81.060	145.7758
48.200001	81.305	144.0778
48.700001	81.472	142.8746
49.400002	81.694	141.1871
50.000000	81.872	139.7225
50.799999	82.092	137.7283
51.500000	82.268	135.9656
52.200001	82.439	134.2269
