* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 29, 2023 4:34:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Headamame Open Dekoni EV TH900 pads 1 layer of micropore on front
* Measurement: HO DKNI Pads 40mm Peerles Dec 29
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	65.134	173.2449
20.299999	65.381	171.2911
20.600000	65.603	169.3166
20.900000	65.802	167.4150
21.200001	65.985	165.6638
21.400000	66.104	164.6000
21.799999	66.354	162.6862
22.000000	66.489	161.8001
22.400000	66.779	160.0663
22.700001	67.006	158.7093
23.000000	67.231	157.2637
23.299999	67.443	155.7336
23.600000	67.635	154.1579
24.000000	67.854	152.0889
24.299999	67.998	150.6302
24.700001	68.174	148.8621
25.000000	68.304	147.6575
25.400000	68.486	146.1532
25.799999	68.676	144.6760
26.200001	68.867	143.1625
26.500000	69.007	141.9961
26.900000	69.185	140.4194
27.200001	69.312	139.2380
27.600000	69.474	137.6804
28.000000	69.630	136.1466
28.500000	69.816	134.2648
29.000000	69.993	132.4421
29.500000	70.165	130.7034
30.000000	70.339	129.0394
30.400000	70.480	127.7308
30.700001	70.586	126.7461
31.100000	70.723	125.4226
31.500000	70.851	124.1004
32.000000	70.999	122.4874
32.500000	71.137	120.9492
33.000000	71.271	119.4824
33.500000	71.402	118.0615
34.000000	71.530	116.6670
34.500000	71.654	115.2939
35.000000	71.774	113.9404
35.500000	71.890	112.5990
36.000000	72.001	111.2654
36.500000	72.103	109.9519
37.000000	72.198	108.6855
37.500000	72.290	107.4862
38.200001	72.422	105.8976
38.700001	72.521	104.7828
39.500000	72.677	102.9794
40.000000	72.769	101.8541
40.599998	72.875	100.5238
41.200001	72.978	99.2048
41.799999	73.075	97.8906
42.500000	73.180	96.3957
43.099998	73.267	95.1691
43.700001	73.357	93.9666
44.400002	73.461	92.5508
45.000000	73.544	91.3397
45.500000	73.608	90.3561
46.200001	73.694	89.0183
46.799999	73.763	87.8880
47.500000	73.835	86.5986
48.200001	73.896	85.3905
48.700001	73.939	84.5911
49.400002	74.005	83.5323
50.000000	74.068	82.6360
50.799999	74.153	81.4079
51.500000	74.218	80.3297
52.200001	74.275	79.3163
53.000000	74.338	78.2567
53.799999	74.396	77.2620
54.500000	74.437	76.4546
55.200001	74.469	75.7325
56.000000	74.499	74.9907
57.000000	74.521	74.1155
58.000000	74.518	73.3809
59.000000	74.543	72.9766
60.000000	74.675	72.4211
60.799999	74.813	71.3387
61.500000	74.897	70.0195
62.200001	74.942	68.6712
63.000000	74.977	67.2990
64.000000	75.030	65.7743
65.000000	75.086	64.3634
66.000000	75.133	63.1086
67.000000	75.174	62.0164
68.000000	75.210	61.0116
69.000000	75.240	60.0321
70.000000	75.261	59.0656
71.000000	75.278	58.1161
72.000000	75.295	57.1823
73.000000	75.313	56.2772
74.000000	75.333	55.4282
75.000000	75.354	54.6426
76.199997	75.379	53.7684
77.500000	75.401	52.8987
78.800003	75.420	52.0731
80.000000	75.434	51.3054
81.199997	75.441	50.5383
82.500000	75.445	49.7463
83.800003	75.453	49.0047
85.000000	75.466	48.3349
86.199997	75.480	47.6663
87.500000	75.490	46.9639
88.500000	75.493	46.4624
90.000000	75.495	45.8070
91.199997	75.501	45.3564
92.500000	75.514	44.8843
93.800003	75.527	44.3937
95.000000	75.532	43.9668
96.199997	75.535	43.6123
97.500000	75.547	43.2944
98.800003	75.570	42.9899
100.000000	75.600	42.6899
101.500000	75.643	42.2886
103.000000	75.694	41.8579
104.400002	75.742	41.4238
106.000000	75.788	40.9185
107.500000	75.821	40.4692
109.000000	75.852	40.0220
110.599998	75.883	39.5324
112.000000	75.913	39.1348
113.800003	75.959	38.7113
115.000000	75.991	38.4916
117.199997	76.047	38.2057
118.000000	76.069	38.1001
120.599998	76.151	37.3989
122.000000	76.189	36.7878
124.099998	76.244	35.8472
125.000000	76.270	35.4800
126.500000	76.312	34.9374
128.000000	76.349	34.4717
131.500000	76.416	33.4678
132.000000	76.426	33.3184
134.000000	76.466	32.7036
136.000000	76.508	32.0744
138.000000	76.543	31.4366
140.000000	76.566	30.8087
143.000000	76.596	29.9667
145.000000	76.625	29.4753
147.500000	76.670	28.8529
150.000000	76.716	28.1824
152.500000	76.759	27.5291
155.000000	76.799	26.9257
157.500000	76.835	26.3011
160.000000	76.868	25.6177
162.500000	76.898	24.9286
165.000000	76.922	24.2821
167.500000	76.931	23.7008
170.000000	76.932	23.1714
172.500000	76.935	22.6578
175.000000	76.943	22.1479
177.500000	76.955	21.6486
180.000000	76.968	21.1656
182.500000	76.978	20.7057
185.000000	76.987	20.2487
187.500000	76.995	19.7697
190.000000	77.002	19.2815
192.500000	77.010	18.8101
195.000000	77.018	18.3588
197.500000	77.025	17.9138
200.000000	77.028	17.4792
203.000000	77.030	16.9957
206.000000	77.035	16.5483
209.000000	77.044	16.1035
212.000000	77.052	15.6458
214.000000	77.054	15.3378
218.000000	77.051	14.7415
220.000000	77.047	14.4679
224.000000	77.042	13.9890
227.000000	77.042	13.6802
230.000000	77.046	13.3961
233.000000	77.052	13.1222
236.000000	77.060	12.8463
240.000000	77.075	12.4528
243.000000	77.086	12.1293
247.000000	77.098	11.6677
250.000000	77.107	11.3135
254.000000	77.123	10.8547
258.000000	77.141	10.4192
262.000000	77.157	9.9901
265.000000	77.166	9.6639
269.000000	77.171	9.2203
272.000000	77.173	8.8818
276.000000	77.175	8.4307
280.000000	77.177	7.9906
285.000000	77.179	7.4611
290.000000	77.183	6.9454
295.000000	77.191	6.4200
300.000000	77.196	5.8891
304.000000	77.196	5.4705
307.000000	77.193	5.1450
311.000000	77.182	4.6809
315.000000	77.153	4.2174
320.000000	77.092	3.7925
325.000000	77.035	3.6691
330.000000	77.021	3.6879
335.000000	77.041	3.6044
340.000000	77.067	3.3651
345.000000	77.085	3.0229
350.000000	77.095	2.6394
355.000000	77.096	2.2517
360.000000	77.094	1.8690
365.000000	77.088	1.4877
370.000000	77.080	1.1085
375.000000	77.069	0.7384
382.000000	77.051	0.2603
387.000000	77.035	-0.0368
395.000000	77.013	-0.4445
400.000000	77.004	-0.6778
406.000000	76.998	-0.9629
