* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 29, 2023 3:41:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Headamame Open Perforated leather pads
* Measurement: HO PL Pads 40mm Peerless
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	70.865	-168.3993
20.299999	71.141	-169.9202
20.600000	71.406	-171.4246
20.900000	71.662	-172.9011
21.200001	71.910	-174.3430
21.400000	72.072	-175.2844
21.799999	72.392	-177.1262
22.000000	72.549	-178.0306
22.400000	72.861	-179.8156
22.700001	73.092	178.8594
23.000000	73.321	177.5419
23.299999	73.547	176.2284
23.600000	73.771	174.9164
24.000000	74.064	173.1645
24.299999	74.279	171.8463
24.700001	74.558	170.0842
25.000000	74.760	168.7665
25.400000	75.019	167.0323
25.799999	75.267	165.3496
26.200001	75.508	163.7358
26.500000	75.688	162.5693
26.900000	75.929	161.0517
27.200001	76.110	159.9232
27.600000	76.348	158.4070
28.000000	76.580	156.8708
28.500000	76.853	154.9478
29.000000	77.110	153.0757
29.500000	77.356	151.2838
30.000000	77.598	149.5536
30.400000	77.788	148.1886
30.700001	77.928	147.1684
31.100000	78.109	145.8148
31.500000	78.284	144.4805
32.000000	78.496	142.8554
32.500000	78.704	141.2769
33.000000	78.910	139.7228
33.500000	79.112	138.1731
34.000000	79.307	136.6266
34.500000	79.494	135.0989
35.000000	79.674	133.6065
35.500000	79.849	132.1531
36.000000	80.022	130.7277
36.500000	80.190	129.3174
37.000000	80.354	127.9185
37.500000	80.511	126.5358
38.200001	80.725	124.6340
38.700001	80.873	123.2941
39.500000	81.102	121.1635
40.000000	81.239	119.8421
40.599998	81.398	118.2776
41.200001	81.552	116.7395
41.799999	81.702	115.2246
42.500000	81.873	113.4866
43.099998	82.014	112.0255
43.700001	82.152	110.5888
44.400002	82.307	108.9384
45.000000	82.433	107.5506
45.500000	82.534	106.4174
46.200001	82.669	104.8623
46.799999	82.779	103.5519
47.500000	82.901	102.0511
48.200001	83.018	100.5775
48.700001	83.101	99.5291
49.400002	83.211	98.0534
50.000000	83.299	96.7932
50.799999	83.409	95.1597
51.500000	83.502	93.7971
