* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 29, 2023 3:40:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Headamame Open Solid leather pads
* Measurement: HO SL Pads 40mm Peerless
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	74.817	-177.7103
20.299999	75.097	-179.2651
20.600000	75.368	179.1144
20.900000	75.624	177.4374
21.200001	75.861	175.7384
21.400000	76.010	174.6179
21.799999	76.289	172.4590
22.000000	76.424	171.4319
22.400000	76.694	169.4679
22.700001	76.901	168.0347
23.000000	77.111	166.5962
23.299999	77.318	165.1307
23.600000	77.519	163.6398
24.000000	77.772	161.6551
24.299999	77.951	160.2117
24.700001	78.182	158.3885
25.000000	78.355	157.0961
25.400000	78.589	155.4404
25.799999	78.824	153.8173
26.200001	79.053	152.2085
26.500000	79.219	151.0231
26.900000	79.432	149.4990
27.200001	79.588	148.4105
27.600000	79.794	147.0263
28.000000	80.001	145.6912
28.500000	80.260	144.0363
29.000000	80.509	142.3649
29.500000	80.745	140.6905
30.000000	80.968	139.0460
30.400000	81.141	137.7579
30.700001	81.269	136.7988
31.100000	81.439	135.5098
31.500000	81.606	134.1869
32.000000	81.802	132.4792
32.500000	81.980	130.7508
33.000000	82.143	129.0737
33.500000	82.302	127.4849
34.000000	82.465	125.9508
34.500000	82.634	124.4030
35.000000	82.800	122.8037
35.500000	82.954	121.1773
36.000000	83.096	119.5831
36.500000	83.229	118.0627
37.000000	83.360	116.6187
37.500000	83.493	115.2291
38.200001	83.681	113.3276
38.700001	83.816	111.9740
39.500000	84.022	109.7932
40.000000	84.142	108.4318
40.599998	84.276	106.8219
41.200001	84.403	105.2437
41.799999	84.524	103.6882
42.500000	84.656	101.8962
43.099998	84.762	100.3850
43.700001	84.862	98.8979
44.400002	84.972	97.1912
45.000000	85.060	95.7591
45.500000	85.129	94.5953
46.200001	85.220	93.0180
46.799999	85.295	91.7134
47.500000	85.377	90.2441
48.200001	85.455	88.8293
48.700001	85.507	87.8502
49.400002	85.573	86.5278
50.000000	85.623	85.4514
50.799999	85.687	84.1130
51.500000	85.746	83.0097
52.200001	85.810	81.9189
53.000000	85.883	80.6578
53.799999	85.952	79.4133
54.500000	86.015	78.3695
55.200001	86.084	77.3690
56.000000	86.176	76.2543
57.000000	86.307	74.8671
58.000000	86.452	73.4553
59.000000	86.601	71.9104
60.000000	86.715	70.2020
60.799999	86.768	68.8889
61.500000	86.799	67.8661
62.200001	86.830	66.9240
63.000000	86.867	65.8658
64.000000	86.911	64.5156
65.000000	86.952	63.1222
66.000000	86.985	61.6942
67.000000	87.009	60.2781
68.000000	87.027	58.9188
69.000000	87.037	57.6398
70.000000	87.039	56.4617
71.000000	87.032	55.4160
72.000000	87.021	54.5203
73.000000	87.014	53.7584
74.000000	87.012	53.0967
75.000000	87.019	52.5195
