* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 29, 2023 4:29:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Headamame Open Dekoni EV TH900 pads 1 layer of micropore on front and back
* Measurement: HO DKNI Pads 50mm Peerles Dec 29
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	70.908	148.6866
20.299999	71.093	146.9952
20.600000	71.269	145.3342
20.900000	71.438	143.7204
21.200001	71.600	142.1633
21.400000	71.707	141.1566
21.799999	71.921	139.1985
22.000000	72.027	138.2357
22.400000	72.239	136.3199
22.700001	72.393	134.8785
23.000000	72.542	133.4337
23.299999	72.682	131.9935
23.600000	72.815	130.5695
24.000000	72.979	128.7119
24.299999	73.096	127.3547
24.700001	73.243	125.5908
25.000000	73.348	124.2969
25.400000	73.482	122.6050
25.799999	73.607	120.9512
26.200001	73.725	119.3411
26.500000	73.810	118.1659
26.900000	73.921	116.6418
27.200001	74.004	115.5263
27.600000	74.115	114.0621
28.000000	74.228	112.6079
28.500000	74.366	110.7883
29.000000	74.499	108.9780
29.500000	74.622	107.2142
30.000000	74.740	105.5413
30.400000	74.834	104.2852
30.700001	74.907	103.3914
31.100000	75.009	102.2549
31.500000	75.120	101.1570
32.000000	75.271	99.7769
32.500000	75.426	98.3127
33.000000	75.568	96.7289
33.500000	75.681	95.0763
34.000000	75.759	93.4766
34.500000	75.813	92.0310
35.000000	75.858	90.7554
35.500000	75.905	89.5939
36.000000	75.955	88.4852
36.500000	76.007	87.4089
37.000000	76.061	86.3655
37.500000	76.121	85.3373
38.200001	76.216	83.8528
38.700001	76.283	82.7421
39.500000	76.380	80.9482
40.000000	76.437	79.8550
40.599998	76.503	78.5750
41.200001	76.565	77.3321
41.799999	76.624	76.1429
42.500000	76.693	74.8193
43.099998	76.754	73.7035
43.700001	76.811	72.5874
44.400002	76.871	71.3058
45.000000	76.921	70.2339
45.500000	76.963	69.3460
46.200001	77.022	68.0898
46.799999	77.068	67.0065
47.500000	77.113	65.7737
48.200001	77.152	64.6215
48.700001	77.179	63.8624
49.400002	77.220	62.8743
50.000000	77.260	62.0600
50.799999	77.313	60.9625
51.500000	77.352	59.9678
52.200001	77.378	58.9541
53.000000	77.392	57.8165
53.799999	77.400	56.7300
54.500000	77.409	55.8137
55.200001	77.426	54.9249
56.000000	77.460	53.9414
57.000000	77.532	52.7351
58.000000	77.634	51.5134
59.000000	77.743	50.1056
60.000000	77.787	48.5632
60.799999	77.761	47.6039
61.500000	77.726	47.0776
62.200001	77.706	46.7128
63.000000	77.699	46.3033
64.000000	77.703	45.6527
65.000000	77.706	44.8087
66.000000	77.701	43.8461
67.000000	77.700	42.8423
68.000000	77.706	41.8092
69.000000	77.713	40.7774
70.000000	77.715	39.7947
71.000000	77.711	38.8888
72.000000	77.698	38.0629
73.000000	77.680	37.3062
74.000000	77.659	36.6010
75.000000	77.639	35.9245
76.199997	77.620	35.1450
77.500000	77.607	34.3631
78.800003	77.609	33.6279
80.000000	77.618	32.9551
81.199997	77.627	32.2703
82.500000	77.630	31.5111
83.800003	77.622	30.7484
85.000000	77.608	30.0529
86.199997	77.591	29.3616
87.500000	77.568	28.6185
88.500000	77.547	28.0682
90.000000	77.511	27.3072
91.199997	77.481	26.7700
92.500000	77.451	26.2568
93.800003	77.420	25.8009
95.000000	77.391	25.4260
96.199997	77.363	25.0835
97.500000	77.336	24.7164
