* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 29, 2023 3:45:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Headamame Open Perforated leather pads
* Measurement: HO PL Pads 50mm Peerless
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	72.315	175.6989
20.299999	72.576	173.8314
20.600000	72.832	171.9879
20.900000	73.082	170.1636
21.200001	73.326	168.3525
21.400000	73.485	167.1501
21.799999	73.791	164.7566
22.000000	73.938	163.5681
22.400000	74.217	161.2206
22.700001	74.413	159.5026
23.000000	74.601	157.8348
23.299999	74.781	156.2254
23.600000	74.956	154.6746
24.000000	75.187	152.6852
24.299999	75.359	151.2342
24.700001	75.586	149.3264
25.000000	75.755	147.9011
25.400000	75.973	145.9971
25.799999	76.183	144.0909
26.200001	76.381	142.1956
26.500000	76.523	140.7910
26.900000	76.704	138.9515
27.200001	76.834	137.6002
27.600000	77.004	135.8345
28.000000	77.168	134.1048
28.500000	77.368	131.9845
29.000000	77.562	129.9070
29.500000	77.750	127.8712
30.000000	77.935	125.8668
30.400000	78.079	124.2750
30.700001	78.184	123.0851
31.100000	78.319	121.5060
31.500000	78.447	119.9467
32.000000	78.597	118.0459
32.500000	78.742	116.2102
33.000000	78.883	114.4287
33.500000	79.021	112.6787
34.000000	79.154	110.9442
34.500000	79.280	109.2261
35.000000	79.396	107.5394
35.500000	79.506	105.8986
36.000000	79.611	104.3071
36.500000	79.713	102.7567
37.000000	79.814	101.2339
37.500000	79.912	99.7295
38.200001	80.045	97.6490
38.700001	80.136	96.1819
39.500000	80.273	93.8727
40.000000	80.354	92.4600
40.599998	80.446	90.8038
41.200001	80.533	89.1912
41.799999	80.616	87.6175
42.500000	80.707	85.8280
43.099998	80.780	84.3343
43.700001	80.849	82.8710
44.400002	80.922	81.1912
45.000000	80.979	79.7759
45.500000	81.023	78.6205
46.200001	81.081	77.0403
46.799999	81.129	75.7098
47.500000	81.182	74.1771
48.200001	81.231	72.6772
48.700001	81.265	71.6331
49.400002	81.311	70.2056
50.000000	81.349	69.0077
50.799999	81.393	67.4518
51.500000	81.424	66.1416
52.200001	81.448	64.8915
53.000000	81.473	63.5404
53.799999	81.500	62.2374
54.500000	81.527	61.0967
55.200001	81.555	59.9432
56.000000	81.592	58.6138
57.000000	81.650	56.9210
58.000000	81.723	55.1157
59.000000	81.776	53.1767
60.000000	81.783	51.4376
60.799999	81.784	50.3922
61.500000	81.803	49.6385
62.200001	81.836	48.9040
63.000000	81.875	48.0234
64.000000	81.913	46.8599
65.000000	81.930	45.6369
66.000000	81.929	44.3814
67.000000	81.916	43.1207
68.000000	81.899	41.8730
69.000000	81.884	40.6498
70.000000	81.872	39.4622
71.000000	81.860	38.3336
72.000000	81.848	37.2895
73.000000	81.836	36.3364
74.000000	81.826	35.4519
75.000000	81.820	34.6069
76.199997	81.816	33.6174
77.500000	81.822	32.5419
78.800003	81.835	31.4381
80.000000	81.850	30.3977
81.199997	81.866	29.3356
82.500000	81.876	28.1560
83.800003	81.876	26.9539
85.000000	81.866	25.8364
86.199997	81.846	24.7308
87.500000	81.818	23.5634
88.500000	81.791	22.6968
90.000000	81.744	21.4728
91.199997	81.702	20.5667
92.500000	81.654	19.6437
93.800003	81.600	18.7736
95.000000	81.547	18.0344
96.199997	81.493	17.3750
97.500000	81.438	16.7563
98.800003	81.387	16.2233
100.000000	81.347	15.7831
101.500000	81.304	15.2678
103.000000	81.272	14.7603
104.400002	81.255	14.2780
106.000000	81.247	13.7072
107.500000	81.245	13.1508
109.000000	81.240	12.5754
110.599998	81.229	11.9380
112.000000	81.220	11.3553
113.800003	81.220	10.5921
115.000000	81.230	10.1052
117.199997	81.263	9.3337
118.000000	81.276	9.0841
120.599998	81.275	8.2723
122.000000	81.242	7.8612
124.099998	81.187	7.2720
125.000000	81.172	7.0035
126.500000	81.159	6.5298
128.000000	81.160	6.0464
131.500000	81.185	4.9709
132.000000	81.189	4.8198
134.000000	81.209	4.1957
136.000000	81.238	3.5089
138.000000	81.270	2.7469
140.000000	81.298	1.9266
143.000000	81.317	0.6246
145.000000	81.317	-0.2715
147.500000	81.307	-1.3833
150.000000	81.290	-2.4467
152.500000	81.272	-3.4783
155.000000	81.246	-4.5031
157.500000	81.206	-5.4934
160.000000	81.152	-6.4319
162.500000	81.090	-7.3350
165.000000	81.030	-8.1725
167.500000	80.976	-8.9083
170.000000	80.926	-9.5640
172.500000	80.876	-10.1783
175.000000	80.828	-10.7708
177.500000	80.785	-11.3455
180.000000	80.742	-11.9260
182.500000	80.695	-12.5255
185.000000	80.643	-13.1182
187.500000	80.587	-13.6746
190.000000	80.529	-14.1833
192.500000	80.470	-14.6421
195.000000	80.412	-15.0439
197.500000	80.358	-15.3827
200.000000	80.307	-15.6592
203.000000	80.254	-15.9272
206.000000	80.215	-16.1606
209.000000	80.189	-16.3826
212.000000	80.175	-16.6008
214.000000	80.172	-16.7478
218.000000	80.178	-17.0547
220.000000	80.187	-17.2182
224.000000	80.219	-17.5804
227.000000	80.256	-17.9055
230.000000	80.304	-18.3134
233.000000	80.361	-18.8431
236.000000	80.417	-19.5087
240.000000	80.478	-20.5680
243.000000	80.509	-21.4443
247.000000	80.532	-22.6599
250.000000	80.535	-23.5785
254.000000	80.525	-24.8008
258.000000	80.502	-26.0251
262.000000	80.466	-27.2410
265.000000	80.428	-28.1218
269.000000	80.364	-29.2053
272.000000	80.313	-29.9325
276.000000	80.250	-30.8335
280.000000	80.195	-31.7483
285.000000	80.124	-32.9539
290.000000	80.039	-34.1673
295.000000	79.944	-35.3386
300.000000	79.845	-36.4414
304.000000	79.763	-37.2607
307.000000	79.700	-37.8481
311.000000	79.613	-38.6111
315.000000	79.525	-39.3532
320.000000	79.411	-40.2481
325.000000	79.295	-41.1024
330.000000	79.181	-41.9131
335.000000	79.068	-42.6879
340.000000	78.956	-43.4418
345.000000	78.845	-44.1809
350.000000	78.733	-44.9038
355.000000	78.621	-45.6083
360.000000	78.509	-46.2962
365.000000	78.397	-46.9738
370.000000	78.285	-47.6456
375.000000	78.170	-48.3123
382.000000	78.001	-49.2217
387.000000	77.875	-49.8345
395.000000	77.668	-50.7345
400.000000	77.539	-51.2582
406.000000	77.382	-51.8644
412.000000	77.221	-52.4423
418.000000	77.054	-52.9616
425.000000	76.860	-53.4585
431.000000	76.701	-53.8109
437.000000	76.549	-54.1392
444.000000	76.374	-54.5206
450.000000	76.224	-54.8450
455.000000	76.097	-55.1064
462.000000	75.918	-55.4608
468.000000	75.762	-55.7669
475.000000	75.566	-56.1219
482.000000	75.343	-56.3658
487.000000	75.170	-56.3516
494.000000	74.940	-55.9954
500.000000	74.783	-55.5204
508.000000	74.628	-54.9566
515.000000	74.517	-54.6230
522.000000	74.408	-54.3901
530.000000	74.280	-54.1645
538.000000	74.149	-53.9345
545.000000	74.034	-53.7158
552.000000	73.922	-53.4697
560.000000	73.802	-53.1488
570.000000	73.669	-52.7064
580.000000	73.557	-52.2596
590.000000	73.464	-51.8685
600.000000	73.382	-51.5787
608.000000	73.317	-51.4209
615.000000	73.258	-51.3212
622.000000	73.194	-51.2338
630.000000	73.117	-51.1187
640.000000	73.021	-50.9243
650.000000	72.933	-50.6865
660.000000	72.853	-50.4407
670.000000	72.782	-50.2116
680.000000	72.721	-50.0240
690.000000	72.666	-49.9131
700.000000	72.612	-49.8920
710.000000	72.553	-49.9372
720.000000	72.488	-50.0206
730.000000	72.420	-50.1264
740.000000	72.347	-50.2438
750.000000	72.269	-50.3665
762.000000	72.165	-50.5165
775.000000	72.042	-50.6498
788.000000	71.911	-50.7064
800.000000	71.788	-50.6777
812.000000	71.673	-50.5955
825.000000	71.564	-50.5266
838.000000	71.460	-50.5576
850.000000	71.352	-50.6562
862.000000	71.228	-50.7498
875.000000	71.083	-50.7926
885.000000	70.970	-50.7830
900.000000	70.800	-50.7211
912.000000	70.662	-50.6438
925.000000	70.510	-50.5503
938.000000	70.352	-50.4269
950.000000	70.203	-50.2656
962.000000	70.052	-50.0874
975.000000	69.881	-49.9068
988.000000	69.691	-49.6848
1000.000000	69.498	-49.3503
1015.000000	69.248	-48.6660
1030.000000	69.014	-47.6788
1044.000000	68.831	-46.5746
1060.000000	68.668	-45.2799
1075.000000	68.547	-44.1807
1090.000000	68.434	-43.2069
1106.000000	68.316	-42.2164
1120.000000	68.223	-41.3999
1138.000000	68.107	-40.5101
1150.000000	68.021	-40.0004
1172.000000	67.838	-39.1678
1180.000000	67.758	-38.8986
1206.000000	67.393	-37.8726
1220.000000	67.118	-36.7464
1241.000000	66.719	-33.7386
1250.000000	66.602	-32.1167
1265.000000	66.501	-29.3628
1280.000000	66.498	-26.8115
1315.000000	66.702	-22.2062
1320.000000	66.740	-21.7274
1340.000000	66.876	-20.2433
1360.000000	66.942	-19.2565
1380.000000	66.905	-18.3126
1400.000000	66.795	-16.9272
1430.000000	66.644	-13.8916
1450.000000	66.586	-11.5117
1475.000000	66.560	-8.1760
1500.000000	66.630	-4.4730
1525.000000	66.818	-0.7432
1550.000000	67.095	2.8046
1575.000000	67.461	6.1949
1600.000000	67.926	9.1908
1625.000000	68.445	11.5284
1650.000000	68.979	13.2391
1675.000000	69.506	14.3562
1700.000000	70.022	15.0775
1725.000000	70.550	15.4418
1750.000000	71.071	15.1804
1775.000000	71.530	14.2664
1800.000000	71.904	12.9621
1825.000000	72.197	11.5441
1850.000000	72.433	10.2166
1875.000000	72.644	9.0060
1900.000000	72.839	7.7664
1925.000000	73.005	6.4070
1950.000000	73.128	4.9506
1975.000000	73.197	3.4626
2000.000000	73.204	2.0778
2030.000000	73.143	0.8114
2060.000000	73.048	0.1389
2090.000000	72.962	-0.0112
2120.000000	72.911	0.2130
2140.000000	72.902	0.4875
2180.000000	72.944	1.0839
2200.000000	72.984	1.3331
2240.000000	73.077	1.7118
2270.000000	73.149	1.9554
2300.000000	73.223	2.1931
2330.000000	73.297	2.4257
2360.000000	73.368	2.6863
2400.000000	73.467	3.1466
2430.000000	73.554	3.5944
2470.000000	73.706	4.2841
2500.000000	73.854	4.7748
2540.000000	74.092	5.2234
2580.000000	74.351	5.3165
2620.000000	74.605	5.0359
2650.000000	74.781	4.6103
2690.000000	74.985	3.8048
2720.000000	75.108	3.0519
2760.000000	75.218	1.9437
2800.000000	75.258	0.9343
2850.000000	75.241	0.2028
2900.000000	75.230	0.1664
2950.000000	75.280	0.5026
3000.000000	75.393	0.8585
3040.000000	75.512	1.0262
3070.000000	75.607	1.0617
3110.000000	75.733	1.0078
3150.000000	75.852	0.8856
3200.000000	75.988	0.7017
3250.000000	76.109	0.6039
3300.000000	76.243	0.7804
3350.000000	76.445	1.1349
3400.000000	76.727	1.2721
3450.000000	77.049	0.8852
3500.000000	77.368	-0.0615
3550.000000	77.662	-1.4789
3600.000000	77.920	-3.3159
3650.000000	78.127	-5.5519
3700.000000	78.263	-8.1059
3750.000000	78.316	-10.8219
3820.000000	78.253	-14.6000
3870.000000	78.115	-17.1126
3950.000000	77.750	-20.4502
4000.000000	77.455	-21.9341
4060.000000	77.070	-23.0419
4120.000000	76.686	-23.4951
4180.000000	76.324	-23.4292
4250.000000	75.938	-22.8300
4310.000000	75.645	-21.9380
4370.000000	75.393	-20.7526
4440.000000	75.158	-19.0791
4500.000000	75.011	-17.4834
4550.000000	74.925	-16.0909
4620.000000	74.859	-14.0821
4680.000000	74.851	-12.3199
4750.000000	74.905	-10.2582
4820.000000	75.031	-8.2737
4870.000000	75.165	-6.9627
4940.000000	75.413	-5.3605
5000.000000	75.677	-4.2773
5080.000000	76.088	-3.3776
5150.000000	76.486	-3.2178
5220.000000	76.895	-3.7396
5300.000000	77.343	-5.2598
5380.000000	77.726	-7.8169
