* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2023 10:51:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: JBL TUNE760NC Wired Dec 30
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	71.156	134.4558
20.299999	71.378	132.5912
20.600000	71.602	130.7860
20.900000	71.823	129.0134
21.200001	72.035	127.2572
21.400000	72.168	126.0935
21.799999	72.410	123.7941
22.000000	72.516	122.6663
22.400000	72.699	120.4756
22.700001	72.813	118.9069
23.000000	72.910	117.4061
23.299999	72.996	115.9608
23.600000	73.074	114.5398
24.000000	73.168	112.6074
24.299999	73.227	111.0898
24.700001	73.281	108.9869
25.000000	73.303	107.4201
25.400000	73.323	105.4587
25.799999	73.372	103.6557
26.200001	73.483	101.7840
26.500000	73.602	100.1107
26.900000	73.755	97.3331
27.200001	73.821	94.9019
27.600000	73.798	91.6779
28.000000	73.656	89.1822
28.500000	73.450	87.8897
29.000000	73.451	88.1791
29.500000	73.721	88.5410
30.000000	74.073	87.9102
30.400000	74.304	86.8660
30.700001	74.438	86.0368
31.100000	74.596	85.0172
31.500000	74.750	83.9459
32.000000	74.905	82.1945
32.500000	74.957	80.0832
33.000000	74.936	78.0953
33.500000	74.960	76.0473
34.000000	75.052	72.7792
34.500000	75.033	67.6028
35.000000	74.677	61.9062
35.500000	73.937	58.6109
36.000000	73.130	59.5583
36.500000	72.840	63.2069
37.000000	73.240	65.7529
37.500000	73.874	64.9230
38.200001	74.524	60.1711
38.700001	74.850	56.7463
39.500000	75.395	51.9572
40.000000	75.643	48.5451
40.599998	75.657	44.6107
41.200001	75.396	42.5134
41.799999	75.103	42.7651
42.500000	74.988	44.3042
43.099998	75.029	45.0999
43.700001	75.049	45.2244
44.400002	75.009	45.1559
45.000000	74.976	45.0634
45.500000	74.969	44.8012
46.200001	74.968	44.0209
46.799999	74.958	43.1101
47.500000	74.951	41.9918
48.200001	74.972	40.7893
48.700001	74.995	39.8148
49.400002	75.009	38.3742
50.000000	75.000	37.2387
50.799999	74.986	35.9615
51.500000	74.988	34.9172
52.200001	74.992	33.7843
53.000000	74.979	32.3359
53.799999	74.930	30.8140
54.500000	74.854	29.5501
55.200001	74.756	28.4364
56.000000	74.623	27.4184
57.000000	74.436	26.6032
58.000000	74.234	26.2574
59.000000	74.016	26.4808
60.000000	73.852	27.1602
60.799999	73.792	27.5685
61.500000	73.778	27.6019
62.200001	73.786	27.2478
