* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2023 10:52:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: anc off
* Measurement: JBL TUNE760NC Wireless Dec 30
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.752	95.8542
20.299999	84.882	94.4515
20.600000	85.008	93.0766
20.900000	85.131	91.7313
21.200001	85.250	90.4160
21.400000	85.328	89.5557
21.799999	85.480	87.8754
22.000000	85.553	87.0556
22.400000	85.696	85.4559
22.700001	85.800	84.2888
23.000000	85.901	83.1470
23.299999	85.999	82.0278
23.600000	86.094	80.9290
24.000000	86.217	79.4888
24.299999	86.308	78.4167
24.700001	86.425	76.9758
25.000000	86.507	75.8745
25.400000	86.606	74.3837
25.799999	86.688	72.9147
26.200001	86.760	71.5369
26.500000	86.816	70.5838
26.900000	86.907	69.3771
27.200001	86.990	68.4567
27.600000	87.113	67.1056
28.000000	87.231	65.5741
28.500000	87.339	63.5314
29.000000	87.403	61.6519
29.500000	87.454	60.1328
30.000000	87.527	58.9173
30.400000	87.607	58.0499
30.700001	87.676	57.4163
31.100000	87.775	56.5691
31.500000	87.874	55.6982
32.000000	87.981	54.5649
32.500000	88.047	53.4941
33.000000	88.080	52.7993
33.500000	88.146	52.6758
34.000000	88.331	52.7567
34.500000	88.631	52.2296
35.000000	88.923	50.5037
35.500000	89.079	47.7982
36.000000	89.058	44.9918
36.500000	88.923	42.8578
37.000000	88.786	41.5065
37.500000	88.723	40.5176
38.200001	88.746	38.9386
38.700001	88.790	37.5096
39.500000	88.852	34.8557
40.000000	88.862	33.0834
40.599998	88.827	31.0998
41.200001	88.762	29.5485
41.799999	88.716	28.4327
42.500000	88.709	27.3401
43.099998	88.720	26.3894
43.700001	88.730	25.4390
44.400002	88.742	24.3263
45.000000	88.752	23.2994
45.500000	88.753	22.3853
46.200001	88.746	21.0645
46.799999	88.740	19.8976
47.500000	88.738	18.4357
48.200001	88.728	16.8567
48.700001	88.711	15.7086
49.400002	88.678	14.1658
50.000000	88.647	12.9409
50.799999	88.613	11.4205
51.500000	88.590	10.1315
52.200001	88.566	8.8369
53.000000	88.528	7.3398
53.799999	88.472	5.8296
54.500000	88.407	4.5012
55.200001	88.325	3.1780
56.000000	88.210	1.7122
57.000000	88.042	0.0428
58.000000	87.862	-1.3815
59.000000	87.682	-2.5293
60.000000	87.519	-3.3785
60.799999	87.415	-3.9417
61.500000	87.341	-4.4565
62.200001	87.271	-5.0184
63.000000	87.188	-5.6747
64.000000	87.090	-6.4537
65.000000	87.012	-7.2159
66.000000	86.959	-8.0474
67.000000	86.923	-9.0048
68.000000	86.888	-10.0966
69.000000	86.839	-11.2995
70.000000	86.759	-12.5592
71.000000	86.640	-13.7767
72.000000	86.490	-14.8763
73.000000	86.321	-15.8723
74.000000	86.138	-16.7844
75.000000	85.944	-17.5800
76.199997	85.707	-18.3273
77.500000	85.457	-18.8622
78.800003	85.217	-19.1332
80.000000	85.002	-19.1772
81.199997	84.793	-19.0605
82.500000	84.581	-18.7832
83.800003	84.399	-18.3782
85.000000	84.271	-17.9086
86.199997	84.187	-17.3653
87.500000	84.137	-16.7149
88.500000	84.116	-16.1594
90.000000	84.095	-15.1372
91.199997	84.108	-14.1769
92.500000	84.171	-13.2919
93.800003	84.260	-12.9496
95.000000	84.315	-13.1482
96.199997	84.336	-13.6013
97.500000	84.345	-14.2421
98.800003	84.356	-15.0765
100.000000	84.365	-16.0367
101.500000	84.363	-17.4050
103.000000	84.336	-18.7681
104.400002	84.277	-19.7983
106.000000	84.174	-20.4468
107.500000	84.062	-20.5291
109.000000	83.951	-20.2705
110.599998	83.863	-19.8207
112.000000	83.834	-19.4884
113.800003	83.862	-19.4165
115.000000	83.900	-19.6681
117.199997	83.955	-20.6790
118.000000	83.965	-21.2001
120.599998	83.930	-23.3742
122.000000	83.852	-24.5486
124.099998	83.699	-25.8774
125.000000	83.629	-26.3526
126.500000	83.500	-27.1284
128.000000	83.346	-27.8663
131.500000	82.955	-28.7654
132.000000	82.908	-28.7452
134.000000	82.755	-28.3651
136.000000	82.644	-27.8180
138.000000	82.547	-27.4698
140.000000	82.457	-27.4016
143.000000	82.344	-27.3964
145.000000	82.268	-27.2456
147.500000	82.161	-26.9777
150.000000	82.073	-26.9639
152.500000	81.998	-27.1549
155.000000	81.913	-27.1514
157.500000	81.805	-26.9270
160.000000	81.689	-26.6946
162.500000	81.589	-26.5776
165.000000	81.509	-26.5375
167.500000	81.430	-26.5288
170.000000	81.339	-26.5363
172.500000	81.235	-26.5226
175.000000	81.120	-26.4509
177.500000	81.003	-26.2830
180.000000	80.900	-26.0071
182.500000	80.818	-25.6957
185.000000	80.747	-25.4474
187.500000	80.671	-25.2705
190.000000	80.591	-25.1012
192.500000	80.506	-24.8850
195.000000	80.419	-24.5969
197.500000	80.333	-24.1967
200.000000	80.250	-23.6265
203.000000	80.155	-22.6683
206.000000	80.079	-21.4576
209.000000	80.055	-20.2106
212.000000	80.089	-19.1415
214.000000	80.136	-18.5734
218.000000	80.261	-17.7005
220.000000	80.334	-17.3346
224.000000	80.493	-16.7866
227.000000	80.615	-16.6820
230.000000	80.719	-16.8716
233.000000	80.791	-17.2597
236.000000	80.830	-17.7339
240.000000	80.845	-18.3578
243.000000	80.841	-18.7590
247.000000	80.821	-19.1759
250.000000	80.799	-19.4075
254.000000	80.764	-19.6458
258.000000	80.729	-19.8394
262.000000	80.699	-20.0024
265.000000	80.680	-20.1095
269.000000	80.654	-20.2423
272.000000	80.634	-20.3425
276.000000	80.604	-20.4827
280.000000	80.572	-20.6260
285.000000	80.527	-20.8033
290.000000	80.479	-20.9805
295.000000	80.430	-21.1608
300.000000	80.375	-21.3281
304.000000	80.326	-21.4207
307.000000	80.287	-21.4537
311.000000	80.234	-21.4442
315.000000	80.186	-21.3885
320.000000	80.135	-21.3135
325.000000	80.094	-21.2771
330.000000	80.058	-21.2689
335.000000	80.023	-21.2597
340.000000	79.985	-21.2448
345.000000	79.944	-21.2296
350.000000	79.897	-21.2084
355.000000	79.848	-21.1736
360.000000	79.798	-21.1307
365.000000	79.745	-21.0796
370.000000	79.693	-21.0110
375.000000	79.643	-20.9229
382.000000	79.581	-20.7788
387.000000	79.540	-20.6683
395.000000	79.469	-20.4500
400.000000	79.424	-20.2639
406.000000	79.376	-20.0013
412.000000	79.338	-19.7457
418.000000	79.308	-19.5385
425.000000	79.271	-19.3422
431.000000	79.239	-19.1796
437.000000	79.208	-19.0193
444.000000	79.176	-18.8480
450.000000	79.149	-18.7169
455.000000	79.125	-18.6187
462.000000	79.086	-18.4926
468.000000	79.049	-18.3806
475.000000	79.000	-18.2233
482.000000	78.948	-18.0255
487.000000	78.909	-17.8589
494.000000	78.857	-17.5948
500.000000	78.816	-17.3502
508.000000	78.768	-17.0122
515.000000	78.728	-16.7039
522.000000	78.688	-16.3835
530.000000	78.643	-16.0126
538.000000	78.598	-15.6356
545.000000	78.561	-15.2887
552.000000	78.525	-14.9178
560.000000	78.486	-14.4628
570.000000	78.443	-13.8609
580.000000	78.407	-13.2369
590.000000	78.376	-12.6012
600.000000	78.350	-11.9498
608.000000	78.334	-11.4236
615.000000	78.324	-10.9680
622.000000	78.317	-10.5168
630.000000	78.314	-9.9999
640.000000	78.320	-9.3536
650.000000	78.333	-8.7172
660.000000	78.350	-8.0881
670.000000	78.374	-7.4717
680.000000	78.400	-6.8862
690.000000	78.426	-6.3417
700.000000	78.455	-5.8242
710.000000	78.491	-5.3160
720.000000	78.532	-4.8215
730.000000	78.576	-4.3511
740.000000	78.622	-3.9086
750.000000	78.668	-3.5009
762.000000	78.722	-3.0734
775.000000	78.776	-2.6757
788.000000	78.825	-2.2947
800.000000	78.867	-1.9276
812.000000	78.911	-1.5543
825.000000	78.965	-1.1741
838.000000	79.023	-0.8370
850.000000	79.077	-0.5588
862.000000	79.127	-0.3058
875.000000	79.175	-0.0583
885.000000	79.206	0.1148
900.000000	79.247	0.3541
912.000000	79.275	0.5374
925.000000	79.298	0.7449
938.000000	79.311	0.9879
950.000000	79.317	1.2695
962.000000	79.319	1.6237
975.000000	79.323	2.0912
988.000000	79.336	2.6293
1000.000000	79.357	3.1715
1015.000000	79.396	3.9104
1030.000000	79.451	4.7203
1044.000000	79.527	5.4990
1060.000000	79.651	6.3063
1075.000000	79.800	6.8568
1090.000000	79.960	7.1065
1106.000000	80.107	7.0392
1120.000000	80.197	6.8275
1138.000000	80.267	6.5877
1150.000000	80.298	6.5015
1172.000000	80.342	6.4424
1180.000000	80.356	6.4409
1206.000000	80.387	6.5175
1220.000000	80.396	6.6144
1241.000000	80.401	6.8375
1250.000000	80.402	6.9656
1265.000000	80.401	7.2266
1280.000000	80.402	7.5486
1315.000000	80.413	8.5183
1320.000000	80.417	8.6750
1340.000000	80.441	9.3218
1360.000000	80.476	9.9827
1380.000000	80.522	10.6462
1400.000000	80.576	11.2880
1430.000000	80.657	12.1554
1450.000000	80.702	12.6912
1475.000000	80.742	13.3917
1500.000000	80.762	14.2146
1525.000000	80.768	15.2796
1550.000000	80.786	16.6828
1575.000000	80.856	18.3059
1600.000000	80.987	19.8531
1625.000000	81.143	21.1825
1650.000000	81.296	22.4127
1675.000000	81.449	23.6958
1700.000000	81.616	25.0538
1725.000000	81.807	26.4388
1750.000000	82.025	27.8123
1775.000000	82.272	29.1378
1800.000000	82.549	30.3538
1825.000000	82.850	31.3622
1850.000000	83.157	32.0926
1875.000000	83.453	32.5706
1900.000000	83.728	32.8864
1925.000000	83.979	33.1361
1950.000000	84.211	33.4051
1975.000000	84.435	33.7468
2000.000000	84.664	34.1721
2030.000000	84.958	34.7428
2060.000000	85.278	35.2800
2090.000000	85.619	35.7114
2120.000000	85.973	36.0040
2140.000000	86.213	36.1069
2180.000000	86.689	36.0817
2200.000000	86.921	35.9615
2240.000000	87.364	35.5314
2270.000000	87.668	35.0954
2300.000000	87.944	34.6921
2330.000000	88.210	34.4860
2360.000000	88.501	34.5250
2400.000000	88.967	34.6580
2430.000000	89.361	34.5487
