* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2023 10:52:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: JBL TUNE760NC Wireless De
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.039	82.2085
20.299999	88.046	80.2762
20.600000	88.053	78.4585
20.900000	88.062	76.7373
21.200001	88.074	75.0951
21.400000	88.084	74.0364
21.799999	88.107	71.9871
22.000000	88.121	70.9892
22.400000	88.150	69.0368
22.700001	88.172	67.6078
23.000000	88.193	66.2134
23.299999	88.214	64.8597
23.600000	88.235	63.5504
24.000000	88.268	61.8656
24.299999	88.297	60.6306
24.700001	88.339	58.9926
25.000000	88.370	57.7598
25.400000	88.408	56.1176
25.799999	88.438	54.5059
26.200001	88.465	52.9458
26.500000	88.486	51.8011
26.900000	88.516	50.2695
27.200001	88.537	49.0898
27.600000	88.554	47.4657
28.000000	88.550	45.8240
28.500000	88.512	43.8794
29.000000	88.457	42.1882
29.500000	88.414	40.7369
30.000000	88.402	39.3519
30.400000	88.407	38.1748
30.700001	88.412	37.2307
31.100000	88.410	35.9219
31.500000	88.394	34.6340
32.000000	88.365	33.1567
32.500000	88.347	31.8318
33.000000	88.347	30.5453
33.500000	88.354	29.2115
34.000000	88.349	27.8921
34.500000	88.335	26.7213
35.000000	88.337	25.7096
35.500000	88.371	24.6644
36.000000	88.413	23.3476
36.500000	88.413	21.7354
37.000000	88.339	20.0944
37.500000	88.200	18.7664
38.200001	87.979	17.6259
38.700001	87.852	17.0917
39.500000	87.691	16.1837
40.000000	87.590	15.5763
40.599998	87.471	14.9344
41.200001	87.378	14.3501
41.799999	87.315	13.6666
42.500000	87.258	12.6507
43.099998	87.203	11.6830
43.700001	87.141	10.7412
44.400002	87.070	9.7419
45.000000	87.016	8.9752
45.500000	86.977	8.3871
46.200001	86.931	7.6079
46.799999	86.894	6.9523
