* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of JVC-VICTOR HA-WM90B L, JVC-VICTOR HA-WM90B L, JVC-VICTOR HA-WM90B L
* Dated: Apr 9, 2024 4:33:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of JVC-VICTOR HA-WM90B L, JVC-VICTOR HA-WM90B L, JVC-VICTOR HA-WM90B L
* Measurement: RMS Avg HA-WM90B L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	76.308
20.299999	76.501
20.600000	76.689
20.900000	76.875
21.200001	77.061
21.400000	77.183
21.799999	77.422
22.000000	77.536
22.400000	77.749
22.700001	77.898
23.000000	78.041
23.299999	78.182
23.600000	78.324
24.000000	78.513
24.299999	78.651
24.700001	78.826
25.000000	78.949
25.400000	79.105
25.799999	79.261
26.200001	79.425
26.500000	79.553
26.900000	79.724
27.200001	79.847
27.600000	80.000
28.000000	80.140
28.500000	80.304
29.000000	80.468
29.500000	80.633
30.000000	80.791
30.400000	80.908
30.700001	80.991
31.100000	81.095
31.500000	81.193
32.000000	81.308
32.500000	81.415
33.000000	81.516
33.500000	81.615
34.000000	81.713
34.500000	81.812
35.000000	81.910
35.500000	82.002
36.000000	82.084
36.500000	82.156
37.000000	82.215
37.500000	82.264
38.200001	82.318
38.700001	82.351
39.500000	82.399
40.000000	82.430
40.599998	82.469
41.200001	82.506
41.799999	82.542
42.500000	82.577
43.099998	82.601
43.700001	82.616
44.400002	82.623
45.000000	82.620
45.500000	82.615
46.200001	82.606
46.799999	82.599
47.500000	82.594
48.200001	82.595
48.700001	82.599
49.400002	82.611
50.000000	82.626
50.799999	82.653
51.500000	82.682
52.200001	82.712
53.000000	82.744
53.799999	82.766
54.500000	82.774
55.200001	82.768
56.000000	82.742
57.000000	82.683
58.000000	82.611
59.000000	82.539
60.000000	82.473
60.799999	82.426
61.500000	82.388
62.200001	82.354
63.000000	82.316
64.000000	82.274
65.000000	82.243
66.000000	82.231
67.000000	82.245
68.000000	82.286
69.000000	82.350
70.000000	82.436
71.000000	82.539
72.000000	82.657
73.000000	82.786
74.000000	82.922
75.000000	83.063
76.199997	83.238
77.500000	83.430
78.800003	83.622
80.000000	83.794
81.199997	83.961
82.500000	84.134
83.800003	84.296
85.000000	84.437
86.199997	84.567
87.500000	84.694
88.500000	84.781
90.000000	84.896
91.199997	84.976
92.500000	85.057
93.800003	85.134
95.000000	85.202
96.199997	85.267
97.500000	85.329
98.800003	85.376
100.000000	85.397
101.500000	85.385
103.000000	85.321
104.400002	85.217
106.000000	85.059
107.500000	84.900
109.000000	84.766
110.599998	84.679
112.000000	84.661
113.800003	84.704
115.000000	84.763
117.199997	84.905
118.000000	84.962
120.599998	85.149
122.000000	85.243
124.099998	85.370
125.000000	85.418
126.500000	85.489
128.000000	85.550
131.500000	85.652
132.000000	85.662
134.000000	85.691
136.000000	85.704
138.000000	85.701
140.000000	85.683
143.000000	85.634
145.000000	85.587
147.500000	85.511
150.000000	85.418
152.500000	85.308
155.000000	85.183
157.500000	85.044
160.000000	84.894
162.500000	84.732
165.000000	84.562
167.500000	84.386
170.000000	84.209
172.500000	84.034
175.000000	83.862
177.500000	83.689
180.000000	83.512
182.500000	83.329
185.000000	83.137
187.500000	82.938
190.000000	82.733
192.500000	82.522
195.000000	82.308
197.500000	82.090
200.000000	81.871
203.000000	81.607
206.000000	81.341
209.000000	81.073
212.000000	80.802
214.000000	80.620
218.000000	80.257
220.000000	80.078
224.000000	79.727
227.000000	79.470
230.000000	79.220
233.000000	78.974
236.000000	78.731
240.000000	78.413
243.000000	78.178
247.000000	77.866
250.000000	77.633
254.000000	77.318
