* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of JVC-VICTOR HA-WM90B R, JVC-VICTOR HA-WM90B R
* Dated: Apr 9, 2024 4:33:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of JVC-VICTOR HA-WM90B R, JVC-VICTOR HA-WM90B R
* Measurement: RMS Avg HA-WM90B R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	76.673
20.299999	76.870
20.600000	77.060
20.900000	77.244
21.200001	77.421
21.400000	77.538
21.799999	77.766
22.000000	77.878
22.400000	78.095
22.700001	78.249
23.000000	78.396
23.299999	78.535
23.600000	78.671
24.000000	78.850
24.299999	78.988
24.700001	79.180
25.000000	79.328
25.400000	79.525
25.799999	79.716
26.200001	79.897
26.500000	80.025
26.900000	80.187
27.200001	80.304
27.600000	80.454
28.000000	80.596
28.500000	80.757
29.000000	80.900
29.500000	81.026
30.000000	81.141
30.400000	81.228
30.700001	81.291
31.100000	81.374
31.500000	81.457
32.000000	81.559
32.500000	81.656
33.000000	81.745
33.500000	81.825
34.000000	81.899
34.500000	81.968
35.000000	82.031
35.500000	82.088
36.000000	82.136
36.500000	82.179
37.000000	82.218
37.500000	82.258
38.200001	82.315
38.700001	82.355
39.500000	82.411
40.000000	82.441
40.599998	82.473
41.200001	82.499
41.799999	82.519
42.500000	82.530
43.099998	82.532
43.700001	82.531
44.400002	82.532
45.000000	82.535
45.500000	82.542
46.200001	82.563
46.799999	82.593
47.500000	82.643
48.200001	82.705
48.700001	82.754
49.400002	82.823
50.000000	82.879
50.799999	82.942
51.500000	82.983
52.200001	83.012
53.000000	83.025
53.799999	83.015
54.500000	82.986
55.200001	82.938
56.000000	82.863
57.000000	82.765
58.000000	82.692
59.000000	82.657
60.000000	82.654
60.799999	82.665
61.500000	82.676
62.200001	82.685
63.000000	82.691
64.000000	82.700
65.000000	82.720
66.000000	82.761
67.000000	82.825
68.000000	82.907
69.000000	83.002
70.000000	83.104
71.000000	83.209
72.000000	83.319
73.000000	83.434
74.000000	83.553
75.000000	83.675
76.199997	83.826
77.500000	83.996
78.800003	84.172
80.000000	84.336
81.199997	84.501
82.500000	84.679
83.800003	84.855
85.000000	85.013
86.199997	85.166
87.500000	85.326
88.500000	85.443
90.000000	85.609
91.199997	85.733
92.500000	85.857
93.800003	85.970
95.000000	86.064
96.199997	86.147
97.500000	86.223
98.800003	86.284
100.000000	86.326
101.500000	86.354
103.000000	86.348
104.400002	86.303
106.000000	86.196
107.500000	86.039
109.000000	85.835
110.599998	85.586
112.000000	85.365
113.800003	85.125
115.000000	85.018
117.199997	84.972
118.000000	85.001
120.599998	85.206
122.000000	85.339
124.099998	85.514
125.000000	85.574
126.500000	85.650
128.000000	85.702
131.500000	85.751
132.000000	85.753
134.000000	85.751
136.000000	85.739
138.000000	85.718
140.000000	85.688
143.000000	85.627
145.000000	85.573
147.500000	85.486
150.000000	85.376
152.500000	85.242
155.000000	85.087
157.500000	84.914
160.000000	84.725
162.500000	84.529
165.000000	84.335
167.500000	84.145
170.000000	83.955
172.500000	83.762
175.000000	83.569
177.500000	83.378
180.000000	83.192
182.500000	83.012
185.000000	82.840
187.500000	82.677
190.000000	82.521
192.500000	82.369
195.000000	82.214
197.500000	82.050
200.000000	81.876
203.000000	81.662
206.000000	81.457
209.000000	81.271
212.000000	81.107
214.000000	81.004
218.000000	80.796
220.000000	80.685
224.000000	80.444
227.000000	80.245
230.000000	80.033
233.000000	79.811
236.000000	79.581
240.000000	79.268
243.000000	79.030
247.000000	78.712
250.000000	78.474
254.000000	78.158
258.000000	77.847
262.000000	77.545
265.000000	77.329
269.000000	77.064
272.000000	76.880
276.000000	76.648
280.000000	76.421
285.000000	76.140
290.000000	75.869
295.000000	75.615
300.000000	75.377
304.000000	75.200
307.000000	75.075
311.000000	74.918
315.000000	74.776
320.000000	74.625
325.000000	74.509
330.000000	74.431
335.000000	74.378
340.000000	74.342
345.000000	74.317
350.000000	74.303
355.000000	74.298
360.000000	74.303
365.000000	74.315
370.000000	74.333
375.000000	74.354
382.000000	74.389
387.000000	74.418
395.000000	74.474
400.000000	74.513
406.000000	74.564
412.000000	74.618
418.000000	74.675
425.000000	74.745
431.000000	74.809
437.000000	74.877
444.000000	74.963
450.000000	75.039
455.000000	75.102
462.000000	75.189
468.000000	75.261
475.000000	75.342
482.000000	75.419
487.000000	75.472
494.000000	75.543
500.000000	75.602
508.000000	75.677
515.000000	75.739
522.000000	75.797
530.000000	75.861
538.000000	75.921
545.000000	75.971
552.000000	76.018
