* Measurement data measured by REW V5.20.13
* Source: Vector average
* Format: Vector average
* Dated: Aug 28, 2023 8:45:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Koss KE5w
* Measurement: Vector average
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	51.000	48.8808
20.299999	51.441	49.5035
20.600000	51.806	48.3106
20.900000	51.992	46.0048
21.200001	52.001	43.5803
21.400000	51.948	42.2596
21.799999	51.797	40.3198
22.000000	51.738	39.5594
22.400000	51.688	37.8593
22.700001	51.653	36.1187
23.000000	51.547	34.1278
23.299999	51.343	32.5110
23.600000	51.092	31.8382
24.000000	50.874	32.8078
24.299999	50.979	34.4518
24.700001	51.549	36.3685
25.000000	52.159	36.5333
25.400000	52.941	34.5237
25.799999	53.502	30.8010
26.200001	53.829	26.9784
26.500000	53.991	24.8099
26.900000	54.214	23.0896
27.200001	54.440	22.3795
27.600000	54.810	21.5828
28.000000	55.166	20.5395
28.500000	55.487	19.2744
29.000000	55.736	19.0707
29.500000	56.106	19.9626
30.000000	56.650	20.5207
30.400000	57.079	19.7864
30.700001	57.315	18.4983
31.100000	57.455	16.3484
31.500000	57.401	14.5052
32.000000	57.173	13.6321
32.500000	56.980	14.5031
33.000000	57.025	16.2817
33.500000	57.384	17.8549
34.000000	58.002	18.1185
34.500000	58.713	16.1169
35.000000	59.302	11.4319
35.500000	59.573	4.7532
36.000000	59.428	-1.9949
36.500000	58.910	-6.5108
37.000000	58.256	-7.4550
37.500000	57.824	-5.6205
38.200001	57.875	-2.6479
38.700001	58.088	-2.0925
39.500000	58.165	-2.0334
40.000000	58.119	-0.8547
40.599998	58.183	1.6780
41.200001	58.423	4.1245
41.799999	58.728	5.7089
42.500000	59.058	6.5123
43.099998	59.313	6.4082
43.700001	59.516	5.4519
44.400002	59.623	3.4635
45.000000	59.592	1.6580
45.500000	59.529	0.5290
46.200001	59.505	-0.4174
46.799999	59.600	-1.0603
47.500000	59.787	-2.0122
48.200001	59.984	-2.8201
48.700001	60.147	-2.9944
49.400002	60.458	-2.7374
50.000000	60.792	-2.5158
50.799999	61.217	-2.7643
51.500000	61.478	-3.4227
52.200001	61.599	-4.1337
53.000000	61.580	-4.5050
53.799999	61.485	-4.0294
54.500000	61.454	-3.1587
55.200001	61.525	-2.5137
