* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -34.9 dBFS, measurement signal peak level -32.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: May 29, 2023 6:48:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Koss KPH30i Grado Pads
* Measurement: Koss KPH30i Grado Pads
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	53.846	6.4584
20.299999	54.201	4.3999
20.600000	54.567	2.5781
20.900000	54.953	1.0465
21.200001	55.366	-0.2504
21.400000	55.649	-1.0518
21.799999	56.215	-2.5562
22.000000	56.490	-3.2612
22.400000	57.016	-4.5128
22.700001	57.401	-5.2954
23.000000	57.784	-6.0466
23.299999	58.146	-6.9556
23.600000	58.450	-8.1069
24.000000	58.701	-9.8414
24.299999	58.752	-10.8123
24.700001	58.696	-10.8801
25.000000	58.672	-9.7727
25.400000	58.835	-7.2897
25.799999	59.257	-5.2257
26.200001	59.733	-4.9696
26.500000	59.970	-5.9279
26.900000	60.035	-7.6378
27.200001	59.940	-8.1907
27.600000	59.815	-7.1534
28.000000	59.981	-4.7161
28.500000	60.697	-2.5597
29.000000	61.537	-3.9835
29.500000	62.113	-8.5112
30.000000	62.379	-13.8069
30.400000	62.468	-17.5337
30.700001	62.508	-19.9436
31.100000	62.546	-22.7450
31.500000	62.563	-25.0486
32.000000	62.583	-26.9440
32.500000	62.706	-27.7323
33.000000	62.996	-28.2166
33.500000	63.358	-29.2559
34.000000	63.661	-30.8411
34.500000	63.898	-32.3303
35.000000	64.146	-33.5651
35.500000	64.420	-35.0925
36.000000	64.622	-37.2317
36.500000	64.682	-39.4395
37.000000	64.662	-40.8909
37.500000	64.694	-41.5363
38.200001	64.899	-42.4021
38.700001	65.050	-43.3805
39.500000	65.255	-44.0760
40.000000	65.503	-43.6929
40.599998	65.962	-43.3671
41.200001	66.438	-43.9158
41.799999	66.826	-44.8984
42.500000	67.206	-45.7755
43.099998	67.517	-46.3335
43.700001	67.789	-46.9487
44.400002	68.032	-47.6058
45.000000	68.207	-47.9144
45.500000	68.367	-48.0438
46.200001	68.641	-48.4065
46.799999	68.899	-49.2883
47.500000	69.151	-51.1633
48.200001	69.300	-53.5967
48.700001	69.350	-55.3956
49.400002	69.367	-57.7833
50.000000	69.349	-59.5814
50.799999	69.320	-61.3401
51.500000	69.370	-62.2939
52.200001	69.529	-63.1730
53.000000	69.789	-64.5675
53.799999	70.068	-66.3289
54.500000	70.318	-68.0616
55.200001	70.558	-69.9763
56.000000	70.797	-72.2469
57.000000	71.049	-74.9668
58.000000	71.217	-77.4890
59.000000	71.284	-79.1726
60.000000	71.388	-79.8040
60.799999	71.538	-80.2090
61.500000	71.681	-80.7880
62.200001	71.812	-81.5837
63.000000	71.935	-82.6996
64.000000	72.054	-84.2682
65.000000	72.163	-85.9419
66.000000	72.274	-87.7990
67.000000	72.372	-89.8019
68.000000	72.450	-91.7722
69.000000	72.514	-93.6031
70.000000	72.565	-95.2881
71.000000	72.596	-96.8452
72.000000	72.599	-98.2351
73.000000	72.582	-99.3911
74.000000	72.564	-100.3231
75.000000	72.557	-101.0898
76.199997	72.579	-101.8682
77.500000	72.653	-102.6805
78.800003	72.776	-103.6124
80.000000	72.923	-104.6439
81.199997	73.089	-105.8950
82.500000	73.256	-107.4854
83.800003	73.387	-109.1259
85.000000	73.478	-110.5165
86.199997	73.555	-111.7605
87.500000	73.633	-113.0234
88.500000	73.691	-113.9922
90.000000	73.776	-115.4961
91.199997	73.840	-116.7406
92.500000	73.905	-118.1139
93.800003	73.962	-119.5149
95.000000	74.000	-120.8152
96.199997	74.021	-122.0599
97.500000	74.038	-123.3018
98.800003	74.062	-124.4941
100.000000	74.085	-125.6050
101.500000	74.109	-126.9614
103.000000	74.127	-128.2246
104.400002	74.141	-129.3176
106.000000	74.158	-130.4932
107.500000	74.177	-131.5793
109.000000	74.200	-132.7178
110.599998	74.222	-134.0162
112.000000	74.235	-135.1884
113.800003	74.246	-136.6665
115.000000	74.252	-137.6177
117.199997	74.258	-139.2806
118.000000	74.257	-139.8534
120.599998	74.238	-141.5891
122.000000	74.222	-142.4656
124.099998	74.192	-143.8383
125.000000	74.171	-144.4363
126.500000	74.124	-145.3622
128.000000	74.073	-146.1536
131.500000	73.976	-147.6750
132.000000	73.965	-147.8818
134.000000	73.931	-148.7328
136.000000	73.909	-149.6392
138.000000	73.890	-150.5723
140.000000	73.865	-151.4723
143.000000	73.812	-152.7291
145.000000	73.767	-153.5247
147.500000	73.703	-154.4839
150.000000	73.638	-155.4260
152.500000	73.578	-156.3682
155.000000	73.524	-157.2168
157.500000	73.482	-157.9165
160.000000	73.445	-158.5369
162.500000	73.408	-159.1476
165.000000	73.373	-159.7810
167.500000	73.337	-160.4402
170.000000	73.292	-161.1267
172.500000	73.241	-161.8376
175.000000	73.187	-162.5527
177.500000	73.134	-163.2506
180.000000	73.076	-163.9089
182.500000	73.012	-164.4885
185.000000	72.945	-164.9707
187.500000	72.883	-165.3821
190.000000	72.830	-165.7491
192.500000	72.787	-166.0947
195.000000	72.754	-166.4423
197.500000	72.726	-166.8062
200.000000	72.701	-167.1991
203.000000	72.669	-167.7067
206.000000	72.627	-168.2305
209.000000	72.577	-168.7426
212.000000	72.520	-169.2255
214.000000	72.480	-169.5356
218.000000	72.401	-170.0907
220.000000	72.362	-170.3087
224.000000	72.289	-170.6569
227.000000	72.233	-170.9069
230.000000	72.179	-171.1909
233.000000	72.126	-171.5375
236.000000	72.073	-171.9275
240.000000	72.004	-172.3710
243.000000	71.955	-172.5547
247.000000	71.893	-172.6431
250.000000	71.848	-172.7058
254.000000	71.793	-172.9265
258.000000	71.753	-173.2693
262.000000	71.713	-173.5907
265.000000	71.673	-173.7877
269.000000	71.617	-174.0291
272.000000	71.575	-174.2184
276.000000	71.515	-174.4750
280.000000	71.447	-174.6941
285.000000	71.368	-174.8977
290.000000	71.298	-175.0887
295.000000	71.231	-175.3179
300.000000	71.162	-175.5498
304.000000	71.105	-175.7080
307.000000	71.059	-175.8062
311.000000	70.993	-175.9056
315.000000	70.928	-175.9685
320.000000	70.854	-176.0072
325.000000	70.789	-176.0226
330.000000	70.729	-176.0353
335.000000	70.671	-176.0289
340.000000	70.611	-175.9592
345.000000	70.551	-175.8293
350.000000	70.490	-175.6768
355.000000	70.429	-175.4998
360.000000	70.376	-175.2985
365.000000	70.337	-175.1222
370.000000	70.302	-175.0002
375.000000	70.258	-174.9113
382.000000	70.187	-174.7821
387.000000	70.140	-174.6602
395.000000	70.072	-174.4368
400.000000	70.033	-174.3247
406.000000	69.988	-174.2050
412.000000	69.944	-174.0548
418.000000	69.901	-173.8478
425.000000	69.848	-173.5391
431.000000	69.803	-173.2642
437.000000	69.759	-173.0386
444.000000	69.715	-172.8282
450.000000	69.680	-172.6301
455.000000	69.652	-172.4282
462.000000	69.618	-172.1124
468.000000	69.595	-171.8444
475.000000	69.571	-171.5422
482.000000	69.549	-171.2605
487.000000	69.533	-171.0758
494.000000	69.508	-170.8295
500.000000	69.485	-170.6238
508.000000	69.456	-170.3564
515.000000	69.431	-170.1143
522.000000	69.403	-169.8597
530.000000	69.363	-169.5525
538.000000	69.316	-169.1898
545.000000	69.277	-168.8051
552.000000	69.246	-168.3777
560.000000	69.225	-167.8662
570.000000	69.216	-167.2104
580.000000	69.221	-166.5967
590.000000	69.237	-166.0941
600.000000	69.256	-165.7136
608.000000	69.267	-165.4886
615.000000	69.267	-165.3348
622.000000	69.255	-165.1985
630.000000	69.224	-165.0193
640.000000	69.173	-164.6859
650.000000	69.122	-164.2061
660.000000	69.086	-163.6162
670.000000	69.069	-162.9731
680.000000	69.069	-162.3361
690.000000	69.076	-161.7625
700.000000	69.082	-161.2778
710.000000	69.085	-160.8477
720.000000	69.085	-160.4181
730.000000	69.082	-159.9570
740.000000	69.077	-159.4530
750.000000	69.073	-158.9119
762.000000	69.074	-158.2434
775.000000	69.085	-157.5236
788.000000	69.104	-156.8158
800.000000	69.128	-156.1682
812.000000	69.157	-155.5295
825.000000	69.191	-154.8669
838.000000	69.228	-154.2484
850.000000	69.262	-153.7104
862.000000	69.297	-153.1951
875.000000	69.336	-152.6570
885.000000	69.365	-152.2507
900.000000	69.404	-151.6545
912.000000	69.429	-151.1897
925.000000	69.453	-150.6812
938.000000	69.478	-150.1665
950.000000	69.503	-149.7003
962.000000	69.528	-149.2394
975.000000	69.556	-148.7230
988.000000	69.582	-148.1763
1000.000000	69.602	-147.6484
1015.000000	69.628	-146.9666
1030.000000	69.659	-146.2526
1044.000000	69.694	-145.5653
1060.000000	69.742	-144.7954
1075.000000	69.793	-144.1029
1090.000000	69.850	-143.4207
1106.000000	69.915	-142.6870
1120.000000	69.973	-142.0554
1138.000000	70.046	-141.2722
1150.000000	70.095	-140.7576
1172.000000	70.182	-139.8271
1180.000000	70.213	-139.4973
1206.000000	70.315	-138.4404
1220.000000	70.374	-137.8490
1241.000000	70.471	-136.9214
1250.000000	70.517	-136.5239
1265.000000	70.596	-135.8882
1280.000000	70.679	-135.2996
1315.000000	70.863	-134.0126
1320.000000	70.887	-133.8239
1340.000000	70.986	-133.0277
1360.000000	71.095	-132.1670
1380.000000	71.223	-131.3073
1400.000000	71.368	-130.5597
1430.000000	71.584	-129.6976
1450.000000	71.720	-129.1848
1475.000000	71.893	-128.6027
1500.000000	72.062	-128.1838
1525.000000	72.203	-127.8779
1550.000000	72.315	-127.5527
1575.000000	72.411	-127.0947
1600.000000	72.510	-126.5198
1625.000000	72.606	-125.8995
1650.000000	72.690	-125.1102
1675.000000	72.797	-124.0552
1700.000000	72.955	-122.9253
1725.000000	73.152	-121.9600
1750.000000	73.357	-121.1948
1775.000000	73.560	-120.5184
1800.000000	73.772	-119.9147
1825.000000	73.986	-119.4675
1850.000000	74.187	-119.1848
1875.000000	74.361	-118.9438
1900.000000	74.522	-118.5503
1925.000000	74.711	-117.9429
1950.000000	74.954	-117.4094
1975.000000	75.215	-117.2743
2000.000000	75.441	-117.4965
2030.000000	75.648	-117.8921
2060.000000	75.810	-118.1471
2090.000000	75.957	-118.1797
2120.000000	76.109	-118.0272
2140.000000	76.219	-117.8632
2180.000000	76.461	-117.4225
2200.000000	76.600	-117.1553
2240.000000	76.916	-116.7020
2270.000000	77.171	-116.5205
2300.000000	77.439	-116.4335
2330.000000	77.730	-116.4829
2360.000000	78.036	-116.7926
2400.000000	78.431	-117.6987
2430.000000	78.692	-118.7100
2470.000000	78.966	-120.2932
2500.000000	79.120	-121.4194
2540.000000	79.302	-122.6134
2580.000000	79.508	-123.6429
2620.000000	79.723	-124.8772
2650.000000	79.859	-125.9532
2690.000000	79.993	-127.3273
2720.000000	80.081	-128.1371
2760.000000	80.232	-128.9575
2800.000000	80.445	-129.8192
2850.000000	80.757	-131.4490
2900.000000	81.039	-133.8250
2950.000000	81.233	-136.7510
3000.000000	81.317	-139.8594
3040.000000	81.312	-142.2373
