* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -35.4 dBFS, measurement signal peak level -31.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: May 29, 2023 6:46:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Koss KPH30i Stock Pads
* Measurement: Koss KPH30i Stock Pads
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	59.913	-6.4556
20.299999	60.220	-6.4307
20.600000	60.573	-6.2673
20.900000	60.961	-5.9773
21.200001	61.393	-5.5144
21.400000	61.718	-5.1549
21.799999	62.447	-4.6019
22.000000	62.833	-4.5774
22.400000	63.577	-5.3430
22.700001	64.049	-6.6136
23.000000	64.412	-8.2125
23.299999	64.675	-9.7556
23.600000	64.871	-10.9911
24.000000	65.102	-12.0454
24.299999	65.293	-12.6050
24.700001	65.573	-13.5142
25.000000	65.763	-14.5403
25.400000	65.934	-16.2990
25.799999	65.997	-18.0352
26.200001	66.005	-19.3118
26.500000	66.028	-19.9750
26.900000	66.121	-20.7880
27.200001	66.229	-21.6282
27.600000	66.371	-23.2291
28.000000	66.452	-25.1519
28.500000	66.460	-27.2363
29.000000	66.473	-28.3602
29.500000	66.611	-28.7523
30.000000	66.886	-29.1286
30.400000	67.148	-29.6943
30.700001	67.340	-30.2354
31.100000	67.577	-30.9225
31.500000	67.810	-31.3912
32.000000	68.144	-31.6007
32.500000	68.568	-31.7255
33.000000	69.049	-32.4044
33.500000	69.487	-34.0386
34.000000	69.784	-36.4191
34.500000	69.912	-38.7932
35.000000	69.936	-40.4787
35.500000	69.974	-41.3243
36.000000	70.107	-41.7586
36.500000	70.340	-42.3179
37.000000	70.629	-43.3135
37.500000	70.930	-44.7995
38.200001	71.302	-47.5901
38.700001	71.483	-49.8117
39.500000	71.630	-52.6350
40.000000	71.717	-53.5699
40.599998	71.902	-54.1906
41.200001	72.150	-54.9504
41.799999	72.375	-56.0514
42.500000	72.568	-57.3793
43.099998	72.714	-58.3333
