* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -37.7 dBFS, measurement signal peak level -33.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: May 29, 2023 5:16:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Koss KPH30i Yaxi Pads
* Measurement: Koss KPH30i Yaxi Pads
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	66.986	-35.3199
20.299999	67.162	-36.0083
20.600000	67.315	-36.5191
20.900000	67.467	-36.8140
21.200001	67.641	-36.9669
21.400000	67.773	-37.0786
21.799999	68.059	-37.4557
22.000000	68.205	-37.7589
22.400000	68.479	-38.5659
22.700001	68.666	-39.2296
23.000000	68.846	-39.8315
23.299999	69.038	-40.3501
23.600000	69.253	-40.8374
24.000000	69.578	-41.5828
24.299999	69.840	-42.3235
24.700001	70.186	-43.6023
25.000000	70.429	-44.7311
25.400000	70.722	-46.3386
25.799999	70.984	-47.9290
26.200001	71.224	-49.4321
26.500000	71.391	-50.4936
26.900000	71.599	-51.8163
27.200001	71.744	-52.7262
27.600000	71.928	-53.8091
28.000000	72.109	-54.7489
28.500000	72.342	-55.8231
29.000000	72.576	-56.9621
29.500000	72.783	-58.2363
30.000000	72.946	-59.5122
30.400000	73.055	-60.3981
30.700001	73.135	-60.9555
31.100000	73.256	-61.6051
31.500000	73.397	-62.2429
32.000000	73.589	-63.1353
32.500000	73.785	-64.1106
33.000000	73.994	-65.0725
33.500000	74.230	-66.0558
34.000000	74.487	-67.2407
34.500000	74.725	-68.7079
35.000000	74.910	-70.2758
35.500000	75.050	-71.6295
36.000000	75.184	-72.6398
36.500000	75.337	-73.4439
37.000000	75.501	-74.2368
37.500000	75.657	-75.0380
38.200001	75.875	-76.0126
38.700001	76.059	-76.6899
39.500000	76.379	-78.3770
40.000000	76.533	-79.8740
40.599998	76.643	-81.7424
41.200001	76.715	-83.3271
41.799999	76.801	-84.6807
42.500000	76.921	-86.2434
43.099998	77.015	-87.5266
43.700001	77.113	-88.5672
44.400002	77.268	-89.5140
45.000000	77.437	-90.3032
45.500000	77.587	-91.0184
46.200001	77.799	-92.1206
46.799999	77.972	-93.2339
47.500000	78.122	-94.7747
48.200001	78.187	-96.2971
48.700001	78.198	-97.1685
49.400002	78.212	-98.0690
50.000000	78.242	-98.7247
50.799999	78.297	-99.5826
51.500000	78.363	-100.2711
52.200001	78.465	-100.9565
53.000000	78.617	-101.9421
53.799999	78.769	-103.2135
54.500000	78.880	-104.4533
55.200001	78.965	-105.6853
56.000000	79.040	-107.0125
57.000000	79.106	-108.5661
58.000000	79.144	-109.9057
59.000000	79.202	-111.0132
60.000000	79.298	-112.2612
60.799999	79.369	-113.4248
61.500000	79.420	-114.4386
62.200001	79.467	-115.3744
63.000000	79.523	-116.3143
64.000000	79.607	-117.2903
65.000000	79.713	-118.1667
66.000000	79.824	-119.0747
67.000000	79.923	-120.0245
68.000000	80.011	-121.0173
69.000000	80.086	-122.0811
70.000000	80.149	-123.2186
71.000000	80.202	-124.3978
72.000000	80.247	-125.5913
73.000000	80.286	-126.7810
74.000000	80.317	-127.9325
75.000000	80.341	-129.0148
76.199997	80.365	-130.2269
77.500000	80.384	-131.4857
78.800003	80.383	-132.6942
80.000000	80.366	-133.6785
81.199997	80.354	-134.5618
82.500000	80.343	-135.5300
83.800003	80.322	-136.4520
85.000000	80.308	-137.2147
86.199997	80.305	-137.9454
87.500000	80.313	-138.7283
88.500000	80.322	-139.3180
90.000000	80.338	-140.1686
91.199997	80.349	-140.8140
92.500000	80.360	-141.4942
93.800003	80.367	-142.1900
95.000000	80.368	-142.8591
96.199997	80.360	-143.5230
97.500000	80.344	-144.1696
98.800003	80.329	-144.6867
100.000000	80.323	-145.0552
101.500000	80.329	-145.4261
103.000000	80.347	-145.7599
104.400002	80.376	-146.0908
106.000000	80.425	-146.5303
107.500000	80.486	-147.0257
109.000000	80.556	-147.6375
110.599998	80.622	-148.4216
112.000000	80.662	-149.1861
113.800003	80.690	-150.2465
115.000000	80.698	-150.9969
117.199997	80.699	-152.4183
118.000000	80.696	-152.9172
120.599998	80.668	-154.2120
