* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -31.4 dBFS, measurement signal peak level -20.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: Jun 2, 2023 9:38:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Koss KSC21
* Measurement: Koss KSC21
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	48.258	61.4254
20.299999	50.067	67.1202
20.600000	51.629	67.9549
20.900000	52.737	64.7148
21.200001	53.432	60.0716
21.400000	53.745	57.5824
21.799999	54.238	54.9793
22.000000	54.533	54.8812
22.400000	55.383	55.7770
22.700001	56.155	55.7536
23.000000	56.847	53.9686
23.299999	57.322	50.4685
23.600000	57.514	46.0012
24.000000	57.309	40.2888
24.299999	56.872	37.4844
24.700001	56.098	36.3569
25.000000	55.556	36.8675
25.400000	55.054	37.6892
25.799999	54.726	37.0942
26.200001	54.318	35.2976
26.500000	53.880	34.2768
26.900000	53.242	34.6126
27.200001	52.958	36.1064
27.600000	53.127	38.3120
28.000000	53.838	38.4309
28.500000	54.864	34.0939
29.000000	55.595	26.8357
29.500000	56.039	20.0126
30.000000	56.386	15.5090
30.400000	56.683	13.6004
30.700001	56.936	12.9751
31.100000	57.332	12.9522
31.500000	57.806	13.4264
32.000000	58.439	13.6283
32.500000	58.891	12.4816
33.000000	58.917	11.1679
33.500000	58.532	12.8665
34.000000	58.230	19.4464
34.500000	58.623	27.7811
35.000000	59.495	32.3849
35.500000	60.137	30.8899
36.000000	60.250	26.0465
36.500000	60.009	21.5001
37.000000	59.858	17.8325
37.500000	60.026	12.5152
38.200001	60.257	-0.9918
38.700001	59.934	-12.1785
39.500000	58.525	-19.9794
40.000000	57.808	-16.2901
40.599998	58.006	-9.0406
41.200001	58.910	-5.6536
41.799999	59.715	-6.4661
42.500000	60.321	-8.3821
43.099998	60.712	-8.8738
43.700001	61.039	-8.6487
44.400002	61.291	-7.9348
45.000000	61.428	-6.6966
45.500000	61.584	-5.2135
46.200001	61.975	-3.3502
46.799999	62.422	-3.0725
47.500000	62.891	-4.7707
48.200001	63.202	-7.7957
48.700001	63.344	-10.0938
49.400002	63.499	-12.9261
50.000000	63.640	-14.8495
50.799999	63.877	-16.7506
51.500000	64.127	-17.9499
52.200001	64.401	-18.9235
53.000000	64.701	-20.1040
53.799999	64.901	-21.5280
54.500000	64.957	-22.5852
55.200001	64.976	-23.0284
56.000000	65.102	-23.2043
57.000000	65.405	-24.7205
58.000000	65.614	-27.9380
59.000000	65.677	-31.1019
60.000000	65.755	-32.9814
60.799999	65.948	-33.5980
61.500000	66.227	-33.9977
62.200001	66.548	-34.6631
63.000000	66.885	-35.8042
64.000000	67.202	-37.4883
65.000000	67.398	-39.0916
66.000000	67.518	-40.4237
67.000000	67.620	-41.6256
68.000000	67.727	-42.9653
69.000000	67.835	-44.5259
70.000000	67.949	-46.1749
71.000000	68.084	-47.7795
72.000000	68.250	-49.3388
73.000000	68.435	-50.8929
74.000000	68.617	-52.4747
75.000000	68.774	-54.0774
76.199997	68.919	-55.9387
77.500000	69.040	-57.8666
78.800003	69.134	-59.7487
80.000000	69.216	-61.3836
81.199997	69.313	-62.9435
82.500000	69.429	-64.6092
83.800003	69.541	-66.2208
85.000000	69.635	-67.6300
86.199997	69.721	-68.9621
87.500000	69.813	-70.3516
88.500000	69.886	-71.4081
90.000000	70.001	-72.9721
91.199997	70.093	-74.1872
92.500000	70.188	-75.4542
93.800003	70.273	-76.6698
95.000000	70.344	-77.7764
96.199997	70.413	-78.8934
97.500000	70.493	-80.1181
98.800003	70.589	-81.3774
100.000000	70.682	-82.5762
101.500000	70.786	-84.0595
103.000000	70.855	-85.4497
104.400002	70.886	-86.6699
106.000000	70.894	-88.0473
107.500000	70.905	-89.3921
109.000000	70.944	-90.8311
110.599998	71.012	-92.4381
112.000000	71.072	-93.7572
113.800003	71.131	-95.1706
115.000000	71.160	-95.9939
117.199997	71.188	-97.6033
118.000000	71.188	-98.2499
120.599998	71.184	-100.3166
122.000000	71.198	-101.2784
124.099998	71.246	-102.4708
125.000000	71.273	-102.9335
126.500000	71.318	-103.7243
128.000000	71.351	-104.5850
131.500000	71.359	-106.5873
132.000000	71.358	-106.8428
134.000000	71.364	-107.8201
136.000000	71.389	-108.8013
138.000000	71.431	-109.8430
140.000000	71.474	-110.9601
143.000000	71.488	-112.6244
145.000000	71.446	-113.3784
147.500000	71.401	-113.6600
150.000000	71.403	-113.8622
152.500000	71.384	-114.4317
155.000000	71.352	-115.1256
157.500000	71.340	-115.7433
160.000000	71.347	-116.2258
162.500000	71.366	-116.7024
165.000000	71.398	-117.3139
167.500000	71.426	-118.0584
170.000000	71.423	-118.7907
172.500000	71.399	-119.4321
175.000000	71.378	-120.0894
177.500000	71.373	-120.7673
180.000000	71.384	-121.3965
182.500000	71.406	-121.9540
185.000000	71.430	-122.4600
187.500000	71.448	-122.9433
190.000000	71.459	-123.3970
192.500000	71.466	-123.8204
195.000000	71.470	-124.2266
197.500000	71.471	-124.6195
200.000000	71.473	-125.0027
203.000000	71.478	-125.4620
206.000000	71.485	-125.9173
209.000000	71.490	-126.3205
212.000000	71.500	-126.6558
214.000000	71.511	-126.8669
218.000000	71.536	-127.3282
220.000000	71.546	-127.5761
224.000000	71.561	-128.0845
227.000000	71.573	-128.4804
230.000000	71.590	-128.8878
233.000000	71.613	-129.3172
236.000000	71.641	-129.7948
240.000000	71.677	-130.4802
243.000000	71.696	-130.9584
247.000000	71.715	-131.5566
250.000000	71.724	-132.0667
254.000000	71.722	-132.8825
258.000000	71.700	-133.8204
262.000000	71.648	-134.8066
265.000000	71.580	-135.4972
269.000000	71.446	-136.2140
272.000000	71.325	-136.5087
276.000000	71.167	-136.4888
280.000000	71.042	-136.0182
285.000000	70.950	-135.0763
290.000000	70.927	-134.1947
295.000000	70.959	-133.7604
300.000000	71.015	-133.8507
304.000000	71.054	-134.1693
307.000000	71.073	-134.4884
311.000000	71.075	-134.9808
315.000000	71.043	-135.5083
320.000000	70.943	-136.0562
325.000000	70.784	-136.2062
330.000000	70.614	-135.8362
335.000000	70.479	-135.0406
340.000000	70.395	-133.9713
345.000000	70.366	-132.8406
350.000000	70.385	-131.8596
355.000000	70.431	-131.0930
360.000000	70.486	-130.4789
365.000000	70.538	-129.9703
370.000000	70.590	-129.5735
375.000000	70.643	-129.2698
382.000000	70.724	-128.8843
387.000000	70.781	-128.5974
395.000000	70.857	-128.2003
400.000000	70.898	-128.0332
406.000000	70.950	-127.8647
412.000000	71.004	-127.6435
418.000000	71.053	-127.3567
425.000000	71.098	-127.0258
431.000000	71.130	-126.7959
437.000000	71.165	-126.6020
444.000000	71.209	-126.3877
450.000000	71.239	-126.2380
455.000000	71.254	-126.1411
462.000000	71.266	-125.9837
468.000000	71.276	-125.7858
475.000000	71.291	-125.4956
482.000000	71.309	-125.1725
487.000000	71.320	-124.9262
494.000000	71.337	-124.5633
500.000000	71.352	-124.2495
508.000000	71.377	-123.8352
515.000000	71.404	-123.4765
522.000000	71.435	-123.1302
530.000000	71.471	-122.7510
538.000000	71.508	-122.3888
545.000000	71.539	-122.0733
552.000000	71.568	-121.7362
560.000000	71.597	-121.3497
570.000000	71.637	-120.9144
580.000000	71.681	-120.4847
590.000000	71.723	-120.0425
600.000000	71.761	-119.5856
608.000000	71.788	-119.1972
615.000000	71.808	-118.8480
622.000000	71.825	-118.4993
630.000000	71.845	-118.1053
640.000000	71.876	-117.6055
650.000000	71.908	-117.0873
660.000000	71.938	-116.5638
670.000000	71.969	-116.0545
680.000000	72.001	-115.5758
690.000000	72.033	-115.0970
700.000000	72.064	-114.5791
710.000000	72.098	-114.0494
720.000000	72.133	-113.5353
730.000000	72.165	-113.0375
740.000000	72.193	-112.5478
750.000000	72.219	-112.0422
762.000000	72.252	-111.3931
775.000000	72.289	-110.6684
788.000000	72.322	-109.9732
800.000000	72.353	-109.3423
812.000000	72.388	-108.6938
825.000000	72.428	-107.9708
838.000000	72.466	-107.2372
850.000000	72.499	-106.5559
862.000000	72.531	-105.8746
875.000000	72.566	-105.1445
885.000000	72.592	-104.5871
900.000000	72.627	-103.7471
912.000000	72.651	-103.0586
925.000000	72.677	-102.2800
938.000000	72.703	-101.4815
950.000000	72.729	-100.7526
962.000000	72.759	-100.0332
975.000000	72.795	-99.2531
988.000000	72.830	-98.4799
1000.000000	72.858	-97.7758
1015.000000	72.885	-96.8929
1030.000000	72.906	-95.9750
1044.000000	72.924	-95.0669
1060.000000	72.946	-93.9821
1075.000000	72.969	-92.9387
1090.000000	72.996	-91.8781
1106.000000	73.029	-90.7318
1120.000000	73.060	-89.7185
1138.000000	73.101	-88.4049
1150.000000	73.127	-87.5263
1172.000000	73.172	-85.9021
1180.000000	73.187	-85.2999
1206.000000	73.245	-83.2810
1220.000000	73.284	-82.1638
1241.000000	73.350	-80.4777
1250.000000	73.380	-79.7580
1265.000000	73.428	-78.5649
1280.000000	73.473	-77.3728
1315.000000	73.574	-74.5611
1320.000000	73.589	-74.1577
1340.000000	73.652	-72.5366
1360.000000	73.716	-70.8747
1380.000000	73.784	-69.1772
1400.000000	73.859	-67.4983
1430.000000	73.975	-65.0522
1450.000000	74.046	-63.4326
1475.000000	74.115	-61.3576
1500.000000	74.159	-59.1866
1525.000000	74.175	-56.7775
1550.000000	74.186	-53.8044
1575.000000	74.278	-50.3302
1600.000000	74.478	-46.9757
1625.000000	74.713	-44.0630
1650.000000	74.921	-41.4137
1675.000000	75.091	-38.7429
1700.000000	75.249	-35.8865
1725.000000	75.418	-32.7818
1750.000000	75.616	-29.3742
1775.000000	75.860	-25.7447
1800.000000	76.152	-22.0075
1825.000000	76.498	-18.1730
1850.000000	76.914	-14.2734
1875.000000	77.402	-10.4151
1900.000000	77.949	-6.7365
1925.000000	78.538	-3.2649
1950.000000	79.178	0.0714
1975.000000	79.883	3.2154
2000.000000	80.642	5.9681
2030.000000	81.589	8.5900
2060.000000	82.547	10.5722
2090.000000	83.514	12.0628
2120.000000	84.497	13.1134
2140.000000	85.162	13.5288
2180.000000	86.478	13.3910
2200.000000	87.104	12.8084
2240.000000	88.265	10.8374
2270.000000	89.054	8.8706
2300.000000	89.784	6.6576
2330.000000	90.467	4.2593
2360.000000	91.107	1.6804
2400.000000	91.896	-2.0766
2430.000000	92.431	-5.1802
2470.000000	93.042	-9.7107
2500.000000	93.402	-13.3022
2540.000000	93.736	-17.9856
2580.000000	93.938	-21.9608
2620.000000	94.121	-24.8642
2650.000000	94.322	-26.5421
2690.000000	94.700	-28.7999
2720.000000	95.027	-30.9336
2760.000000	95.437	-34.5911
2800.000000	95.745	-39.0028
2850.000000	95.938	-44.9974
2900.000000	95.922	-50.7515
2950.000000	95.759	-55.8079
3000.000000	95.495	-60.0587
3040.000000	95.237	-62.8248
3070.000000	95.031	-64.5339
3110.000000	94.759	-66.3719
3150.000000	94.503	-67.7855
3200.000000	94.224	-69.1154
3250.000000	93.998	-70.1472
3300.000000	93.821	-71.0333
3350.000000	93.687	-71.8787
3400.000000	93.592	-72.7668
3450.000000	93.527	-73.7727
3500.000000	93.488	-74.9718
3550.000000	93.462	-76.4376
3600.000000	93.439	-78.2385
3650.000000	93.399	-80.4368
3700.000000	93.318	-83.0413
3750.000000	93.172	-85.9804
3820.000000	92.819	-90.3710
3870.000000	92.449	-93.4173
3950.000000	91.664	-97.5042
4000.000000	91.090	-99.3361
4060.000000	90.370	-100.8457
4120.000000	89.649	-101.8629
4180.000000	88.915	-102.4998
