* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -37.5 dBFS, measurement signal peak level -29.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: May 29, 2023 6:44:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Koss KSC75 Stock Pads
* Measurement: Koss KSC75 Stock Pads
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	44.197	22.6743
20.299999	43.595	37.7030
20.600000	44.199	52.4084
20.900000	45.641	62.0291
21.200001	46.990	64.4865
21.400000	47.716	63.2527
21.799999	48.836	56.7970
22.000000	49.295	52.7869
22.400000	50.172	44.3161
22.700001	50.836	37.0845
23.000000	51.462	28.3985
23.299999	51.958	17.9125
23.600000	52.246	5.7303
24.000000	52.194	-12.2126
24.299999	51.759	-25.1467
24.700001	50.602	-37.5867
25.000000	49.371	-39.6737
25.400000	47.779	-30.2441
25.799999	47.591	-11.6207
26.200001	49.092	4.9121
26.500000	50.476	10.7495
26.900000	51.941	9.2609
27.200001	52.654	3.8472
27.600000	53.120	-5.1200
28.000000	53.100	-13.0945
28.500000	52.488	-19.0268
29.000000	51.430	-18.3348
29.500000	50.455	-10.7950
30.000000	50.359	-0.1315
30.400000	50.935	6.9564
30.700001	51.497	10.3281
31.100000	52.173	12.4282
31.500000	52.711	12.8477
32.000000	53.276	12.4388
32.500000	53.812	11.2747
33.000000	54.281	9.1046
33.500000	54.648	6.4002
34.000000	55.015	4.0082
34.500000	55.519	1.7858
35.000000	56.094	-1.2786
35.500000	56.508	-5.3914
36.000000	56.653	-8.8066
36.500000	56.748	-9.2577
37.000000	57.249	-6.6158
37.500000	58.257	-3.7380
38.200001	59.669	-5.3047
38.700001	60.149	-10.6094
39.500000	59.783	-18.1915
40.000000	59.117	-18.3599
40.599998	58.483	-14.1022
41.200001	58.513	-9.1396
41.799999	58.966	-6.9941
42.500000	59.462	-8.4727
43.099998	59.718	-11.4541
43.700001	59.885	-14.8915
44.400002	60.036	-18.9680
45.000000	60.163	-22.2246
45.500000	60.286	-24.6678
46.200001	60.458	-27.7745
46.799999	60.516	-29.9945
47.500000	60.418	-30.9371
48.200001	60.321	-29.0450
48.700001	60.432	-26.4608
49.400002	60.872	-23.2724
50.000000	61.297	-22.4069
50.799999	61.619	-23.7585
51.500000	61.638	-25.8220
52.200001	61.530	-27.7751
53.000000	61.405	-29.6614
53.799999	61.407	-31.2597
54.500000	61.567	-32.5178
55.200001	61.867	-33.6736
56.000000	62.329	-34.7681
57.000000	63.022	-35.4773
58.000000	63.832	-35.8187
59.000000	64.530	-37.6859
60.000000	64.738	-41.1642
60.799999	64.553	-43.3645
61.500000	64.293	-44.3275
62.200001	64.070	-44.7244
63.000000	63.944	-45.0629
64.000000	63.994	-46.0281
65.000000	64.168	-47.7306
66.000000	64.387	-49.4228
67.000000	64.653	-50.6813
68.000000	64.923	-51.6597
69.000000	65.151	-52.4133
70.000000	65.343	-53.0965
71.000000	65.499	-53.9847
72.000000	65.622	-55.0941
73.000000	65.751	-56.3301
74.000000	65.914	-57.6650
75.000000	66.116	-59.0920
76.199997	66.376	-60.8789
77.500000	66.627	-62.7190
78.800003	66.822	-64.2076
80.000000	66.986	-65.2308
81.199997	67.161	-66.2202
82.500000	67.340	-67.5051
83.800003	67.491	-68.8860
85.000000	67.622	-70.0873
86.199997	67.767	-71.2587
87.500000	67.932	-72.6404
88.500000	68.053	-73.7790
90.000000	68.219	-75.4873
91.199997	68.342	-76.7994
92.500000	68.466	-78.1405
93.800003	68.583	-79.4172
95.000000	68.690	-80.5944
96.199997	68.797	-81.8652
97.500000	68.900	-83.4014
98.800003	68.979	-84.9585
100.000000	69.044	-86.2716
101.500000	69.133	-87.7656
103.000000	69.220	-89.1998
104.400002	69.294	-90.4739
106.000000	69.383	-91.8770
107.500000	69.469	-93.2429
109.000000	69.539	-94.5839
110.599998	69.604	-95.8412
112.000000	69.667	-96.8386
113.800003	69.759	-98.1532
115.000000	69.827	-99.0859
117.199997	69.967	-100.9130
118.000000	70.020	-101.6189
120.599998	70.151	-103.8836
122.000000	70.194	-104.9471
124.099998	70.239	-106.3961
125.000000	70.252	-106.9928
126.500000	70.265	-107.9592
128.000000	70.273	-108.8893
131.500000	70.306	-111.1696
132.000000	70.311	-111.5245
134.000000	70.333	-112.9307
136.000000	70.370	-114.2166
138.000000	70.424	-115.3740
140.000000	70.475	-116.4534
143.000000	70.512	-118.0300
145.000000	70.514	-119.1162
147.500000	70.506	-120.4634
150.000000	70.513	-121.6421
152.500000	70.535	-122.6750
155.000000	70.546	-123.6672
157.500000	70.537	-124.7137
160.000000	70.524	-125.8435
162.500000	70.511	-126.9805
165.000000	70.492	-128.0269
167.500000	70.468	-128.9832
170.000000	70.452	-129.8870
172.500000	70.448	-130.7204
175.000000	70.450	-131.4326
177.500000	70.446	-132.0723
180.000000	70.434	-132.7312
182.500000	70.422	-133.4313
185.000000	70.424	-134.1721
187.500000	70.431	-134.9470
190.000000	70.430	-135.7120
192.500000	70.416	-136.4419
195.000000	70.392	-137.1323
197.500000	70.363	-137.7698
200.000000	70.333	-138.3510
203.000000	70.294	-138.9928
206.000000	70.260	-139.6045
209.000000	70.232	-140.2113
212.000000	70.206	-140.8477
214.000000	70.187	-141.2921
218.000000	70.146	-142.2047
220.000000	70.129	-142.6685
224.000000	70.098	-143.5548
227.000000	70.072	-144.0902
230.000000	70.044	-144.4897
233.000000	70.013	-144.8060
236.000000	69.980	-145.0869
240.000000	69.926	-145.4746
243.000000	69.878	-145.7870
247.000000	69.813	-146.1379
250.000000	69.769	-146.3346
254.000000	69.718	-146.5457
258.000000	69.685	-146.7213
262.000000	69.674	-146.9097
265.000000	69.673	-147.0713
269.000000	69.663	-147.3107
272.000000	69.651	-147.5189
276.000000	69.634	-147.8201
280.000000	69.616	-148.0975
285.000000	69.588	-148.3732
290.000000	69.550	-148.5906
295.000000	69.505	-148.7742
300.000000	69.470	-148.9675
304.000000	69.454	-149.1417
307.000000	69.443	-149.2772
311.000000	69.425	-149.4664
315.000000	69.404	-149.6700
320.000000	69.374	-149.9213
325.000000	69.344	-150.1444
330.000000	69.321	-150.3285
335.000000	69.302	-150.4603
340.000000	69.284	-150.5526
345.000000	69.265	-150.6156
350.000000	69.245	-150.6423
355.000000	69.224	-150.6228
360.000000	69.197	-150.5458
365.000000	69.167	-150.4504
370.000000	69.143	-150.3988
375.000000	69.131	-150.4160
382.000000	69.122	-150.4875
387.000000	69.114	-150.4987
395.000000	69.098	-150.4125
400.000000	69.087	-150.3168
406.000000	69.074	-150.2045
412.000000	69.057	-150.1127
418.000000	69.037	-150.0361
425.000000	69.014	-149.9619
431.000000	68.998	-149.8874
437.000000	68.986	-149.7571
444.000000	68.975	-149.5297
450.000000	68.968	-149.3250
455.000000	68.964	-149.1876
462.000000	68.957	-149.0383
468.000000	68.952	-148.9120
475.000000	68.946	-148.7483
482.000000	68.941	-148.5847
487.000000	68.939	-148.4703
494.000000	68.940	-148.2944
500.000000	68.944	-148.1195
508.000000	68.949	-147.8673
515.000000	68.952	-147.6552
522.000000	68.952	-147.4540
530.000000	68.952	-147.2308
538.000000	68.956	-147.0031
545.000000	68.960	-146.7795
552.000000	68.962	-146.5385
560.000000	68.963	-146.2589
570.000000	68.964	-145.8993
580.000000	68.967	-145.4990
590.000000	68.975	-145.0772
600.000000	68.988	-144.6804
608.000000	69.001	-144.3787
615.000000	69.013	-144.1150
622.000000	69.025	-143.8448
630.000000	69.038	-143.5250
640.000000	69.053	-143.1077
650.000000	69.069	-142.6829
660.000000	69.090	-142.2664
670.000000	69.112	-141.8469
680.000000	69.136	-141.4166
690.000000	69.162	-140.9858
700.000000	69.190	-140.5629
710.000000	69.218	-140.1466
720.000000	69.243	-139.7518
730.000000	69.266	-139.3926
740.000000	69.290	-139.0551
750.000000	69.316	-138.7040
762.000000	69.350	-138.2474
775.000000	69.387	-137.7437
788.000000	69.421	-137.2409
800.000000	69.449	-136.7505
812.000000	69.478	-136.2416
825.000000	69.512	-135.6808
838.000000	69.548	-135.1075
850.000000	69.584	-134.5964
862.000000	69.624	-134.1149
875.000000	69.669	-133.5973
885.000000	69.704	-133.1865
900.000000	69.753	-132.5541
912.000000	69.787	-132.0387
925.000000	69.822	-131.4731
938.000000	69.862	-130.9057
950.000000	69.904	-130.3787
962.000000	69.949	-129.8452
975.000000	69.998	-129.2680
988.000000	70.047	-128.6979
1000.000000	70.092	-128.1768
1015.000000	70.148	-127.5350
1030.000000	70.205	-126.9039
1044.000000	70.259	-126.3102
1060.000000	70.324	-125.6124
1075.000000	70.385	-124.9410
1090.000000	70.447	-124.2562
1106.000000	70.515	-123.5065
1120.000000	70.578	-122.8409
1138.000000	70.662	-121.9983
1150.000000	70.719	-121.4500
1172.000000	70.828	-120.4572
1180.000000	70.869	-120.0925
1206.000000	71.001	-118.8712
1220.000000	71.074	-118.2019
1241.000000	71.189	-117.2137
1250.000000	71.239	-116.8015
1265.000000	71.323	-116.1282
1280.000000	71.406	-115.4664
1315.000000	71.606	-113.9137
1320.000000	71.635	-113.6870
1340.000000	71.750	-112.7627
1360.000000	71.864	-111.7977
1380.000000	71.979	-110.7818
1400.000000	72.103	-109.7185
1430.000000	72.322	-108.0671
1450.000000	72.488	-106.9815
1475.000000	72.710	-105.7020
1500.000000	72.945	-104.5300
1525.000000	73.185	-103.4658
1550.000000	73.426	-102.4903
1575.000000	73.666	-101.5861
1600.000000	73.904	-100.7192
1625.000000	74.141	-99.8582
1650.000000	74.382	-98.9935
1675.000000	74.627	-98.1108
1700.000000	74.884	-97.2151
1725.000000	75.157	-96.3608
1750.000000	75.441	-95.6085
1775.000000	75.727	-94.9674
1800.000000	76.010	-94.3853
1825.000000	76.295	-93.8116
1850.000000	76.587	-93.2513
1875.000000	76.890	-92.7424
1900.000000	77.202	-92.3223
1925.000000	77.519	-92.0026
1950.000000	77.836	-91.7685
1975.000000	78.154	-91.5953
2000.000000	78.475	-91.4500
2030.000000	78.875	-91.3094
2060.000000	79.295	-91.2985
2090.000000	79.722	-91.5128
2120.000000	80.145	-91.9595
2140.000000	80.423	-92.3705
2180.000000	80.966	-93.4644
2200.000000	81.227	-94.1385
2240.000000	81.723	-95.6744
2270.000000	82.073	-96.9846
2300.000000	82.396	-98.4346
2330.000000	82.682	-99.9354
2360.000000	82.943	-101.3395
2400.000000	83.296	-102.9791
2430.000000	83.592	-104.1779
