* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -35.6 dBFS, measurement signal peak level -31.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: May 29, 2023 5:04:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Koss KSC75 Yaxi Pads
* Measurement: Koss KSC75 Yaxi Pads
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	53.798	18.0414
20.299999	53.739	12.9347
20.600000	53.447	9.3717
20.900000	52.978	7.8139
21.200001	52.418	8.5863
21.400000	52.079	10.3833
21.799999	51.712	16.3193
22.000000	51.776	19.8305
22.400000	52.449	26.1744
22.700001	53.221	28.9867
23.000000	53.971	29.3985
23.299999	54.561	27.6698
23.600000	54.933	24.5155
24.000000	55.077	19.5808
24.299999	54.979	16.4351
24.700001	54.719	13.7473
25.000000	54.559	12.7468
25.400000	54.515	11.9612
25.799999	54.652	10.7183
26.200001	54.837	8.5572
26.500000	54.943	6.5464
26.900000	55.027	3.8188
27.200001	55.071	1.9609
27.600000	55.138	-0.2483
28.000000	55.219	-2.3007
28.500000	55.314	-4.6502
29.000000	55.429	-6.5213
29.500000	55.643	-8.1581
30.000000	55.933	-10.4428
30.400000	56.118	-13.0008
30.700001	56.186	-15.1037
31.100000	56.203	-17.5376
31.500000	56.230	-19.1514
32.000000	56.465	-20.3435
32.500000	56.963	-21.9718
33.000000	57.533	-25.1253
33.500000	57.999	-29.6005
34.000000	58.299	-34.5475
34.500000	58.414	-39.2657
35.000000	58.300	-42.9698
35.500000	57.963	-44.0865
36.000000	57.642	-41.2185
36.500000	57.773	-35.1358
37.000000	58.468	-29.2148
37.500000	59.284	-26.4217
38.200001	59.886	-27.1802
38.700001	59.886	-27.6862
39.500000	59.829	-24.8110
40.000000	60.051	-22.4158
40.599998	60.461	-21.1284
41.200001	60.799	-21.6942
41.799999	61.033	-23.1575
42.500000	61.263	-25.2266
43.099998	61.484	-27.0757
43.700001	61.781	-28.8326
44.400002	62.266	-30.8673
45.000000	62.768	-32.8752
45.500000	63.195	-34.8233
46.200001	63.729	-37.9023
46.799999	64.058	-40.6912
47.500000	64.224	-43.4984
48.200001	64.192	-44.8509
48.700001	64.143	-44.7023
49.400002	64.173	-43.5957
50.000000	64.298	-42.7761
50.799999	64.476	-42.6319
51.500000	64.563	-43.0919
52.200001	64.620	-43.5985
53.000000	64.749	-44.1215
53.799999	65.002	-44.9345
54.500000	65.298	-46.1936
55.200001	65.595	-47.9888
56.000000	65.865	-50.2175
57.000000	66.162	-52.1564
58.000000	66.568	-53.6374
59.000000	66.876	-56.3343
60.000000	66.822	-58.9635
60.799999	66.667	-59.6186
61.500000	66.614	-59.4524
62.200001	66.673	-59.2817
63.000000	66.826	-59.5063
64.000000	67.051	-60.4515
65.000000	67.246	-61.7647
66.000000	67.409	-62.9883
67.000000	67.569	-63.9753
68.000000	67.743	-64.8747
69.000000	67.921	-65.8985
70.000000	68.090	-67.1243
71.000000	68.245	-68.4979
72.000000	68.398	-69.9319
73.000000	68.560	-71.3768
74.000000	68.732	-72.8053
75.000000	68.907	-74.1689
76.199997	69.114	-75.6646
77.500000	69.333	-77.2047
78.800003	69.513	-78.8608
80.000000	69.617	-80.3880
81.199997	69.686	-81.6864
82.500000	69.775	-82.8268
83.800003	69.908	-83.9303
85.000000	70.050	-85.1038
86.199997	70.187	-86.3915
87.500000	70.323	-87.8033
88.500000	70.422	-88.8652
90.000000	70.562	-90.3787
91.199997	70.670	-91.5105
92.500000	70.781	-92.7257
93.800003	70.876	-93.9734
95.000000	70.950	-95.1374
96.199997	71.021	-96.3488
97.500000	71.094	-97.7566
98.800003	71.162	-99.1762
100.000000	71.228	-100.4196
101.500000	71.319	-101.8911
103.000000	71.405	-103.3101
104.400002	71.472	-104.6017
106.000000	71.533	-106.0478
107.500000	71.581	-107.3488
109.000000	71.632	-108.5478
110.599998	71.695	-109.7085
112.000000	71.753	-110.6729
113.800003	71.817	-111.9510
115.000000	71.847	-112.8401
117.199997	71.889	-114.4716
118.000000	71.907	-115.0458
120.599998	71.972	-116.7886
122.000000	72.004	-117.6421
124.099998	72.038	-118.8471
125.000000	72.053	-119.3645
126.500000	72.083	-120.2762
128.000000	72.122	-121.2572
131.500000	72.215	-123.5171
132.000000	72.225	-123.8151
134.000000	72.245	-124.9512
136.000000	72.242	-126.0370
138.000000	72.237	-127.1240
140.000000	72.245	-128.2214
143.000000	72.285	-129.8539
145.000000	72.318	-130.9326
147.500000	72.347	-132.2015
150.000000	72.355	-133.2533
152.500000	72.344	-134.1257
155.000000	72.325	-135.0522
157.500000	72.312	-136.2069
160.000000	72.313	-137.5035
162.500000	72.326	-138.7361
165.000000	72.335	-139.7992
167.500000	72.327	-140.6982
170.000000	72.304	-141.5266
172.500000	72.277	-142.3710
175.000000	72.254	-143.2209
177.500000	72.241	-144.0506
180.000000	72.230	-144.8502
182.500000	72.212	-145.6046
185.000000	72.185	-146.3385
187.500000	72.153	-147.1179
190.000000	72.117	-147.9501
192.500000	72.080	-148.7737
195.000000	72.038	-149.5293
197.500000	71.986	-150.1981
200.000000	71.928	-150.8066
203.000000	71.857	-151.4989
206.000000	71.788	-152.1324
209.000000	71.724	-152.6977
212.000000	71.666	-153.2291
214.000000	71.632	-153.5627
218.000000	71.576	-154.1634
220.000000	71.552	-154.4362
224.000000	71.506	-154.9708
227.000000	71.467	-155.3828
230.000000	71.425	-155.7709
233.000000	71.382	-156.0711
236.000000	71.341	-156.2750
240.000000	71.294	-156.5952
243.000000	71.264	-156.9838
247.000000	71.226	-157.5365
250.000000	71.194	-157.8795
254.000000	71.149	-158.2751
258.000000	71.105	-158.5897
262.000000	71.070	-158.8000
265.000000	71.046	-158.9438
269.000000	71.012	-159.1754
272.000000	70.983	-159.3703
276.000000	70.946	-159.6329
280.000000	70.913	-159.8839
285.000000	70.873	-160.1774
290.000000	70.834	-160.4670
295.000000	70.802	-160.7574
300.000000	70.772	-160.9912
304.000000	70.744	-161.1229
307.000000	70.719	-161.2132
311.000000	70.682	-161.3521
315.000000	70.644	-161.5147
320.000000	70.605	-161.7195
325.000000	70.573	-161.9025
330.000000	70.536	-162.0647
335.000000	70.492	-162.2071
340.000000	70.450	-162.3328
345.000000	70.415	-162.4590
350.000000	70.384	-162.6015
355.000000	70.355	-162.7441
360.000000	70.325	-162.8386
365.000000	70.293	-162.8726
370.000000	70.263	-162.8796
375.000000	70.236	-162.8828
382.000000	70.196	-162.9063
387.000000	70.163	-162.9344
395.000000	70.098	-162.9628
400.000000	70.062	-162.9701
406.000000	70.036	-162.9551
412.000000	70.020	-162.8931
418.000000	70.000	-162.7926
425.000000	69.963	-162.6863
431.000000	69.929	-162.6337
437.000000	69.897	-162.6105
444.000000	69.860	-162.5667
450.000000	69.828	-162.4942
455.000000	69.801	-162.4306
462.000000	69.762	-162.3485
468.000000	69.726	-162.2702
475.000000	69.681	-162.1459
482.000000	69.637	-161.9608
487.000000	69.610	-161.7858
494.000000	69.576	-161.5007
500.000000	69.552	-161.2467
508.000000	69.526	-160.9241
515.000000	69.508	-160.6655
522.000000	69.493	-160.4200
530.000000	69.477	-160.1317
538.000000	69.459	-159.8244
545.000000	69.444	-159.5520
552.000000	69.431	-159.2714
560.000000	69.420	-158.9223
570.000000	69.410	-158.4943
580.000000	69.404	-158.1356
590.000000	69.404	-157.7906
600.000000	69.409	-157.4138
608.000000	69.411	-157.1171
615.000000	69.412	-156.8712
622.000000	69.412	-156.6390
630.000000	69.409	-156.3838
640.000000	69.402	-156.0510
650.000000	69.395	-155.6708
660.000000	69.391	-155.2491
670.000000	69.386	-154.8280
680.000000	69.387	-154.4199
690.000000	69.392	-154.0134
700.000000	69.400	-153.6000
710.000000	69.410	-153.1838
720.000000	69.422	-152.7786
730.000000	69.433	-152.3804
740.000000	69.444	-151.9783
750.000000	69.455	-151.5816
762.000000	69.469	-151.1279
775.000000	69.485	-150.6562
788.000000	69.499	-150.1871
800.000000	69.506	-149.7400
812.000000	69.512	-149.2827
825.000000	69.522	-148.7845
838.000000	69.535	-148.2720
850.000000	69.549	-147.7692
862.000000	69.564	-147.2423
875.000000	69.584	-146.6623
885.000000	69.601	-146.2135
900.000000	69.628	-145.5384
912.000000	69.652	-145.0030
925.000000	69.678	-144.4330
938.000000	69.704	-143.8703
950.000000	69.729	-143.3416
962.000000	69.755	-142.7947
975.000000	69.783	-142.1850
988.000000	69.813	-141.5715
1000.000000	69.841	-141.0134
1015.000000	69.877	-140.3287
1030.000000	69.913	-139.6497
1044.000000	69.948	-139.0046
1060.000000	69.992	-138.2356
1075.000000	70.039	-137.4953
1090.000000	70.089	-136.7570
1106.000000	70.148	-135.9832
1120.000000	70.201	-135.3154
1138.000000	70.274	-134.4532
1150.000000	70.327	-133.8700
1172.000000	70.427	-132.7891
1180.000000	70.463	-132.3993
1206.000000	70.583	-131.1539
1220.000000	70.649	-130.4942
1241.000000	70.751	-129.5401
1250.000000	70.795	-129.1443
1265.000000	70.868	-128.4939
1280.000000	70.941	-127.8435
1315.000000	71.114	-126.2877
1320.000000	71.139	-126.0588
1340.000000	71.248	-125.1197
1360.000000	71.366	-124.1660
1380.000000	71.491	-123.2365
1400.000000	71.617	-122.3377
1430.000000	71.807	-121.0012
1450.000000	71.941	-120.0963
1475.000000	72.124	-118.9714
1500.000000	72.320	-117.8977
1525.000000	72.523	-116.8904
1550.000000	72.728	-115.9531
1575.000000	72.929	-115.0535
1600.000000	73.134	-114.1422
1625.000000	73.353	-113.2307
1650.000000	73.591	-112.3897
