* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -56.1 dBFS, measurement signal peak level -32.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: May 29, 2023 5:11:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Koss KTXPRO1 Stock Pads
* Measurement: Koss KTXPRO1
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	54.520	16.9689
20.299999	55.175	15.7130
20.600000	55.682	13.6470
20.900000	56.006	11.2195
21.200001	56.146	9.1119
21.400000	56.168	8.2946
21.799999	56.180	8.3902
22.000000	56.256	9.2404
22.400000	56.711	11.7386
22.700001	57.308	13.1559
23.000000	57.986	13.1844
23.299999	58.598	11.5796
23.600000	59.062	8.6453
24.000000	59.390	3.6668
24.299999	59.436	0.0845
24.700001	59.315	-3.5763
25.000000	59.178	-5.2611
25.400000	59.044	-6.3215
25.799999	59.030	-6.6229
26.200001	59.126	-6.6196
26.500000	59.255	-6.4766
26.900000	59.506	-6.0773
27.200001	59.766	-5.7043
27.600000	60.200	-5.4032
28.000000	60.664	-5.7161
28.500000	61.134	-7.0303
29.000000	61.380	-8.3793
29.500000	61.471	-8.3747
30.000000	61.643	-6.4493
30.400000	61.989	-4.1118
30.700001	62.383	-2.4419
31.100000	63.015	-1.0005
31.500000	63.665	-0.8315
32.000000	64.372	-2.4188
32.500000	64.879	-5.4575
33.000000	65.167	-9.1313
33.500000	65.258	-12.7441
34.000000	65.196	-15.7344
34.500000	65.049	-17.7101
35.000000	64.904	-18.4944
35.500000	64.875	-18.2653
36.000000	65.037	-17.6636
36.500000	65.347	-17.4938
37.000000	65.673	-18.1581
37.500000	65.914	-19.2820
38.200001	66.151	-20.2882
38.700001	66.374	-20.4129
39.500000	66.863	-21.2990
40.000000	67.107	-22.8047
40.599998	67.250	-24.9382
41.200001	67.309	-26.6264
41.799999	67.398	-27.9199
42.500000	67.577	-29.5006
43.099998	67.771	-31.0363
