* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -36.9 dBFS, measurement signal peak level -33.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: May 29, 2023 5:13:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Koss KTXPRO1 Yaxi Pads
* Measurement: Koss KTXPRO1 Yaxi Pads
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	56.569	6.1980
20.299999	56.601	0.5352
20.600000	56.354	-3.4030
20.900000	55.995	-4.7083
21.200001	55.788	-3.4865
21.400000	55.877	-2.0197
21.799999	56.530	0.6445
22.000000	56.994	1.0271
22.400000	57.865	-0.9773
22.700001	58.304	-4.3430
23.000000	58.504	-8.1809
23.299999	58.500	-11.4353
23.600000	58.367	-13.4821
24.000000	58.162	-13.9952
24.299999	58.127	-13.1085
24.700001	58.332	-11.2751
25.000000	58.639	-10.1627
25.400000	59.135	-9.5996
25.799999	59.602	-10.0843
26.200001	59.981	-11.2123
26.500000	60.206	-12.2095
26.900000	60.443	-13.5229
27.200001	60.588	-14.4347
27.600000	60.750	-15.5610
28.000000	60.874	-16.6215
28.500000	60.965	-17.7691
29.000000	60.997	-18.3529
29.500000	61.056	-18.0609
30.000000	61.269	-17.2091
30.400000	61.573	-16.7604
30.700001	61.847	-16.8714
31.100000	62.204	-17.7512
31.500000	62.500	-19.2938
32.000000	62.766	-21.6248
32.500000	62.946	-23.9560
33.000000	63.062	-26.1294
33.500000	63.111	-27.9358
34.000000	63.134	-28.8591
34.500000	63.275	-28.6680
35.000000	63.659	-28.0480
35.500000	64.222	-28.3202
36.000000	64.756	-30.1579
36.500000	65.114	-32.9804
37.000000	65.311	-35.5509
37.500000	65.470	-37.1974
38.200001	65.803	-38.6050
38.700001	66.080	-39.8119
39.500000	66.379	-42.0560
40.000000	66.479	-42.9261
40.599998	66.612	-43.1357
41.200001	66.829	-42.9230
41.799999	67.100	-42.8957
42.500000	67.392	-43.3221
43.099998	67.591	-43.7732
43.700001	67.786	-44.0808
44.400002	68.059	-44.5676
45.000000	68.296	-45.5089
45.500000	68.449	-46.6222
46.200001	68.598	-48.2148
46.799999	68.717	-49.4020
47.500000	68.876	-50.8102
48.200001	69.020	-52.2968
48.700001	69.110	-53.2317
49.400002	69.244	-54.2270
50.000000	69.380	-54.8274
50.799999	69.606	-55.2440
51.500000	69.884	-55.4425
52.200001	70.208	-56.1077
53.000000	70.494	-57.7650
53.799999	70.618	-59.7006
54.500000	70.648	-61.1013
55.200001	70.673	-62.2694
56.000000	70.729	-63.6553
57.000000	70.803	-65.8219
58.000000	70.832	-67.6985
59.000000	71.008	-68.3799
60.000000	71.446	-69.1264
60.799999	71.834	-70.4111
61.500000	72.134	-71.7106
62.200001	72.399	-72.9483
63.000000	72.648	-74.2700
64.000000	72.865	-75.7112
65.000000	73.010	-76.8750
66.000000	73.129	-78.0194
67.000000	73.241	-79.3841
68.000000	73.366	-80.9793
69.000000	73.525	-82.6566
70.000000	73.728	-84.2357
71.000000	73.965	-85.5775
72.000000	74.204	-86.5838
73.000000	74.412	-87.1801
74.000000	74.580	-87.4076
75.000000	74.706	-87.5175
76.199997	74.800	-87.8956
77.500000	74.846	-89.0538
78.800003	74.852	-91.0653
80.000000	74.897	-93.4168
81.199997	74.983	-96.2385
82.500000	75.045	-98.7794
83.800003	75.195	-100.1599
85.000000	75.389	-101.6518
86.199997	75.497	-103.3767
87.500000	75.556	-104.8634
88.500000	75.600	-105.7413
90.000000	75.669	-106.7837
91.199997	75.725	-107.3771
92.500000	75.800	-107.8586
93.800003	75.892	-108.4491
95.000000	75.972	-109.3004
96.199997	76.036	-110.4532
97.500000	76.100	-111.8986
98.800003	76.185	-113.4151
100.000000	76.288	-114.8278
101.500000	76.428	-116.5158
103.000000	76.555	-118.0157
104.400002	76.651	-119.2683
106.000000	76.740	-120.6454
107.500000	76.816	-121.9930
109.000000	76.889	-123.4353
110.599998	76.955	-124.9914
112.000000	76.997	-126.2518
113.800003	77.049	-127.7249
115.000000	77.091	-128.7305
117.199997	77.178	-130.8388
118.000000	77.207	-131.6802
120.599998	77.256	-134.3167
