* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -36.7 dBFS, measurement signal peak level -25.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: Jun 2, 2023 9:49:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Koss Plug
* Measurement: Koss Plug
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.934	-123.1956
20.299999	88.998	-123.7797
20.600000	89.067	-124.3116
20.900000	89.142	-124.8184
21.200001	89.221	-125.3272
21.400000	89.275	-125.6763
21.799999	89.381	-126.3984
22.000000	89.432	-126.7689
22.400000	89.530	-127.5177
22.700001	89.598	-128.0804
23.000000	89.664	-128.6448
23.299999	89.725	-129.2154
23.600000	89.783	-129.7938
24.000000	89.850	-130.5721
24.299999	89.894	-131.1494
24.700001	89.944	-131.8930
25.000000	89.977	-132.4238
25.400000	90.021	-133.0987
25.799999	90.064	-133.7529
26.200001	90.108	-134.4034
26.500000	90.140	-134.8908
26.900000	90.181	-135.5324
27.200001	90.212	-135.9999
27.600000	90.253	-136.5997
28.000000	90.299	-137.1793
28.500000	90.362	-137.8987
29.000000	90.428	-138.6329
29.500000	90.492	-139.3794
30.000000	90.551	-140.1164
30.400000	90.592	-140.6827
30.700001	90.621	-141.0868
31.100000	90.655	-141.5917
31.500000	90.688	-142.0568
32.000000	90.727	-142.5949
32.500000	90.763	-143.1104
33.000000	90.793	-143.6119
33.500000	90.812	-144.0657
34.000000	90.829	-144.4240
34.500000	90.859	-144.6979
35.000000	90.911	-144.9849
35.500000	90.982	-145.4242
36.000000	91.052	-146.0880
36.500000	91.103	-146.9361
37.000000	91.125	-147.8501
37.500000	91.123	-148.7173
38.200001	91.100	-149.7267
38.700001	91.084	-150.2767
39.500000	91.087	-150.9323
40.000000	91.113	-151.2943
40.599998	91.159	-151.7685
41.200001	91.210	-152.2977
41.799999	91.256	-152.8336
42.500000	91.308	-153.4281
43.099998	91.350	-153.9293
43.700001	91.386	-154.4347
44.400002	91.418	-155.0040
45.000000	91.437	-155.4542
45.500000	91.451	-155.8048
46.200001	91.467	-156.2645
46.799999	91.480	-156.6324
47.500000	91.500	-157.0586
48.200001	91.524	-157.5326
48.700001	91.538	-157.9105
49.400002	91.549	-158.4588
50.000000	91.554	-158.9025
50.799999	91.561	-159.4387
51.500000	91.575	-159.8931
52.200001	91.591	-160.3619
53.000000	91.609	-160.8985
53.799999	91.625	-161.4073
54.500000	91.639	-161.8263
55.200001	91.652	-162.2166
56.000000	91.664	-162.6145
57.000000	91.682	-163.0474
58.000000	91.707	-163.4638
59.000000	91.734	-163.9563
60.000000	91.750	-164.5657
60.799999	91.748	-165.0791
61.500000	91.739	-165.4998
62.200001	91.729	-165.8776
63.000000	91.724	-166.2673
64.000000	91.730	-166.7411
65.000000	91.743	-167.2346
66.000000	91.756	-167.7233
67.000000	91.768	-168.1831
68.000000	91.778	-168.6154
69.000000	91.787	-169.0333
70.000000	91.792	-169.4471
71.000000	91.795	-169.8570
72.000000	91.798	-170.2654
73.000000	91.801	-170.6770
74.000000	91.803	-171.0876
75.000000	91.806	-171.4874
76.199997	91.808	-171.9453
77.500000	91.810	-172.4199
78.800003	91.810	-172.8841
80.000000	91.809	-173.3055
81.199997	91.807	-173.7158
82.500000	91.806	-174.1574
83.800003	91.805	-174.6031
85.000000	91.804	-175.0076
86.199997	91.803	-175.4044
87.500000	91.802	-175.8290
88.500000	91.801	-176.1518
90.000000	91.798	-176.6252
91.199997	91.795	-176.9931
92.500000	91.791	-177.3853
93.800003	91.786	-177.7750
95.000000	91.781	-178.1332
96.199997	91.775	-178.4894
97.500000	91.769	-178.8687
98.800003	91.763	-179.2314
100.000000	91.759	-179.5488
101.500000	91.755	-179.9317
103.000000	91.751	179.6921
104.400002	91.744	179.3465
106.000000	91.735	178.9533
107.500000	91.725	178.5790
109.000000	91.715	178.1992
110.599998	91.705	177.7961
112.000000	91.695	177.4511
113.800003	91.683	177.0188
115.000000	91.675	176.7386
117.199997	91.661	176.2353
118.000000	91.656	176.0529
120.599998	91.640	175.4590
122.000000	91.631	175.1423
124.099998	91.614	174.6829
125.000000	91.607	174.4922
